"","min","firstQ","median","mean","thirdQ","max"
"GP",-5,-1,0,-0.05,1,5
"GF",-65,-12,-1,-0.27,11,66
"GA",-71,-12,0,0.34,12,66
"Wins",-20,-4,0,-0.13,4,26
"Losses",-22,-4,0,0.1,4,19
"OL",-9,-2,0,-0.02,2,10
"Streak",-17,-3,2,0.23,3,15
"ROW",-20,-4,0,-0.12,4,28
"L10Wins",-8,-2,0,0.04,2,7
"L10Losses",-8,-2,0,-0.09,1,8
"L10OL",-4,-1,0,0.05,1,4
"PPM",-249,-46,2,0.03,46,243
"PPG",-20,-4,0,-0.02,4,23
"PPO",-56,-9,0,0.24,10,49
"SHG",-12,-2,0,-0.06,2,13
"PKM",-422,-77,-2,-0.71,71,418
"PKG",-27,-4,0,0.14,5,29
"PKO",-76,-13,0,-0.18,13,75
"ShotsFor",-561,-66,-1,-2.14,63,595
"ShotsAgainst",-475,-85,-5,-2.45,74,466
"SV",-0.07,-0.01,0,0,0.01,0.06
"AvCFClose",-12.45,-2.9,-0.08,0,2.93,12.99
"AvCF5v5",-11.57,-2.86,0.12,0.07,2.9,13.33
"AvCFEven",-10.89,-2.6,0.14,0.05,2.77,12.16
"AvGoalieCnt",-0.2,-0.04,0,0,0.04,0.27
"AvShiftCnt",-4.2,-0.91,0.01,0,0.89,3.97
"ATOI",-0.04,-0.01,0,0,0.01,0.03
"AvAge",-3.4,-0.9,0,-0.02,0.9,3.4
"PDO",-3,-0.8,-0.1,-0.02,0.8,3
"WinP",-0.65,-0.1,0,0,0.09,0.63
"HomeP",-1,-0.14,0,0,0.13,0.83
"AwayP",-0.75,-0.13,0,0,0.13,0.75
"Result",0,0,1,0.65,1,1
