"","min","firstQ","median","mean","thirdQ","max","IQR"
"X",1,273,545,545,817,1089,544
"H.GP",10,28,46,46.17,64,82,36
"H.GF",14,74,121,123.6,170,267,96
"H.GA",20,75,122,123.75,175,259,100
"H.Wins",1,14,22,23.06,31,56,17
"H.Losses",2,10,17,17.82,24,43,14
"H.OL",0,3,5,5.3,7,16,4
"H.Streak",-9,-1,1,0.19,2,11,3
"H.ROW",1,13,21,21.09,28,52,15
"H.L10Wins",1,4,5,5.02,6,10,2
"H.L10Losses",0,3,4,3.8,5,8,2
"H.L10OL",0,0,1,1.18,2,5,2
"H.PPM",68,266,436,436.06,602,947,336
"H.PPG",2,17,27,27.51,37,62,20
"H.PPO",26,90,144,145.26,201,285,111
"H.SHG",0,1,3,3.31,5,15,4
"H.PKM",54,257,418,435.42,598,981,341
"H.PKG",3,16,27,27.56,39,62,23
"H.PKO",24,88,145,144.95,200,285,112
"H.ShotsFor",249,822,1371,1371.25,1926,2640,1104
"H.ShotsAgainst",257,828,1365,1369.78,1927,2668,1099
"H.SV",0.87,0.9,0.91,0.91,0.92,0.95,0.02
"H.AvCFClose",43.13,47.82,49.95,50.03,52.04,58.47,4.22
"H.AvCF5v5",41.4,47.79,49.97,50.05,52.15,57.32,4.36
"H.AvCFEven",42.39,47.99,49.86,50.04,52.05,57.09,4.06
"H.AvGoalieCnt",1,1.04,1.07,1.07,1.09,1.27,0.05
"H.AvShiftCnt",20.07,21.36,21.84,21.97,22.54,24.71,1.18
"H.ATOI",15.27,15.28,15.29,15.29,15.29,15.31,0.01
"H.AvAge",26.2,27.4,28,27.95,28.7,29.6,1.3
"H.PDO",98.5,99.4,100.1,100.09,100.7,101.5,1.3
"H.WinP",0.1,0.43,0.5,0.5,0.56,0.85,0.13
"H.HomeP",0,0.31,0.39,0.41,0.5,1,0.19
"H.AwayP",0,0.26,0.35,0.36,0.44,1,0.18
"A.GP",10,28,46,46.22,65,82,37
"A.GF",10,74,122,123.87,173,260,99
"A.GA",19,74,122,123.41,170,260,96
"A.Wins",1,14,22,23.18,32,56,18
"A.Losses",1,10,17,17.72,24,43,14
"A.OL",0,3,5,5.32,7,16,4
"A.Streak",-7,-2,-1,-0.04,1,12,3
"A.ROW",1,12,21,21.21,29,52,17
"A.L10Wins",1,4,5,4.99,6,10,2
"A.L10Losses",0,3,4,3.89,5,9,2
"A.L10OL",0,0,1,1.12,2,5,2
"A.PPM",64,263,426,436.03,595,955,332
"A.PPG",3,17,27,27.53,38,59,21
"A.PPO",28,89,143,145.02,201,300,112
"A.SHG",0,1,3,3.37,5,17,4
"A.PKM",50,260,416,436.13,594,1005,334
"A.PKG",3,17,26,27.42,38,69,21
"A.PKO",22,88,143,145.13,200,304,112
"A.ShotsFor",271,819,1367,1373.38,1897,2722,1078
"A.ShotsAgainst",248,812,1360,1372.23,1902,2688,1090
"A.SV",0.87,0.91,0.91,0.91,0.92,0.95,0.01
"A.AvCFClose",43.19,47.87,49.99,50.03,51.89,58.76,4.02
"A.AvCF5v5",40.83,47.84,49.87,49.99,52.06,57.44,4.22
"A.AvCFEven",41.91,48,49.85,49.99,51.97,57.29,3.97
"A.AvGoalieCnt",1,1.04,1.06,1.07,1.09,1.25,0.05
"A.AvShiftCnt",20.09,21.35,21.83,21.97,22.54,24.67,1.19
"A.ATOI",15.27,15.28,15.29,15.29,15.29,15.31,0.01
"A.AvAge",26.2,27.4,28,27.97,28.7,29.6,1.3
"A.PDO",98.5,99.4,100.1,100.11,100.7,101.5,1.3
"A.WinP",0.1,0.43,0.5,0.5,0.56,0.83,0.13
"A.HomeP",0,0.31,0.4,0.41,0.5,1,0.19
"A.AwayP",0,0.27,0.35,0.36,0.44,1,0.17
"Result",0,0,1,0.65,1,1,1
