"","X","GamesPlayed","Date","Location","Opponent","GoalsFor","GoalsAgainst","Outcome","Wins","Losses","OL","Streak","ROW","ShotsFor","PIM","PPG","PPO","SHG","ShotsAgainst","PKM","PKG","PKO","WinPer","HomePer","AwayPer","L10Wins","L10Losses","L10OL","SVPercentage","AvgGoalieCount","AvgShiftCount","ATOI","GID"
"1",1,1,"2015-10-10","Away","SJS",0,2,"L",0,1,0,"L 1",0,27,2,0,1,0,44,2,0,1,0,0,0,0,1,0,0.96,1,21.67,"16.26","201510100SJS"
"2",2,2,"2015-10-12","Home","VAN",1,4,"SOL",0,1,1,"L 2",0,56,11,0,3,0,69,11,0,3,0,0,0,0,1,1,0.96,1,21.42,"16.25","201510120ANA"
"3",3,3,"2015-10-14","Home","ARI",1,8,"L",0,2,1,"L 3",0,93,28,0,6,0,98,22,1,9,0,0,0,0,2,1,0.9,1.33,20.82,"16.26","201510140ANA"
"4",4,4,"2015-10-16","Home","COL",1,11,"L",0,3,1,"L 4",0,128,36,0,11,0,123,36,1,11,0,0,0,0,3,1,0.9,1.25,20.63,"15.26","201510160ANA"
"5",5,5,"2015-10-18","Home","MIN",5,12,"W",1,3,1,"W 1",1,150,38,0,13,0,158,40,1,12,0.2,0.25,0,1,3,1,0.92,1.2,20.56,"15.26","201510180ANA"
"6",6,6,"2015-10-22","Away","NSH",6,17,"L",1,4,1,"L 1",1,178,48,1,18,0,187,50,2,17,0.166666666666667,0.25,0,1,4,1,0.9,1.17,20.65,"15.27","201510220NSH"
"7",7,7,"2015-10-24","Away","MIN",6,20,"L",1,5,1,"L 2",1,193,56,1,19,0,217,52,2,22,0.142857142857143,0.25,0,1,5,1,0.9,1.14,20.48,"15.28","201510240MIN"
"8",8,8,"2015-10-26","Away","CHI",6,21,"OTL",1,5,2,"L 3",1,232,81,1,22,0,241,67,2,25,0.125,0.25,0,1,5,2,0.91,1.12,20.68,"15.28","201510260CHI"
"9",9,9,"2015-10-27","Away","DAL",9,25,"L",1,6,2,"L 4",1,252,92,2,26,0,275,80,3,28,0.111111111111111,0.25,0,1,6,2,0.91,1.11,20.69,"15.27","201510270DAL"
"10",10,10,"2015-10-29","Away","STL",10,27,"L",1,7,2,"L 5",1,275,109,3,30,0,309,95,3,33,0.1,0.25,0,1,7,2,0.91,1.1,20.79,"15.28","201510290STL"
"11",11,11,"2015-11-01","Home","NSH",14,29,"W",2,7,2,"W 1",2,303,121,3,32,0,351,103,4,39,0.181818181818182,0.4,0,2,6,2,0.91,1.09,20.71,"15.29","201511010ANA"
"12",12,12,"2015-11-04","Home","FLA",17,31,"SOW",3,7,2,"W 2",2,342,127,4,37,0,376,113,4,42,0.25,0.333333333333333,0,3,6,1,0.91,1.08,20.8,"15.28","201511040ANA"
"13",13,13,"2015-11-06","Home","CBJ",21,33,"W",4,7,2,"W 3",3,376,135,5,40,0,412,123,4,44,0.307692307692308,0.428571428571429,0,4,5,1,0.92,1.08,20.78,"15.28","201511060ANA"
"14",14,14,"2015-11-07","Away","SJS",22,33,"W",5,7,2,"W 4",4,393,163,5,42,0,443,147,4,48,0.357142857142857,0.428571428571429,0.142857142857143,5,4,1,0.92,1.07,20.85,"15.29","201511070SJS"
"15",15,15,"2015-11-09","Home","ARI",25,37,"OTL",5,7,3,"L 1",4,429,173,6,46,0,471,155,5,53,0.333333333333333,0.375,0.142857142857143,4,4,2,0.92,1.07,20.81,"15.29","201511090ANA"
