"","X","GamesPlayed","Date","Location","Opponent","GoalsFor","GoalsAgainst","Outcome","Wins","Losses","OL","Streak","ROW","ShotsFor","PIM","PPG","PPO","SHG","ShotsAgainst","PKM","PKG","PKO","WinPer","HomePer","AwayPer","L10Wins","L10Losses","L10OL","SVPercentage","AvgGoalieCount","AvgShiftCount","ATOI","GID","AvgCFPerClose","AvgCFPer5v5","AvgCFPerEven","AvgAge","PDO","FOWPer"
"1",1,1,"2015-10-09","Away","LAK",4,1,"W",1,0,0,"W 1",1,22,10,0,3,0,41,8,0,4,1,0,1,1,0,0,0.98,1,21.94,15.2,"201510090LAK",27.8,33.7,33.3,27.6,99.9,54.7
"2",2,2,"2015-10-10","Home","PIT",6,2,"W",2,0,0,"W 2",2,61,24,0,7,0,69,20,0,8,1,1,1,2,0,0,0.97,1,21.88,15.25,"201510100ARI",44.25,44.1,43.7,27.6,99.9,54.7
"3",3,3,"2015-10-14","Away","ANA",10,2,"W",3,0,0,"W 3",3,90,35,1,13,0,106,37,0,11,1,1,1,3,0,0,0.98,1,21.72,15.27,"201510140ANA",46.17,44.93,44.67,27.6,99.9,54.7
"4",4,4,"2015-10-15","Home","MIN",13,6,"L",3,1,0,"L 1",3,120,59,1,20,0,130,53,1,16,0.75,0.5,1,3,1,0,0.94,1.25,21.14,15.27,"201510150ARI",45.88,45.9,47,27.6,99.9,54.7
"5",5,5,"2015-10-17","Home","BOS",16,11,"L",3,2,0,"L 2",3,143,76,2,24,0,173,66,4,22,0.6,0.333333333333333,1,3,2,0,0.93,1.2,21.25,15.28,"201510170ARI",42.92,46.6,47.6,27.6,99.9,54.7
"6",6,6,"2015-10-20","Away","NJD",18,14,"OTL",3,2,1,"L 3",3,163,85,3,29,0,198,81,4,25,0.5,0.333333333333333,0.666666666666667,3,2,1,0.92,1.17,21.54,15.29,"201510200NJD",44.5,46.53,47.57,27.6,99.9,54.7
"7",7,7,"2015-10-22","Away","NYR",19,18,"L",3,3,1,"L 4",3,198,91,3,32,0,225,87,5,28,0.428571428571429,0.333333333333333,0.5,3,3,1,0.92,1.14,21.76,15.29,"201510220NYR",44.77,46.94,47.91,27.6,99.9,54.7
"8",8,8,"2015-10-24","Away","OTT",23,19,"W",4,3,1,"W 1",4,224,97,3,34,0,261,91,5,31,0.5,0.333333333333333,0.6,4,3,1,0.93,1.12,21.88,15.28,"201510240OTT",43.99,46.08,46.9,27.6,99.9,54.7
"9",9,9,"2015-10-26","Away","TOR",27,22,"W",5,3,1,"W 2",5,248,103,5,38,0,288,101,5,33,0.555555555555556,0.333333333333333,0.666666666666667,5,3,1,0.92,1.11,21.84,15.28,"201510260TOR",43.64,45.46,46.06,27.6,99.9,54.7
"10",10,10,"2015-10-27","Away","BOS",27,28,"L",5,4,1,"L 1",5,272,131,5,41,0,315,105,6,37,0.5,0.333333333333333,0.571428571428571,5,4,1,0.91,1.1,21.91,15.27,"201510270BOS",44.49,46.34,46.92,27.6,99.9,54.7
"11",11,11,"2015-10-30","Home","VAN",30,32,"L",5,5,1,"L 2",5,303,139,5,43,0,337,109,7,41,0.454545454545455,0.25,0.571428571428571,4,5,1,0.88,1.18,21.9,15.27,"201510300ARI",46.13,47.95,48.53,27.6,99.9,54.7
"12",12,12,"2015-11-05","Home","COL",34,34,"W",6,5,1,"W 1",6,331,149,5,49,0,365,121,7,46,0.5,0.4,0.571428571428571,4,5,1,0.88,1.17,21.93,15.27,"201511050ARI",46.99,47.59,47.95,27.6,99.9,54.7
"13",13,13,"2015-11-07","Home","NYR",35,38,"L",6,6,1,"L 1",6,371,157,6,53,0,395,129,8,50,0.461538461538462,0.333333333333333,0.571428571428571,3,6,1,0.88,1.23,21.73,15.27,"201511070ARI",47.7,48.51,48.88,27.6,99.9,54.7
"14",14,14,"2015-11-09","Away","ANA",39,41,"OTW",7,6,1,"W 1",7,399,165,7,58,0,431,139,9,54,0.5,0.333333333333333,0.5,4,5,1,0.89,1.21,21.69,15.27,"201511090ANA",47.49,48.44,48.75,27.6,99.9,54.7
"15",15,15,"2015-11-10","Away","LAK",42,43,"W",8,6,1,"W 2",8,424,169,7,61,0,466,143,10,56,0.533333333333333,0.333333333333333,0.555555555555556,5,4,1,0.89,1.2,21.74,15.27,"201511100LAK",47.11,47.71,47.95,27.6,99.9,54.7
"16",16,16,"2015-11-12","Home","EDM",46,44,"W",9,6,1,"W 3",9,445,177,8,64,0,494,149,10,60,0.5625,0.428571428571429,0.555555555555556,6,4,0,0.89,1.19,21.8,15.27,"201511120ARI",47.29,47.16,47.38,27.6,99.9,54.7
"17",17,17,"2015-11-14","Away","CBJ",48,49,"L",9,7,1,"L 1",9,474,215,8,69,0,515,179,12,64,0.529411764705882,0.428571428571429,0.5,6,4,0,0.89,1.18,21.8,15.27,"201511140CBJ",48.49,48.39,48.64,27.6,99.9,54.7
"18",18,18,"2015-11-16","Away","NYI",50,54,"L",9,8,1,"L 2",9,507,223,9,72,0,547,185,13,68,0.5,0.428571428571429,0.454545454545455,5,5,0,0.89,1.17,21.82,15.27,"201511160NYI",47.87,48.2,48.5,27.6,99.9,54.7
"19",19,19,"2015-11-19","Away","MTL",53,56,"W",10,8,1,"W 1",10,527,233,10,74,0,580,189,13,73,0.526315789473684,0.428571428571429,0.5,5,5,0,0.89,1.16,21.9,15.28,"201511190MTL",47.29,48.06,48.23,27.6,99.9,54.7
"20",20,20,"2015-11-21","Away","WPG",55,59,"L",10,9,1,"L 1",10,556,245,12,80,0,603,201,13,78,0.5,0.428571428571429,0.461538461538462,5,5,0,0.89,1.15,21.89,15.28,"201511210WPG",47.2,48.32,48.56,27.6,99.9,54.7
"21",21,21,"2015-11-25","Home","ANA",59,61,"W",11,9,1,"W 1",11,590,253,13,83,0,634,209,15,81,0.523809523809524,0.5,0.461538461538462,6,4,0,0.89,1.14,21.93,15.28,"201511250ARI",47.39,48.56,48.8,27.6,99.9,54.7
"22",22,22,"2015-11-27","Home","CGY",61,62,"OTW",12,9,1,"W 2",12,611,267,13,85,0,660,215,16,87,0.545454545454545,0.444444444444444,0.461538461538462,6,4,0,0.89,1.14,21.93,15.28,"201511270ARI",47.24,48.3,48.67,27.6,99.9,54.7
"23",23,23,"2015-11-28","Home","OTT",65,65,"W",13,9,1,"W 3",13,630,273,13,87,0,698,219,17,90,0.565217391304348,0.5,0.461538461538462,7,3,0,0.89,1.13,21.91,15.28,"201511280ARI",46.4,47.73,48.03,27.6,99.9,54.7
"24",24,24,"2015-12-01","Away","NSH",67,70,"L",13,10,1,"L 1",13,645,277,14,89,0,739,223,18,92,0.541666666666667,0.5,0.428571428571429,6,4,0,0.89,1.12,21.89,15.29,"201512010NSH",45.72,47.15,47.51,27.6,99.9,54.7
"25",25,25,"2015-12-03","Away","DET",68,75,"L",13,11,1,"L 2",13,672,290,14,90,0,783,230,18,96,0.52,0.5,0.4,5,5,0,0.89,1.16,21.93,15.29,"201512030DET",45.35,46.82,47.17,27.6,99.9,54.7
"26",26,26,"2015-12-04","Away","BUF",70,80,"L",13,12,1,"L 3",13,692,294,14,93,0,811,236,18,98,0.5,0.5,0.375,4,6,0,0.89,1.15,21.97,15.29,"201512040BUF",45.53,46.73,47.05,27.6,99.9,54.7
"27",27,27,"2015-12-06","Away","CAR",74,85,"L",13,13,1,"L 4",13,715,302,15,97,0,829,244,19,102,0.481481481481481,0.5,0.352941176470588,4,6,0,0.89,1.15,22.05,15.28,"201512060CAR",45.69,46.99,47.29,27.6,99.9,54.7
"28",28,28,"2015-12-08","Away","STL",75,89,"L",13,14,1,"L 5",13,738,308,15,101,0,851,252,19,105,0.464285714285714,0.5,0.333333333333333,4,6,0,0.88,1.14,22.13,15.28,"201512080STL",45.85,46.78,47.05,27.6,99.9,54.7
"29",29,29,"2015-12-11","Home","MIN",77,90,"OTW",14,14,1,"W 1",14,759,316,16,107,0,879,264,19,109,0.482758620689655,0.454545454545455,0.333333333333333,4,6,0,0.89,1.14,22.12,15.28,"201512110ARI",45.87,46.72,47.02,27.6,99.9,54.7
"30",30,30,"2015-12-12","Home","CAR",81,95,"OTL",14,14,2,"L 1",14,788,322,16,109,0,912,268,21,112,0.466666666666667,0.416666666666667,0.333333333333333,4,5,1,0.89,1.13,22.13,15.28,"201512120ARI",46.23,46.98,47.27,27.6,99.9,54.7
"31",31,31,"2015-12-17","Home","CBJ",86,102,"L",14,15,2,"L 2",14,820,329,17,112,0,933,279,21,113,0.451612903225806,0.384615384615385,0.333333333333333,3,6,1,0.88,1.16,22.12,15.28,"201512170ARI",46.84,47.42,47.73,27.6,99.9,54.7
"32",32,32,"2015-12-19","Home","NYI",87,102,"W",15,15,2,"W 1",15,849,335,17,114,0,958,283,21,116,0.46875,0.428571428571429,0.333333333333333,3,6,1,0.88,1.16,22.09,15.28,"201512190ARI",46.83,47.58,47.88,27.6,99.9,54.7
"33",33,33,"2015-12-22","Home","TOR",90,104,"W",16,15,2,"W 2",16,875,344,17,118,0,997,296,22,118,0.484848484848485,0.466666666666667,0.333333333333333,3,6,1,0.89,1.15,22.16,15.28,"201512220ARI",46.69,47.32,47.53,27.6,99.9,54.7
