"","X","GamesPlayed","Date","Location","Opponent","GoalsFor","GoalsAgainst","Outcome","Wins","Losses","OL","Streak","ROW","ShotsFor","PIM","PPG","PPO","SHG","ShotsAgainst","PKM","PKG","PKO","WinPer","HomePer","AwayPer","L10Wins","L10Losses","L10OL","SVPercentage","AvgGoalieCount","AvgShiftCount","ATOI","GID"
"1",1,1,"2015-10-08","Home","WPG",2,6,"L",0,1,0,"L 1",0,31,2,0,2,0,32,6,0,0,0,0,0,0,1,0,0.84,1,22.28,"16.31","201510080BOS"
"2",2,2,"2015-10-10","Home","MTL",4,10,"L",0,2,0,"L 2",0,52,39,1,6,0,70,22,1,6,0,0,0,0,2,0,0.88,1,21.89,"15.30","201510100BOS"
"3",3,3,"2015-10-12","Home","TBL",7,16,"L",0,3,0,"L 3",0,82,47,4,10,0,93,30,3,10,0,0,0,0,3,0,0.83,1,21.89,"15.31","201510120BOS"
"4",4,4,"2015-10-14","Away","COL",13,18,"W",1,3,0,"W 1",1,107,55,4,12,0,115,34,4,14,0.25,0,1,1,3,0,0.85,1,21.82,"15.31","201510140COL"
"5",5,5,"2015-10-17","Away","ARI",18,21,"W",2,3,0,"W 2",2,150,68,7,18,1,138,51,5,18,0.4,0,1,2,3,0,0.86,1,21.84,"15.31","201510170ARI"
"6",6,6,"2015-10-21","Home","PHI",22,26,"OTL",2,3,1,"L 1",2,180,87,8,21,2,175,59,6,20,0.333333333333333,0,1,2,3,1,0.86,1,21.95,"15.31","201510210BOS"
"7",7,7,"2015-10-23","Away","NYI",27,29,"W",3,3,1,"W 1",3,206,96,8,24,2,201,68,7,22,0.428571428571429,0,1,3,3,1,0.86,1,22.06,"15.31","201510230NYI"
"8",8,8,"2015-10-27","Home","ARI",33,29,"W",4,3,1,"W 2",4,233,100,9,28,2,225,96,7,25,0.5,0.2,1,4,3,1,0.88,1,21.99,"15.31","201510270BOS"
"9",9,9,"2015-10-30","Away","FLA",36,30,"W",5,3,1,"W 3",5,263,125,11,31,2,257,102,8,31,0.555555555555556,0.2,1,5,3,1,0.89,1,21.96,"15.31","201510300FLA"
"10",10,10,"2015-10-31","Away","TBL",39,31,"W",6,3,1,"W 4",6,297,135,12,34,2,279,108,9,36,0.6,0.2,1,6,3,1,0.89,1,21.8,"15.31","201510310TBL"
"11",11,11,"2015-11-03","Home","DAL",42,36,"L",6,4,1,"L 1",6,336,143,13,38,2,298,116,12,40,0.545454545454545,0.166666666666667,1,6,3,1,0.88,1,21.69,"15.31","201511030BOS"
"12",12,12,"2015-11-05","Away","WSH",43,40,"L",6,5,1,"L 2",6,365,154,14,40,2,329,125,13,44,0.5,0.166666666666667,0.833333333333333,6,3,1,0.88,1,21.63,"15.30","201511050WSH"
"13",13,13,"2015-11-07","Away","MTL",45,44,"L",6,6,1,"L 3",6,396,160,15,45,2,362,141,15,47,0.461538461538462,0.166666666666667,0.714285714285714,6,3,1,0.88,1,21.71,"15.30","201511070MTL"
"14",14,14,"2015-11-08","Away","NYI",47,45,"W",7,6,1,"W 1",7,423,176,16,48,2,399,149,16,54,0.5,0.166666666666667,0.75,6,3,1,0.89,1,21.59,"15.30","201511080NYI"
"15",15,15,"2015-11-12","Home","COL",49,48,"L",7,7,1,"L 1",7,450,189,17,50,2,429,166,16,57,0.466666666666667,0.142857142857143,0.75,5,4,1,0.89,1,21.55,"15.30","201511120BOS"
"16",16,16,"2015-11-14","Home","DET",52,49,"W",8,7,1,"W 1",8,481,195,17,51,2,452,168,17,60,0.5,0.25,0.75,6,4,0,0.9,1,21.49,"15.30","201511140BOS"
"17",17,17,"2015-11-17","Home","SJS",56,54,"L",8,8,1,"L 1",8,510,203,19,54,2,480,174,19,65,0.470588235294118,0.222222222222222,0.75,5,5,0,0.89,1,21.49,"15.30","201511170BOS"
"18",18,18,"2015-11-19","Home","MIN",60,56,"W",9,8,1,"W 1",9,548,232,20,58,2,506,191,19,68,0.5,0.3,0.75,5,5,0,0.89,1,21.37,"15.29","201511190BOS"
"19",19,19,"2015-11-21","Home","TOR",62,56,"W",10,8,1,"W 2",10,585,234,20,59,2,528,193,19,69,0.526315789473684,0.363636363636364,0.75,5,5,0,0.9,1,21.38,"15.29","201511210BOS"
"20",20,20,"2015-11-23","Away","TOR",66,59,"SOW",11,8,1,"W 3",10,614,250,20,62,3,570,203,19,75,0.55,0.363636363636364,0.666666666666667,5,5,0,0.9,1,21.44,"15.29","201511230TOR"
"21",21,21,"2015-11-25","Away","DET",69,61,"OTW",12,8,1,"W 4",11,636,256,20,65,3,604,209,19,78,0.571428571428571,0.363636363636364,0.6,6,4,0,0.9,1,21.47,"15.29","201511250DET"
"22",22,22,"2015-11-27","Home","NYR",73,64,"W",13,8,1,"W 5",12,670,265,22,68,3,631,230,20,81,0.590909090909091,0.416666666666667,0.6,7,3,0,0.9,1,21.49,"15.29","201511270BOS"
"23",23,23,"2015-12-02","Away","EDM",75,67,"SOL",13,8,2,"L 1",12,710,275,22,70,3,667,234,20,86,0.565217391304348,0.416666666666667,0.545454545454545,7,2,1,0.9,1,21.53,"15.29","201512020EDM"
"24",24,24,"2015-12-04","Away","CGY",79,72,"OTL",13,8,3,"L 2",12,748,285,22,71,4,704,238,20,90,0.541666666666667,0.416666666666667,0.5,6,2,2,0.9,1.04,21.65,"15.29","201512040CGY"
"25",25,25,"2015-12-05","Away","VAN",83,72,"W",14,8,3,"W 1",13,770,310,22,72,4,721,269,20,93,0.56,0.416666666666667,0.538461538461538,7,1,2,0.9,1.04,21.68,"15.29","201512050VAN"
"26",26,26,"2015-12-07","Home","NSH",85,75,"L",14,9,3,"L 1",13,787,336,23,75,4,754,287,22,100,0.538461538461538,0.384615384615385,0.538461538461538,6,2,2,0.9,1.04,21.67,"15.29","201512070BOS"
"27",27,27,"2015-12-09","Away","MTL",88,76,"W",15,9,3,"W 1",14,810,344,23,77,5,787,293,22,103,0.555555555555556,0.384615384615385,0.571428571428571,7,1,2,0.91,1.04,21.69,"15.28","201512090MTL"
"28",28,28,"2015-12-12","Home","FLA",91,77,"W",16,9,3,"W 2",15,835,352,24,78,5,814,301,22,104,0.571428571428571,0.428571428571429,0.571428571428571,7,1,2,0.91,1.04,21.65,"15.28","201512120BOS"
"29",29,29,"2015-12-14","Home","EDM",93,80,"OTL",16,9,4,"L 1",15,884,363,24,81,5,838,312,22,107,0.551724137931034,0.4,0.571428571428571,6,1,3,0.91,1.03,21.63,"15.28","201512140BOS"
"30",30,30,"2015-12-16","Home","PIT",96,80,"W",17,9,4,"W 1",16,913,369,25,85,5,872,320,22,110,0.566666666666667,0.4375,0.571428571428571,6,1,3,0.91,1.03,21.67,"15.28","201512160BOS"
"31",31,31,"2015-12-18","Away","PIT",102,82,"W",18,9,4,"W 2",17,947,381,26,89,6,904,330,22,115,0.580645161290323,0.4375,0.6,6,1,3,0.91,1.03,21.68,"15.28","201512180PIT"
"32",32,32,"2015-12-20","Home","NJD",104,83,"SOW",19,9,4,"W 3",17,986,389,26,90,6,934,336,22,117,0.59375,0.411764705882353,0.6,6,1,3,0.91,1.03,21.67,"15.28","201512200BOS"
"33",33,33,"2015-12-22","Home","STL",104,85,"L",19,10,4,"L 1",17,1018,396,26,90,6,963,341,22,118,0.575757575757576,0.388888888888889,0.6,6,2,2,0.91,1.03,21.72,"15.28","201512220BOS"
"34",34,34,"2015-12-26","Home","BUF",107,91,"L",19,11,4,"L 2",17,1051,402,26,93,6,992,347,22,121,0.558823529411765,0.368421052631579,0.6,6,3,1,0.91,1.03,21.65,"15.28","201512260BOS"
"35",35,35,"2015-12-27","Away","OTT",108,94,"L",19,12,4,"L 3",17,1090,421,26,95,6,1014,356,23,123,0.542857142857143,0.368421052631579,0.5625,5,4,1,0.91,1.03,21.63,"15.28","201512270OTT"
"36",36,36,"2015-12-29","Home","OTT",115,97,"W",20,12,4,"W 1",18,1127,473,30,102,6,1046,414,23,127,0.555555555555556,0.4,0.5625,6,3,1,0.91,1.03,21.62,"15.27","201512290BOS"
"37",37,37,"2016-01-01","Home","MTL",116,102,"L",20,13,4,"L 1",18,1155,489,30,105,6,1076,428,23,131,0.540540540540541,0.380952380952381,0.5625,5,4,1,0.91,1.03,21.62,"15.28","201601010BOS"
"38",38,38,"2016-01-05","Home","WSH",118,105,"L",20,14,4,"L 2",18,1182,495,31,109,6,1105,436,24,134,0.526315789473684,0.363636363636364,0.5625,4,5,1,0.91,1.03,21.57,"15.28","201601050BOS"
"39",39,39,"2016-01-08","Away","NJD",122,106,"W",21,14,4,"W 1",19,1213,506,32,112,6,1125,449,24,136,0.538461538461538,0.363636363636364,0.588235294117647,5,5,0,0.91,1.03,21.54,"15.28","201601080NJD"
"40",40,40,"2016-01-09","Away","OTT",123,108,"OTL",21,14,5,"L 1",19,1247,512,32,113,6,1165,453,24,138,0.525,0.363636363636364,0.555555555555556,4,5,1,0.91,1.02,21.56,"15.28","201601090OTT"
