"","X","GamesPlayed","Date","Location","Opponent","GoalsFor","GoalsAgainst","Outcome","Wins","Losses","OL","Streak","ROW","ShotsFor","PIM","PPG","PPO","SHG","ShotsAgainst","PKM","PKG","PKO","WinPer","HomePer","AwayPer","L10Wins","L10Losses","L10OL","SVPercentage","AvgGoalieCount","AvgShiftCount","ATOI","GID"
"1",1,1,"2015-10-08","Home","OTT",1,3,"L",0,1,0,"L 1",0,27,0,1,3,0,22,6,0,0,0,0,0,0,1,0,0.9,2,22,16.26,"201510080BUF"
"2",2,2,"2015-10-10","Home","TBL",2,7,"L",0,2,0,"L 2",0,52,4,1,5,0,53,10,0,3,0,0,0,0,2,0,0.89,1.5,21.3,15.31,"201510100BUF"
"3",3,3,"2015-10-12","Home","CBJ",6,9,"W",1,2,0,"W 1",1,85,15,4,12,0,77,29,2,6,0.333333333333333,0.333333333333333,0,1,2,0,0.9,1.33,21.06,15.31,"201510120BUF"
"4",4,4,"2015-10-15","Away","FLA",8,12,"L",1,3,0,"L 1",1,111,25,5,18,0,106,41,4,11,0.25,0.333333333333333,0,1,3,0,0.9,1.25,21.04,15.31,"201510150FLA"
"5",5,5,"2015-10-17","Away","TBL",9,14,"L",1,4,0,"L 2",1,143,33,5,21,0,128,47,5,15,0.2,0.333333333333333,0,1,4,0,0.9,1.2,20.88,15.31,"201510170TBL"
"6",6,6,"2015-10-21","Home","TOR",11,15,"SOW",2,4,0,"W 1",1,178,35,5,25,0,152,55,5,16,0.333333333333333,0.25,0,2,4,0,0.91,1.17,21.18,15.3,"201510210BUF"
"7",7,7,"2015-10-23","Home","MTL",13,22,"L",2,5,0,"L 1",1,214,41,6,29,0,178,63,7,19,0.285714285714286,0.2,0,2,5,0,0.88,1.14,21.42,15.3,"201510230BUF"
"8",8,8,"2015-10-24","Home","NJD",16,26,"L",2,6,0,"L 2",1,243,45,8,34,0,206,73,7,21,0.25,0.166666666666667,0,2,6,0,0.88,1.12,21.37,15.3,"201510240BUF"
"9",9,9,"2015-10-27","Away","PHI",20,29,"OTW",3,6,0,"W 1",2,283,49,9,36,0,239,77,7,23,0.333333333333333,0.166666666666667,0,3,6,0,0.88,1.11,21.7,15.3,"201510270PHI"
"10",10,10,"2015-10-29","Away","PIT",23,33,"L",3,7,0,"L 1",2,336,51,9,38,0,268,81,8,24,0.3,0.166666666666667,0,3,7,0,0.88,1.1,21.61,15.29,"201510290PIT"
"11",11,11,"2015-10-30","Home","PHI",26,34,"W",4,7,0,"W 1",3,372,79,10,44,0,296,112,8,28,0.363636363636364,0.285714285714286,0,4,6,0,0.89,1.09,21.71,15.29,"201510300BUF"
"12",12,12,"2015-11-01","Away","NYI",28,35,"W",5,7,0,"W 2",4,394,79,10,44,0,326,112,8,28,0.416666666666667,0.285714285714286,0.2,5,5,0,0.9,1.08,21.75,15.29,"201511010NYI"
"13",13,13,"2015-11-05","Home","TBL",29,39,"L",5,8,0,"L 1",4,425,85,10,46,0,348,116,8,31,0.384615384615385,0.25,0.2,4,6,0,0.89,1.15,21.63,15.28,"201511050BUF"
"14",14,14,"2015-11-07","Home","VAN",32,41,"W",6,8,0,"W 1",5,447,96,11,48,0,385,127,8,33,0.428571428571429,0.333333333333333,0.2,5,5,0,0.9,1.14,21.7,15.28,"201511070BUF"
"15",15,15,"2015-11-10","Away","TBL",36,42,"W",7,8,0,"W 2",6,474,106,12,51,0,416,133,9,38,0.466666666666667,0.333333333333333,0.333333333333333,6,4,0,0.9,1.13,21.72,15.28,"201511100TBL"
"16",16,16,"2015-11-12","Away","FLA",39,44,"W",8,8,0,"W 3",7,493,112,13,52,0,454,135,10,41,0.5,0.333333333333333,0.428571428571429,6,4,0,0.9,1.12,21.77,15.28,"201511120FLA"
"17",17,17,"2015-11-14","Home","SJS",40,46,"OTL",8,8,1,"L 1",7,524,118,13,55,0,486,139,11,44,0.470588235294118,0.3,0.428571428571429,6,3,1,0.91,1.12,21.84,15.28,"201511140BUF"
"18",18,18,"2015-11-17","Home","DAL",41,49,"L",8,9,1,"L 2",7,549,120,14,58,0,515,145,11,45,0.444444444444444,0.272727272727273,0.428571428571429,6,3,1,0.91,1.11,21.84,15.29,"201511170BUF"
"19",19,19,"2015-11-19","Away","STL",43,52,"SOL",8,9,2,"L 3",7,583,127,14,62,0,544,153,13,48,0.421052631578947,0.272727272727273,0.375,5,3,2,0.91,1.11,21.81,15.29,"201511190STL"
"20",20,20,"2015-11-21","Away","DAL",43,55,"L",8,10,2,"L 4",7,605,142,14,65,0,576,164,14,53,0.4,0.272727272727273,0.333333333333333,5,3,2,0.91,1.1,21.82,15.28,"201511210DAL"
"21",21,21,"2015-11-23","Home","STL",44,57,"L",8,11,2,"L 5",7,630,147,14,68,0,602,175,14,53,0.380952380952381,0.25,0.333333333333333,4,4,2,0.91,1.1,21.76,15.29,"201511230BUF"
"22",22,22,"2015-11-25","Home","NSH",46,60,"L",8,12,2,"L 6",7,662,153,14,70,0,622,179,14,56,0.363636363636364,0.230769230769231,0.333333333333333,3,5,2,0.9,1.14,21.73,15.29,"201511250BUF"
"23",23,23,"2015-11-27","Home","CAR",50,61,"W",9,12,2,"W 1",8,683,159,14,71,0,650,183,14,58,0.391304347826087,0.285714285714286,0.333333333333333,4,4,2,0.91,1.13,21.7,15.29,"201511270BUF"
