"","X","GamesPlayed","Date","Location","Opponent","GoalsFor","GoalsAgainst","Outcome","Wins","Losses","OL","Streak","ROW","ShotsFor","PIM","PPG","PPO","SHG","ShotsAgainst","PKM","PKG","PKO","WinPer","HomePer","AwayPer","L10Wins","L10Losses","L10OL","SVPercentage","AvgGoalieCount","AvgShiftCount","ATOI","GID"
"1",1,1,"2015-10-08","Away","NSH",1,2,"L",0,1,0,"L 1",0,26,6,0,3,0,25,6,1,3,0,0,0,0,1,0,0.92,1,20.17,"16.24","201510080NSH"
"2",2,2,"2015-10-10","Home","DET",4,6,"L",0,2,0,"L 2",0,73,10,1,9,0,44,20,1,4,0,0,0,0,2,0,0.85,1,21.75,"16.29","201510100CAR"
"3",3,3,"2015-10-13","Home","FLA",5,10,"L",0,3,0,"L 3",0,96,14,1,13,0,74,28,1,7,0,0,0,0,3,0,0.87,1,21.06,"16.27","201510130CAR"
"4",4,4,"2015-10-16","Away","DET",10,13,"W",1,3,0,"W 1",1,132,18,2,16,0,94,34,1,9,0.25,0,0.5,1,3,0,0.86,1,21.39,"16.26","201510160DET"
"5",5,5,"2015-10-17","Away","WSH",11,17,"L",1,4,0,"L 1",1,151,24,2,20,0,128,44,3,11,0.2,0,0.333333333333333,1,4,0,0.87,1,21.36,"16.27","201510170WSH"
"6",6,6,"2015-10-21","Away","COL",12,17,"OTW",2,4,0,"W 1",2,170,32,2,25,0,154,54,3,15,0.333333333333333,0,0.25,2,4,0,0.89,1,21.54,"16.28","201510210COL"
"7",7,7,"2015-10-23","Away","LAK",12,20,"L",2,5,0,"L 1",2,210,38,2,29,0,182,64,4,17,0.285714285714286,0,0.2,2,5,0,0.89,1,21.57,"15.28","201510230LAK"
"8",8,8,"2015-10-24","Away","SJS",14,25,"L",2,6,0,"L 2",2,244,40,3,32,0,203,70,4,18,0.25,0,0.166666666666667,2,6,0,0.88,1.12,21.54,"15.28","201510240SJS"
"9",9,9,"2015-10-27","Away","DET",17,26,"W",3,6,0,"W 1",3,265,46,3,35,0,229,78,4,20,0.333333333333333,0,0.285714285714286,3,6,0,0.89,1.11,21.77,"15.29","201510270DET"
"10",10,10,"2015-10-29","Away","NYI",20,28,"OTW",4,6,0,"W 2",4,294,50,3,37,0,248,82,5,22,0.4,0,0.25,4,6,0,0.89,1.1,21.68,"15.28","201510290NYI"
"11",11,11,"2015-10-30","Home","COL",23,30,"W",5,6,0,"W 3",5,320,56,4,41,0,280,90,5,25,0.454545454545455,0.333333333333333,0.25,5,5,0,0.9,1.09,21.53,"15.28","201510300CAR"
"12",12,12,"2015-11-01","Home","TBL",26,34,"L",5,7,0,"L 1",5,355,64,5,43,0,311,94,6,29,0.416666666666667,0.25,0.25,5,5,0,0.9,1.08,21.53,"15.28","201511010CAR"
"13",13,13,"2015-11-06","Home","DAL",27,38,"L",5,8,0,"L 2",5,386,66,5,43,0,339,94,6,30,0.384615384615385,0.2,0.25,5,5,0,0.9,1.08,21.59,"15.28","201511060CAR"
