"","X","GamesPlayed","Date","Location","Opponent","GoalsFor","GoalsAgainst","Outcome","Wins","Losses","OL","Streak","ROW","ShotsFor","PIM","PPG","PPO","SHG","ShotsAgainst","PKM","PKG","PKO","WinPer","HomePer","AwayPer","L10Wins","L10Losses","L10OL","SVPercentage","AvgGoalieCount","AvgShiftCount","ATOI","GID","AvgCFPerClose","AvgCFPer5v5","AvgCFPerEven","AvgAge","PDO","FOWPer"
"1",1,1,"2015-10-09","Home","NYR",2,4,"L",0,1,0,"L 1",0,33,6,1,5,0,25,12,0,2,0,0,0,0,1,0,0.84,1,21.5,16.29,"201510090CBJ",58.5,58,58.1,26.5,99.4,49
"2",2,2,"2015-10-10","Away","NYR",4,9,"L",0,2,0,"L 2",0,72,12,2,10,0,54,24,1,4,0,0,0,0,2,0,0.84,1.5,20.8,16.28,"201510100NYR",54.25,60.25,60.3,26.5,99.4,49
"3",3,3,"2015-10-12","Away","BUF",6,13,"L",0,3,0,"L 3",0,96,31,4,13,0,87,35,4,11,0,0,0,0,3,0,0.85,1.33,20.74,15.29,"201510120BUF",48.47,53.17,54.9,26.5,99.4,49
"4",4,4,"2015-10-14","Home","OTT",9,20,"L",0,4,0,"L 4",0,137,42,5,17,0,114,50,5,14,0,0,0,0,4,0,0.83,1.25,20.25,15.29,"201510140CBJ",51.23,53.9,54.95,26.5,99.4,49
"5",5,5,"2015-10-16","Home","TOR",12,26,"L",0,5,0,"L 5",0,164,46,6,21,0,148,60,5,15,0,0,0,0,5,0,0.83,1.2,20.49,15.3,"201510160CBJ",48.22,52.08,52.88,26.5,99.4,49
"6",6,6,"2015-10-17","Away","CHI",13,30,"L",0,6,0,"L 6",0,187,65,6,23,0,178,73,7,20,0,0,0,0,6,0,0.85,1.17,20.24,15.28,"201510170CHI",46.73,49.98,50.82,26.5,99.4,49
"7",7,7,"2015-10-20","Home","NYI",13,34,"L",0,7,0,"L 7",0,224,76,6,29,0,207,94,7,21,0,0,0,0,7,0,0.85,1.14,20.12,15.28,"201510200CBJ",47.83,51.77,52.21,26.5,99.4,49
"8",8,8,"2015-10-22","Away","MIN",15,37,"L",0,8,0,"L 8",0,253,80,7,31,0,230,98,8,23,0,0,0,0,8,0,0.85,1.12,20.63,15.29,"201510220MIN",47.65,52,52.35,26.5,99.4,49
"9",9,9,"2015-10-24","Away","COL",19,40,"W",1,8,0,"W 1",1,289,97,8,36,0,264,113,9,29,0.111111111111111,0,0.2,1,8,0,0.86,1.11,20.75,15.29,"201510240COL",47.06,52.62,52.79,26.5,99.4,49
"10",10,10,"2015-10-27","Away","NJD",22,41,"W",2,8,0,"W 2",2,303,107,8,39,0,288,121,10,33,0.2,0,0.333333333333333,2,8,0,0.87,1.1,20.75,15.3,"201510270NJD",45.81,51.44,51.66,26.5,99.4,49
"11",11,11,"2015-10-30","Away","WSH",23,43,"L",2,9,0,"L 1",2,333,111,8,42,0,316,127,10,35,0.181818181818182,0,0.285714285714286,2,8,0,0.88,1.09,20.74,15.29,"201510300WSH",45.67,50.73,51.17,26.5,99.4,49
"12",12,12,"2015-10-31","Home","WPG",25,46,"L",2,10,0,"L 2",2,354,122,8,47,0,343,142,11,38,0.166666666666667,0,0.285714285714286,2,8,0,0.87,1.17,20.65,15.29,"201510310CBJ",44.06,50.1,50.7,26.5,99.4,49
"13",13,13,"2015-11-03","Away","SJS",30,48,"W",3,10,0,"W 1",3,378,133,9,49,0,386,151,11,42,0.230769230769231,0,0.375,3,7,0,0.88,1.15,20.75,15.3,"201511030SJS",44.24,49.21,49.57,26.5,99.4,49
"14",14,14,"2015-11-05","Away","LAK",33,50,"W",4,10,0,"W 2",4,403,159,10,53,0,419,177,12,46,0.285714285714286,0,0.444444444444444,4,6,0,0.88,1.14,20.9,15.3,"201511050LAK",43.19,48.34,48.94,26.5,99.4,49
"15",15,15,"2015-11-06","Away","ANA",35,54,"L",4,11,0,"L 1",4,439,169,10,55,0,453,185,13,49,0.266666666666667,0,0.4,4,6,0,0.89,1.13,20.89,15.29,"201511060ANA",43.3,48.16,48.74,26.5,99.4,49
"16",16,16,"2015-11-10","Home","VAN",38,59,"L",4,12,0,"L 2",4,484,177,12,58,1,483,191,13,52,0.25,0,0.4,4,6,0,0.88,1.12,20.96,15.29,"201511100CBJ",44.38,48.82,49.43,26.5,99.4,49
"17",17,17,"2015-11-13","Away","PIT",40,60,"W",5,12,0,"W 1",5,512,189,13,62,1,512,199,13,58,0.294117647058824,0,0.454545454545455,5,5,0,0.89,1.12,21.13,15.29,"201511130PIT",45.32,48.93,49.31,26.5,99.4,49
"18",18,18,"2015-11-14","Home","ARI",45,62,"W",6,12,0,"W 2",6,533,219,15,66,1,541,237,13,63,0.333333333333333,0.142857142857143,0.454545454545455,6,4,0,0.89,1.11,21.13,15.29,"201511140CBJ",44.59,47.98,48.31,26.5,99.4,49
"19",19,19,"2015-11-17","Home","STL",48,63,"W",7,12,0,"W 3",7,571,223,15,70,1,561,245,13,65,0.368421052631579,0.25,0.454545454545455,6,4,0,0.89,1.11,21.16,15.29,"201511170CBJ",45.63,48.52,48.86,26.5,99.4,49
"20",20,20,"2015-11-19","Away","OTT",48,66,"L",7,13,0,"L 1",7,596,255,15,73,1,590,262,14,70,0.35,0.25,0.416666666666667,5,5,0,0.9,1.1,21.18,15.29,"201511190OTT",45.54,48.51,48.8,26.5,99.4,49
"21",21,21,"2015-11-20","Home","NSH",52,66,"W",8,13,0,"W 1",8,614,261,15,74,1,629,264,14,73,0.380952380952381,0.333333333333333,0.416666666666667,6,4,0,0.9,1.1,21.12,15.29,"201511200CBJ",46.54,47.43,47.68,26.5,99.4,49
"22",22,22,"2015-11-22","Home","SJS",55,71,"L",8,14,0,"L 1",8,645,291,15,77,1,658,280,15,78,0.363636363636364,0.3,0.416666666666667,6,4,0,0.9,1.09,21.11,15.3,"201511220CBJ",46.49,47.35,47.59,26.5,99.4,49
"23",23,23,"2015-11-25","Away","NJD",57,72,"W",9,14,0,"W 1",9,670,303,15,79,1,686,286,15,83,0.391304347826087,0.3,0.461538461538462,6,4,0,0.9,1.09,21.04,15.29,"201511250NJD",46.68,47.28,47.45,26.5,99.4,49
"24",24,24,"2015-11-27","Home","PIT",59,73,"OTW",10,14,0,"W 2",10,713,320,15,83,1,711,303,16,87,0.416666666666667,0.272727272727273,0.461538461538462,6,4,0,0.9,1.08,21.09,15.29,"201511270CBJ",46.93,47.54,47.83,26.5,99.4,49
"25",25,25,"2015-11-28","Away","STL",60,76,"L",10,15,0,"L 1",10,737,326,15,84,1,743,305,17,90,0.4,0.272727272727273,0.428571428571429,6,4,0,0.91,1.08,21.08,15.29,"201511280STL",46.37,47.23,47.49,26.5,99.4,49
