"","X.1","X","GamesPlayed","Date","Location","Opponent","GoalsFor","GoalsAgainst","Outcome","Wins","Losses","OL","Streak","ROW","ShotsFor","PIM","PPG","PPO","SHG","ShotsAgainst","PKM","PKG","PKO","WinPer","HomePer","AwayPer","L10Wins","L10Losses","L10OL","SVPercentage","AvgGoalieCount","AvgShiftCount","ATOI","GID","AvgCFPerClose","AvgCFPer5v5","AvgCFPerEven","AvgAge","PDO","FOWPer"
"1",1,1,1,"2015-10-07","Home","VAN",1,5,"L",0,1,0,"L 1",0,30,38,0,2,0,44,36,0,3,0,0,0,0,1,0,0.89,1,26.22,"15.26","201510070CGY",47.5,47.9,49.5,"27.7","99.1","48.6"
"2",2,2,2,"2015-10-10","Away","VAN",4,7,"OTW",1,1,0,"W 1",1,68,50,1,4,0,74,44,1,7,0.5,0,0,1,1,0,0.91,1,26.77,"15.27","201510100VAN",49.75,52.9,53.2,"27.7","99.1","48.6"
"3",3,3,3,"2015-10-13","Home","STL",7,11,"L",1,2,0,"L 1",1,86,52,2,8,0,102,52,2,8,0.333333333333333,0,0,1,2,0,0.89,1,25.91,"15.26","201510130CGY",45.6,48,49.3,"27.7","99.1","48.6"
"4",4,4,4,"2015-10-16","Away","WPG",8,14,"L",1,3,0,"L 2",1,106,60,2,10,0,132,56,2,12,0.25,0,0,1,3,0,0.9,1,25.58,"15.27","201510160WPG",44.85,46.62,47.48,"27.7","99.1","48.6"
"5",5,5,5,"2015-10-17","Home","EDM",10,19,"L",1,4,0,"L 3",1,130,73,3,14,0,160,69,3,16,0.2,0,0,1,4,0,0.89,1,25.08,"15.27","201510170CGY",44.3,46.32,47,"27.7","99.1","48.6"
"6",6,6,6,"2015-10-20","Home","WSH",12,25,"L",1,5,0,"L 4",1,149,79,3,16,0,190,73,3,19,0.166666666666667,0,0,1,5,0,0.87,1.17,25.01,"15.27","201510200CGY",43.78,45.42,45.98,"27.7","99.1","48.6"
"7",7,7,7,"2015-10-23","Home","DET",15,27,"OTW",2,5,0,"W 1",2,189,94,3,19,0,219,86,5,23,0.285714285714286,0,0,2,5,0,0.88,1.14,24.97,"15.28","201510230CGY",45.41,46.61,47.16,"27.7","99.1","48.6"
"8",8,8,8,"2015-10-25","Away","NYR",16,31,"L",2,6,0,"L 1",2,212,100,3,21,0,245,92,5,25,0.25,0,0,2,6,0,0.88,1.25,24.71,"15.27","201510250NYR",46.16,47.11,47.31,"27.7","99.1","48.6"
"9",9,9,9,"2015-10-26","Away","NYI",16,35,"L",2,7,0,"L 2",2,241,116,3,24,0,280,98,6,28,0.222222222222222,0,0,2,7,0,0.88,1.22,24.55,"15.28","201510260NYI",45.63,47.06,47.23,"27.7","99.1","48.6"
"10",10,10,10,"2015-10-28","Away","OTT",20,40,"SOL",2,7,1,"L 3",2,279,124,4,28,0,303,106,6,32,0.2,0,0,2,7,1,0.88,1.3,24.65,"15.28","201510280OTT",46.44,48.22,48.22,"27.7","99.1","48.6"
"11",11,11,11,"2015-10-30","Home","MTL",22,46,"L",2,8,1,"L 4",2,311,132,4,31,0,334,114,7,35,0.181818181818182,0,0,2,7,1,0.88,1.27,24.5,"15.28","201510300CGY",47.59,48.85,48.85,"27.7","99.1","48.6"
"12",12,12,12,"2015-10-31","Away","EDM",27,50,"W",3,8,1,"W 1",3,343,142,5,34,0,357,122,9,39,0.25,0,0.166666666666667,2,7,1,0.87,1.25,24.47,"15.28","201510310EDM",48.26,49.19,49.3,"27.7","99.1","48.6"
"13",13,13,13,"2015-11-03","Away","COL",30,56,"L",3,9,1,"L 1",3,368,146,5,36,0,399,126,10,42,0.230769230769231,0,0.142857142857143,2,7,1,0.87,1.23,24.4,"15.28","201511030COL",48.35,49.67,49.69,"27.7","99.1","48.6"
"14",14,14,14,"2015-11-05","Home","PHI",32,57,"OTW",4,9,1,"W 1",4,398,150,5,38,0,426,128,10,44,0.285714285714286,0,0.142857142857143,3,6,1,0.88,1.21,24.35,"15.29","201511050CGY",47.71,49.01,49.06,"27.7","99.1","48.6"
"15",15,15,15,"2015-11-07","Home","PIT",37,59,"W",5,9,1,"W 2",5,429,154,6,41,0,451,134,11,46,0.333333333333333,0.125,0.142857142857143,4,5,1,0.88,1.2,24.42,"15.29","201511070CGY",49.22,48.79,48.97,"27.7","99.1","48.6"
"16",16,16,16,"2015-11-10","Away","FLA",40,63,"L",5,10,1,"L 1",5,457,163,7,42,0,482,141,12,48,0.3125,0.125,0.125,4,5,1,0.88,1.19,24.4,"15.29","201511100FLA",48.89,48.51,48.66,"27.7","99.1","48.6"
"17",17,17,17,"2015-11-12","Away","TBL",41,66,"L",5,11,1,"L 2",5,488,167,8,46,0,511,149,13,50,0.294117647058824,0.125,0.111111111111111,3,6,1,0.88,1.18,24.29,"15.29","201511120TBL",48.89,48.51,48.71,"27.7","99.1","48.6"
"18",18,18,18,"2015-11-13","Away","WSH",44,68,"OTW",6,11,1,"W 1",6,517,176,8,48,0,547,158,13,52,0.333333333333333,0.125,0.1,4,5,1,0.89,1.17,24.32,"15.29","201511130WSH",48.93,48,48.33,"27.7","99.1","48.6"
"19",19,19,19,"2015-11-15","Away","CHI",45,72,"L",6,12,1,"L 1",6,543,178,8,50,0,588,162,13,53,0.315789473684211,0.125,0.0909090909090909,4,5,1,0.89,1.16,24.23,"15.29","201511150CHI",47.74,47.64,47.92,"27.7","99.1","48.6"
"20",20,20,20,"2015-11-17","Home","NJD",48,74,"W",7,12,1,"W 1",7,573,184,8,54,0,608,170,14,56,0.35,0.222222222222222,0.0909090909090909,5,5,0,0.89,1.15,24.18,"15.29","201511170CGY",47.9,47.79,47.99,"27.7","99.1","48.6"
"21",21,21,21,"2015-11-20","Home","CHI",50,75,"OTW",8,12,1,"W 2",8,610,190,8,56,0,627,174,15,59,0.380952380952381,0.2,0.0909090909090909,6,4,0,0.89,1.14,24.09,"15.29","201511200CGY",48.3,48.33,48.6,"27.7","99.1","48.6"
"22",22,22,22,"2015-11-24","Away","ANA",53,80,"L",8,13,1,"L 1",8,635,199,8,58,0,659,183,17,61,0.363636363636364,0.2,0.0833333333333333,5,5,0,0.89,1.14,24.06,"15.29","201511240ANA",47.45,47.6,47.86,"27.7","99.1","48.6"
"23",23,23,23,"2015-11-27","Away","ARI",54,82,"OTL",8,13,2,"L 2",8,661,205,9,64,0,680,197,17,63,0.347826086956522,0.2,0.0769230769230769,5,4,1,0.89,1.13,23.99,"15.29","201511270ARI",47.82,48.01,48.13,"27.7","99.1","48.6"
"24",24,24,24,"2015-11-28","Away","SJS",56,87,"L",8,14,2,"L 3",8,688,214,9,67,0,709,208,19,65,0.333333333333333,0.2,0.0714285714285714,4,5,1,0.89,1.12,23.91,"15.29","201511280SJS",47.52,48.18,48.29,"27.7","99.1","48.6"
"25",25,25,25,"2015-12-01","Home","DAL",60,90,"SOW",9,14,2,"W 1",8,720,218,9,70,0,738,214,19,67,0.36,0.181818181818182,0.0714285714285714,4,5,1,0.89,1.12,23.89,"15.29","201512010CGY",46.73,48.43,48.48,"27.7","99.1","48.6"
