"","GamesPlayed","Date","Location","Opponent","GoalsFor","GoalsAgainst","Outcome","Wins","Losses","OL","Streak","ROW","ShotsFor","PIM","PPG","PPO","SHG","ShotsAgainst","PKM","PKG","PKO","WinPer","HomePer","AwayPer","L10Wins","L10Losses","L10OL"
"1",1,"2015-10-07","Home","NYR",2,3,"L","0","1","0","L 1",0,34,2,0,1,0,27,4,0,0,0,0,0,0,1,0
"2",2,"2015-10-09","Away","NYI",5,5,"OTW","1","1","0","W 1",1,69,4,1,4,1,63,10,0,2,0.5,0,0,1,1,0
"3",3,"2015-10-10","Home","NYI",9,6,"W","2","1","0","W 2",2,103,8,2,11,1,92,34,0,4,0.666666666666667,0.5,0,2,1,0
"4",4,"2015-10-14","Away","PHI",9,9,"L","2","2","0","L 1",2,133,18,2,16,1,121,44,1,10,0.5,0.5,0,2,2,0
"5",5,"2015-10-15","Away","WSH",10,13,"L","2","3","0","L 2",2,160,22,2,17,1,145,46,2,12,0.4,0.5,0,2,3,0
"6",6,"2015-10-17","Home","CBJ",14,14,"W","3","3","0","W 1",3,190,35,4,22,1,168,65,2,14,0.5,0.666666666666667,0,3,3,0
"7",7,"2015-10-22","Home","FLA",17,16,"W","4","3","0","W 2",4,217,43,6,30,1,186,81,3,18,0.571428571428571,0.75,0,4,3,0
"8",8,"2015-10-24","Home","TBL",18,16,"OTW","5","3","0","W 3",5,249,51,6,33,1,207,87,3,22,0.625,0.6,0,5,3,0
"9",9,"2015-10-26","Home","ANA",19,16,"OTW","6","3","0","W 4",6,273,66,6,36,1,246,112,3,25,0.666666666666667,0.5,0,6,3,0
"10",10,"2015-10-29","Away","WPG",20,19,"L","6","4","0","L 1",6,319,72,7,39,1,277,118,4,28,0.6,0.5,0,6,4,0
"11",11,"2015-10-30","Away","MIN",24,24,"L","6","5","0","L 2",6,348,76,8,40,2,307,120,5,30,0.545454545454545,0.5,0,6,4,0
"12",12,"2015-11-02","Home","LAK",28,26,"W","7","5","0","W 1",7,374,82,8,41,3,342,124,5,32,0.583333333333333,0.571428571428571,0,6,4,0
"13",13,"2015-11-04","Home","STL",33,32,"OTL","7","5","1","L 1",7,417,86,9,46,3,371,134,6,34,0.538461538461538,0.5,0,5,4,1
"14",14,"2015-11-06","Away","NJD",35,36,"L","7","6","1","L 2",7,446,95,9,49,3,397,145,6,36,0.5,0.5,0,5,4,1
