"","X","GamesPlayed","Date","Location","Opponent","GoalsFor","GoalsAgainst","Outcome","Wins","Losses","OL","Streak","ROW","ShotsFor","PIM","PPG","PPO","SHG","ShotsAgainst","PKM","PKG","PKO","WinPer","HomePer","AwayPer","L10Wins","L10Losses","L10OL","SVPercentage","AvgGoalieCount","AvgShiftCount","ATOI","GID"
"1",1,1,"2015-10-08","Home","MIN",4,5,"L",0,1,0,"L 1",0,23,6,2,2,0,30,6,1,2,0,0,0,0,1,0,0.83,1,21.17,16.26,"201510080COL"
"2",2,2,"2015-10-10","Home","DAL",10,8,"W",1,1,0,"W 1",1,51,21,4,6,0,63,19,2,6,0.5,0.5,0,1,1,0,0.87,1,22.64,15.3,"201510100COL"
"3",3,3,"2015-10-14","Home","BOS",12,14,"L",1,2,0,"L 1",1,73,25,5,10,0,88,27,2,8,0.333333333333333,0.333333333333333,0,1,2,0,0.87,1.33,21.2,15.3,"201510140COL"
"4",4,4,"2015-10-16","Away","ANA",15,14,"W",2,2,0,"W 1",2,98,39,5,12,0,123,35,2,13,0.5,0.333333333333333,1,2,2,0,0.9,1.25,21.23,15.27,"201510160ANA"
"5",5,5,"2015-10-18","Away","LAK",16,16,"L",2,3,0,"L 1",2,121,67,6,18,0,163,67,2,17,0.4,0.333333333333333,0.5,2,3,0,0.91,1.2,21.21,15.26,"201510180LAK"
"6",6,6,"2015-10-21","Home","CAR",16,17,"OTL",2,3,1,"L 2",2,147,77,6,22,0,182,75,2,22,0.333333333333333,0.25,0.5,2,3,1,0.92,1.17,21.09,15.27,"201510210COL"
"7",7,7,"2015-10-24","Home","CBJ",19,21,"L",2,4,1,"L 3",2,181,92,7,28,0,218,92,3,27,0.285714285714286,0.2,0.5,2,4,1,0.91,1.14,21.09,15.28,"201510240COL"
"8",8,8,"2015-10-27","Away","FLA",20,25,"L",2,5,1,"L 4",2,213,98,7,33,0,246,102,6,30,0.25,0.2,0.333333333333333,2,5,1,0.91,1.12,21.06,15.29,"201510270FLA"
"9",9,9,"2015-10-29","Away","TBL",22,26,"W",3,5,1,"W 1",3,239,106,7,39,0,281,114,7,34,0.333333333333333,0.2,0.5,3,5,1,0.91,1.11,21.14,15.28,"201510290TBL"
"10",10,10,"2015-10-30","Away","CAR",24,29,"L",3,6,1,"L 1",3,271,114,7,42,0,307,120,8,38,0.3,0.2,0.4,3,6,1,0.91,1.1,21.05,15.28,"201510300CAR"
"11",11,11,"2015-11-01","Home","SJS",27,33,"L",3,7,1,"L 2",3,297,123,9,46,0,339,133,8,39,0.272727272727273,0.166666666666667,0.4,3,6,1,0.91,1.09,21.34,15.27,"201511010COL"
"12",12,12,"2015-11-03","Home","CGY",33,36,"W",4,7,1,"W 1",4,339,127,10,49,1,364,137,8,41,0.333333333333333,0.285714285714286,0.4,3,6,1,0.91,1.08,21.48,15.27,"201511030COL"
"13",13,13,"2015-11-05","Away","ARI",35,40,"L",4,8,1,"L 1",4,367,139,10,54,1,392,147,8,47,0.307692307692308,0.285714285714286,0.333333333333333,3,6,1,0.91,1.08,21.5,15.27,"201511050ARI"
"14",14,14,"2015-11-06","Home","NYR",36,42,"L",4,9,1,"L 2",4,397,145,11,59,1,425,159,9,49,0.285714285714286,0.25,0.333333333333333,2,7,1,0.91,1.07,21.41,15.27,"201511060COL"
"15",15,15,"2015-11-10","Away","PHI",40,42,"W",5,9,1,"W 1",5,437,147,12,61,1,450,163,9,50,0.333333333333333,0.25,0.428571428571429,3,6,1,0.91,1.07,21.57,15.27,"201511100PHI"
"16",16,16,"2015-11-12","Away","BOS",43,44,"W",6,9,1,"W 2",6,467,164,12,64,1,477,176,10,52,0.375,0.25,0.5,4,6,0,0.92,1.06,21.54,15.27,"201511120BOS"
