"","GamesPlayed","Date","Location","Opponent","GoalsFor","GoalsAgainst","Outcome","Wins","Losses","OL","Streak","ROW","ShotsFor","PIM","PPG","PPO","SHG","ShotsAgainst","PKM","PKG","PKO","WinPer","HomePer","AwayPer","L10Wins","L10Losses","L10OL"
"1",1,"2015-10-08","Home","PIT",3,0,"W","1","0","0","W 1",1,24,6,2,5,0,37,10,0,3,1,1,0,1,0,0
"2",2,"2015-10-10","Away","COL",6,6,"L","1","1","0","L 1",1,57,19,3,9,0,65,25,2,7,0.5,1,0,1,1,0
"3",3,"2015-10-13","Home","EDM",10,8,"W","2","1","0","W 1",2,109,23,3,13,0,93,35,2,8,0.666666666666667,1,0,2,1,0
"4",4,"2015-10-15","Away","TBL",15,11,"W","3","1","0","W 2",3,131,29,5,16,0,126,54,2,10,0.75,1,0.5,3,1,0
"5",5,"2015-10-17","Away","FLA",19,13,"W","4","1","0","W 3",4,168,33,6,18,0,152,60,2,11,0.8,1,0.666666666666667,4,1,0
"6",6,"2015-10-20","Away","PHI",21,14,"W","5","1","0","W 4",5,200,45,6,20,0,187,70,2,15,0.833333333333333,1,0.75,5,1,0
"7",7,"2015-10-22","Away","PIT",25,15,"W","6","1","0","W 5",6,223,68,7,23,0,221,76,2,20,0.857142857142857,1,0.8,6,1,0
"8",8,"2015-10-24","Home","FLA",27,21,"L","6","2","0","L 1",6,258,79,8,27,0,251,91,2,22,0.75,0.666666666666667,0.8,6,2,0
"9",9,"2015-10-27","Home","ANA",31,24,"W","7","2","0","W 1",7,292,92,9,30,1,271,102,3,26,0.777777777777778,0.75,0.8,7,2,0
"10",10,"2015-10-29","Home","VAN",35,27,"OTW","8","2","0","W 2",8,321,98,9,33,1,303,110,4,28,0.8,0.6,0.8,8,2,0
"11",11,"2015-10-31","Home","SJS",40,30,"W","9","2","0","W 3",9,346,106,10,38,2,332,118,6,32,0.818181818181818,0.666666666666667,0.8,8,2,0
"12",12,"2015-11-02","Away","TOR",41,34,"L","9","3","0","L 1",9,390,116,10,40,2,358,120,8,37,0.75,0.666666666666667,0.666666666666667,8,2,0
"13",13,"2015-11-03","Away","BOS",46,37,"W","10","3","0","W 1",10,409,124,13,44,2,397,128,9,41,0.769230769230769,0.666666666666667,0.714285714285714,8,2,0
"14",14,"2015-11-06","Away","CAR",50,38,"W","11","3","0","W 2",11,437,124,13,45,2,428,130,9,41,0.785714285714286,0.666666666666667,0.75,8,2,0
"15",15,"2015-11-08","Away","DET",54,39,"W","12","3","0","W 3",12,463,132,14,48,3,450,136,10,46,0.8,0.666666666666667,0.777777777777778,8,2,0
"16",16,"2015-11-10","Home","TOR",56,42,"L","12","4","0","L 1",12,501,134,14,49,3,480,138,11,47,0.75,0.571428571428571,0.777777777777778,7,3,0
"17",17,"2015-11-12","Home","WPG",62,45,"W","13","4","0","W 1",13,535,140,16,53,3,518,146,11,51,0.764705882352941,0.625,0.777777777777778,7,3,0
"18",18,"2015-11-14","Home","MIN",65,47,"OTW","14","4","0","W 2",14,571,152,17,57,3,542,156,11,55,0.777777777777778,0.555555555555556,0.777777777777778,8,2,0
"19",19,"2015-11-17","Away","BUF",68,48,"W","15","4","0","W 3",15,600,158,17,58,3,567,158,12,58,0.789473684210526,0.555555555555556,0.8,8,2,0
"20",20,"2015-11-19","Away","WSH",71,50,"W","16","4","0","W 4",16,631,158,17,60,3,602,162,12,58,0.8,0.555555555555556,0.818181818181818,8,2,0
"21",21,"2015-11-21","Home","BUF",74,50,"W","17","4","0","W 5",17,663,169,18,65,3,624,177,12,61,0.80952380952381,0.6,0.818181818181818,8,2,0
"22",22,"2015-11-24","Home","OTT",78,57,"L","17","5","0","L 1",17,700,175,18,67,4,644,181,13,64,0.772727272727273,0.545454545454545,0.818181818181818,8,2,0
"23",23,"2015-11-27","Home","VAN",81,59,"SOW","18","5","0","W 1",17,725,189,20,72,4,680,189,14,71,0.782608695652174,0.5,0.818181818181818,8,2,0
"24",24,"2015-11-28","Away","MIN",85,62,"OTW","19","5","0","W 2",18,769,193,20,74,5,706,193,14,73,0.791666666666667,0.5,0.75,8,2,0
"25",25,"2015-12-01","Away","CGY",88,66,"SOL","19","5","1","L 1",18,798,199,20,76,5,738,197,14,76,0.76,0.5,0.692307692307692,7,2,1
"26",26,"2015-12-03","Away","VAN",92,68,"W","20","5","1","W 1",19,832,210,20,79,5,754,212,14,77,0.769230769230769,0.5,0.714285714285714,8,1,1
"27",27,"2015-12-04","Away","EDM",93,70,"OTL","20","5","2","L 1",19,875,216,20,83,5,778,220,14,80,0.740740740740741,0.5,0.666666666666667,7,1,2
"28",28,"2015-12-08","Home","CAR",99,75,"W","21","5","2","W 1",20,895,220,22,86,5,808,224,16,83,0.75,0.538461538461538,0.666666666666667,7,1,2
"29",29,"2015-12-11","Home","PHI",102,76,"W","22","5","2","W 2",21,939,224,22,92,5,828,236,17,85,0.758620689655172,0.571428571428571,0.666666666666667,7,1,2
"30",30,"2015-12-12","Away","STL",102,79,"L","22","6","2","L 1",21,965,246,22,96,5,854,256,18,88,0.733333333333333,0.571428571428571,0.625,6,2,2
"31",31,"2015-12-15","Home","CBJ",107,80,"W","23","6","2","W 1",22,999,267,22,99,5,889,279,19,90,0.741935483870968,0.6,0.625,6,2,2
"32",32,"2015-12-17","Home","CGY",108,83,"L","23","7","2","L 1",22,1035,278,22,102,6,916,290,19,93,0.71875,0.5625,0.625,6,2,2
"33",33,"2015-12-19","Home","MTL",114,85,"W","24","7","2","W 1",23,1062,290,25,110,6,939,306,20,99,0.727272727272727,0.588235294117647,0.625,6,2,2
"34",34,"2015-12-21","Away","MIN",120,88,"W","25","7","2","W 2",24,1096,292,26,112,6,974,312,20,99,0.735294117647059,0.588235294117647,0.647058823529412,6,2,2
"35",35,"2015-12-22","Home","CHI",124,88,"W","26","7","2","W 3",25,1128,298,27,116,6,994,322,20,101,0.742857142857143,0.611111111111111,0.647058823529412,7,2,1
"36",36,"2015-12-26","Away","STL",126,91,"SOL","26","7","3","L 1",25,1152,306,27,117,6,1031,324,21,105,0.722222222222222,0.611111111111111,0.611111111111111,6,2,2
"37",37,"2015-12-27","Home","STL",129,91,"W","27","7","3","W 1",26,1190,324,29,120,6,1053,344,21,107,0.72972972972973,0.631578947368421,0.611111111111111,7,2,1
"38",38,"2015-12-29","Away","CBJ",132,97,"L","27","8","3","L 1",26,1233,330,29,123,6,1086,352,21,109,0.710526315789474,0.631578947368421,0.578947368421053,6,3,1
"39",39,"2015-12-31","Home","NSH",137,98,"W","28","8","3","W 1",27,1265,332,29,124,6,1120,354,21,110,0.717948717948718,0.65,0.578947368421053,6,3,1
"40",40,"2016-01-02","Away","NJD",139,101,"OTL","28","8","4","L 1",27,1296,340,29,127,6,1150,360,22,114,0.7,0.65,0.55,6,2,2
"41",41,"2016-01-03","Away","NYI",144,107,"L","28","9","4","L 2",27,1337,365,30,131,6,1194,368,24,121,0.682926829268293,0.65,0.523809523809524,5,3,2
"42",42,"2016-01-05","Away","NYR",146,113,"L","28","10","4","L 3",27,1360,371,30,134,6,1223,374,24,124,0.666666666666667,0.65,0.5,5,3,2
"43",43,"2016-01-07","Home","WPG",148,114,"SOW","29","10","4","W 1",27,1384,379,30,136,6,1256,380,24,127,0.674418604651163,0.619047619047619,0.5,5,3,2
"44",44,"2016-01-09","Home","MIN",149,116,"L","29","11","4","L 1",27,1419,383,31,138,6,1281,386,24,128,0.659090909090909,0.590909090909091,0.5,4,4,2
"45",45,"2016-01-15","Away","ANA",151,120,"L","29","12","4","L 2",27,1443,389,32,142,7,1316,394,25,131,0.644444444444444,0.590909090909091,0.478260869565217,3,5,2
"46",46,"2016-01-16","Away","SJS",154,124,"OTL","29","12","5","L 3",27,1478,393,32,144,7,1355,396,27,133,0.630434782608696,0.590909090909091,0.458333333333333,3,5,2
"47",47,"2016-01-19","Away","LAK",156,127,"L","29","13","5","L 4",27,1507,397,32,146,7,1384,400,28,135,0.617021276595745,0.590909090909091,0.44,2,6,2
"48",48,"2016-01-21","Home","EDM",159,129,"W","30","13","5","W 1",28,1542,403,32,148,7,1409,404,29,138,0.625,0.608695652173913,0.44,3,5,2
"49",49,"2016-01-23","Home","COL",160,132,"L","30","14","5","L 1",28,1585,403,33,153,7,1424,414,29,139,0.612244897959184,0.583333333333333,0.44,2,6,2
"50",50,"2016-01-25","Home","CGY",162,133,"W","31","14","5","W 1",29,1615,415,33,155,7,1448,420,29,144,0.62,0.6,0.44,3,6,1
"51",51,"2016-02-02","Away","WPG",167,136,"W","32","14","5","W 2",30,1642,423,34,159,7,1472,430,30,147,0.627450980392157,0.6,0.461538461538462,4,5,1
"52",52,"2016-02-04","Away","COL",171,139,"OTW","33","14","5","W 3",31,1686,433,35,161,7,1496,438,30,150,0.634615384615385,0.6,0.444444444444444,5,4,1
"53",53,"2016-02-06","Home","CHI",172,144,"L","33","15","5","L 1",31,1723,445,35,167,7,1522,450,31,155,0.622641509433962,0.576923076923077,0.444444444444444,4,5,1
"54",54,"2016-02-09","Away","MIN",176,147,"OTW","34","15","5","W 1",32,1753,451,36,170,7,1562,456,32,158,0.62962962962963,0.576923076923077,0.428571428571429,5,4,1
"55",55,"2016-02-11","Away","CHI",180,149,"W","35","15","5","W 2",33,1785,457,38,172,7,1608,462,32,160,0.636363636363636,0.576923076923077,0.448275862068966,6,3,1
"56",56,"2016-02-13","Home","WSH",184,152,"W","36","15","5","W 3",34,1820,463,39,176,7,1631,468,33,163,0.642857142857143,0.592592592592593,0.448275862068966,7,3,0
"57",57,"2016-02-15","Away","NSH",187,154,"OTW","37","15","5","W 4",35,1852,477,39,178,8,1657,482,33,165,0.649122807017544,0.592592592592593,0.433333333333333,8,2,0
"58",58,"2016-02-16","Away","STL",188,156,"OTL","37","15","6","L 1",35,1870,487,39,185,8,1679,494,34,170,0.637931034482759,0.592592592592593,0.419354838709677,7,2,1
"59",59,"2016-02-18","Away","ARI",191,162,"L","37","16","6","L 2",35,1909,495,40,189,8,1721,502,35,173,0.627118644067797,0.592592592592593,0.40625,7,2,1
"60",60,"2016-02-20","Home","BOS",194,169,"L","37","17","6","L 3",35,1938,512,40,190,8,1763,509,38,179,0.616666666666667,0.571428571428571,0.40625,6,3,1
"61",61,"2016-02-23","Away","WPG",199,172,"W","38","17","6","W 1",36,1965,520,42,195,8,1788,519,38,183,0.622950819672131,0.571428571428571,0.424242424242424,6,3,1
"62",62,"2016-02-25","Home","WPG",202,178,"L","38","18","6","L 1",36,1995,528,44,199,8,1816,531,38,185,0.612903225806452,0.551724137931034,0.424242424242424,5,4,1
"63",63,"2016-02-27","Home","NYR",204,181,"L","38","19","6","L 2",36,2033,534,44,199,8,1845,533,39,188,0.603174603174603,0.533333333333333,0.424242424242424,5,4,1
"64",64,"2016-02-29","Home","DET",206,184,"OTL","38","19","7","L 3",36,2074,542,44,203,8,1878,541,40,192,0.59375,0.516129032258065,0.424242424242424,4,4,2
"65",65,"2016-03-01","Away","NSH",209,189,"L","38","20","7","L 4",36,2112,557,45,206,8,1912,554,41,196,0.584615384615385,0.516129032258065,0.411764705882353,3,5,2
"66",66,"2016-03-04","Home","NJD",213,191,"W","39","20","7","W 1",37,2137,568,45,209,9,1932,565,41,199,0.590909090909091,0.53125,0.411764705882353,3,5,2
"67",67,"2016-03-06","Away","OTT",215,192,"W","40","20","7","W 2",38,2162,574,46,211,9,1956,569,41,202,0.597014925373134,0.53125,0.428571428571429,3,5,2
"68",68,"2016-03-08","Away","MTL",218,196,"OTL","40","20","8","L 1",38,2195,578,47,214,9,1984,575,41,204,0.588235294117647,0.53125,0.416666666666667,3,5,2
"69",69,"2016-03-11","Home","CHI",223,198,"W","41","20","8","W 1",39,2226,588,49,220,9,2007,587,41,209,0.594202898550725,0.545454545454545,0.416666666666667,4,4,2
"70",70,"2016-03-12","Home","STL",227,203,"OTL","41","20","9","L 1",39,2264,598,50,223,9,2043,595,41,213,0.585714285714286,0.529411764705882,0.416666666666667,4,3,3
"71",71,"2016-03-15","Home","LAK",229,208,"L","41","21","9","L 2",39,2290,600,51,226,9,2065,601,41,214,0.577464788732394,0.514285714285714,0.416666666666667,3,4,3
"72",72,"2016-03-17","Home","TBL",233,211,"W","42","21","9","W 1",40,2323,607,51,227,9,2085,608,42,215,0.583333333333333,0.527777777777778,0.416666666666667,4,3,3
"73",73,"2016-03-19","Home","NYI",236,211,"W","43","21","9","W 2",41,2359,611,51,230,9,2112,616,42,216,0.589041095890411,0.540540540540541,0.416666666666667,5,2,3
"74",74,"2016-03-22","Away","CHI",242,213,"W","44","21","9","W 3",42,2392,617,52,233,10,2144,620,42,219,0.594594594594595,0.540540540540541,0.432432432432432,6,2,2
"75",75,"2016-03-24","Away","ARI",243,216,"L","44","22","9","L 1",42,2430,629,52,236,10,2174,624,42,225,0.586666666666667,0.540540540540541,0.421052631578947,6,2,2
"76",76,"2016-03-26","Away","SJS",247,218,"W","45","22","9","W 1",43,2447,650,53,239,10,2210,639,42,231,0.592105263157895,0.540540540540541,0.435897435897436,6,2,2
"77",77,"2016-03-29","Home","NSH",252,220,"W","46","22","9","W 2",44,2472,661,53,243,10,2240,652,43,234,0.597402597402597,0.552631578947368,0.435897435897436,6,2,2
"78",78,"2016-03-31","Home","ARI",256,221,"W","47","22","9","W 3",45,2505,677,54,246,10,2272,668,43,236,0.602564102564103,0.564102564102564,0.435897435897436,7,2,1
"79",79,"2016-04-02","Away","LAK",259,223,"W","48","22","9","W 4",46,2544,681,55,249,10,2298,676,43,238,0.607594936708861,0.564102564102564,0.45,7,2,1
"80",80,"2016-04-03","Away","ANA",260,226,"L","48","23","9","L 1",46,2569,685,55,253,10,2322,686,43,240,0.6,0.564102564102564,0.439024390243902,7,3,0
"81",81,"2016-04-07","Home","COL",264,228,"W","49","23","9","W 1",47,2600,693,57,258,10,2341,707,43,244,0.604938271604938,0.575,0.439024390243902,8,2,0
"82",82,"2016-04-09","Home","NSH",267,230,"W","50","23","9","W 2",48,2624,701,58,262,10,2371,715,44,248,0.609756097560976,0.585365853658537,0.439024390243902,8,2,0
