"","GamesPlayed","Date","Location","Opponent","GoalsFor","GoalsAgainst","Outcome","Wins","Losses","OL","Streak","ROW","ShotsFor","PIM","PPG","PPO","SHG","ShotsAgainst","PKM","PKG","PKO","WinPer","HomePer","AwayPer","L10Wins","L10Losses","L10OL"
"1",1,"2015-10-09","Home","TOR",4,0,"W","1","0","0","W 1",1,22,6,1,4,0,22,10,0,3,1,1,0,1,0,0
"2",2,"2015-10-10","Away","CAR",8,3,"W","2","0","0","W 2",2,41,20,1,5,0,69,14,1,9,1,1,1,2,0,0
"3",3,"2015-10-13","Home","TBL",11,4,"W","3","0","0","W 3",3,65,26,2,8,0,90,20,1,12,1,1,1,3,0,0
"4",4,"2015-10-16","Home","CAR",14,9,"L","3","1","0","L 1",3,85,32,2,10,0,126,24,2,15,0.75,0.666666666666667,1,3,1,0
"5",5,"2015-10-17","Away","MTL",15,13,"L","3","2","0","L 2",3,107,42,2,13,0,167,30,4,20,0.6,0.666666666666667,0.5,3,2,0
"6",6,"2015-10-21","Away","EDM",16,16,"L","3","3","0","L 3",3,136,46,2,19,0,195,40,5,23,0.5,0.666666666666667,0.333333333333333,3,3,0
"7",7,"2015-10-23","Away","CGY",18,19,"OTL","3","3","1","L 4",3,165,59,4,23,0,235,55,5,26,0.428571428571429,0.666666666666667,0.25,3,3,1
"8",8,"2015-10-24","Away","VAN",21,21,"OTW","4","3","1","W 1",4,193,67,5,29,0,267,67,7,30,0.5,0.666666666666667,0.2,4,3,1
"9",9,"2015-10-27","Home","CAR",22,24,"L","4","4","1","L 1",4,219,75,5,31,0,288,73,7,33,0.444444444444444,0.5,0.2,4,4,1
"10",10,"2015-10-30","Home","OTT",23,27,"L","4","5","1","L 2",4,249,83,6,36,0,323,83,7,37,0.4,0.4,0.2,4,5,1
"11",11,"2015-10-31","Away","OTT",28,30,"W","5","5","1","W 1",5,277,103,8,39,0,359,113,7,40,0.454545454545455,0.4,0.333333333333333,4,5,1
"12",12,"2015-11-03","Home","TBL",30,31,"W","6","5","1","W 2",6,306,113,8,42,0,389,119,8,44,0.5,0.5,0.333333333333333,4,5,1
"13",13,"2015-11-06","Away","TOR",32,32,"OTW","7","5","1","W 3",7,330,121,8,45,0,422,125,8,48,0.538461538461538,0.5,0.285714285714286,4,5,1
"14",14,"2015-11-08","Home","DAL",33,36,"L","7","6","1","L 1",7,352,127,9,50,0,448,133,9,51,0.5,0.428571428571429,0.285714285714286,4,5,1
"15",15,"2015-11-10","Home","WSH",34,36,"W","8","6","1","W 1",8,379,133,9,51,0,486,135,9,54,0.533333333333333,0.5,0.285714285714286,5,4,1
"16",16,"2015-11-13","Home","SJS",36,39,"L","8","7","1","L 1",8,407,137,9,53,0,500,141,9,55,0.5,0.444444444444444,0.285714285714286,5,4,1
"17",17,"2015-11-14","Away","BOS",37,42,"L","8","8","1","L 2",8,430,139,10,56,0,531,147,9,56,0.470588235294118,0.444444444444444,0.25,5,5,0
"18",18,"2015-11-16","Away","OTT",41,45,"OTW","9","8","1","W 1",9,467,143,10,58,0,556,151,10,58,0.5,0.444444444444444,0.222222222222222,5,5,0
"19",19,"2015-11-18","Home","WSH",42,47,"OTL","9","8","2","L 1",9,493,153,10,60,0,583,155,11,64,0.473684210526316,0.4,0.222222222222222,5,4,1
"20",20,"2015-11-20","Home","LAK",45,49,"W","10","8","2","W 1",10,522,161,11,65,0,620,165,11,68,0.5,0.454545454545455,0.222222222222222,6,3,1
"21",21,"2015-11-21","Away","STL",49,52,"OTW","11","8","2","W 2",11,554,165,12,67,0,653,169,11,70,0.523809523809524,0.454545454545455,0.2,6,3,1
"22",22,"2015-11-25","Home","BOS",51,55,"OTL","11","8","3","L 1",11,588,171,12,70,0,675,175,11,73,0.5,0.416666666666667,0.2,5,3,2
"23",23,"2015-11-27","Home","EDM",55,58,"OTW","12","8","3","W 1",12,620,175,12,72,0,699,179,12,75,0.521739130434783,0.384615384615385,0.2,5,3,2
"24",24,"2015-11-29","Home","FLA",56,60,"OTL","12","8","4","L 1",12,649,191,12,76,0,731,193,12,80,0.5,0.357142857142857,0.2,5,2,3
"25",25,"2015-12-01","Home","BUF",61,64,"SOW","13","8","4","W 1",12,695,206,13,78,0,763,204,14,85,0.52,0.333333333333333,0.2,5,2,3
"26",26,"2015-12-03","Home","ARI",66,65,"W","14","8","4","W 2",13,739,213,13,82,0,790,217,14,86,0.538461538461538,0.375,0.2,6,1,3
"27",27,"2015-12-05","Home","NSH",71,69,"OTW","15","8","4","W 3",14,775,223,15,87,0,822,229,17,90,0.555555555555556,0.352941176470588,0.2,7,0,3
"28",28,"2015-12-08","Away","WSH",73,72,"SOL","15","8","5","L 1",14,798,233,15,88,0,862,231,18,95,0.535714285714286,0.352941176470588,0.181818181818182,6,0,4
"29",29,"2015-12-10","Home","MTL",76,74,"W","16","8","5","W 1",15,827,239,16,94,0,887,245,18,97,0.551724137931034,0.388888888888889,0.181818181818182,7,0,3
"30",30,"2015-12-11","Away","NJD",78,77,"OTL","16","8","6","L 1",15,856,245,18,97,0,925,249,19,101,0.533333333333333,0.388888888888889,0.166666666666667,6,0,4
"31",31,"2015-12-14","Home","BUF",79,79,"L","16","9","6","L 2",15,889,251,18,99,0,955,253,19,104,0.516129032258065,0.368421052631579,0.166666666666667,5,1,4
"32",32,"2015-12-18","Home","VAN",82,83,"SOL","16","9","7","L 3",15,917,257,18,102,0,995,261,19,106,0.5,0.35,0.166666666666667,5,1,4
"33",33,"2015-12-20","Home","CGY",86,85,"W","17","9","7","W 1",16,952,265,18,105,0,1023,269,20,109,0.515151515151515,0.380952380952381,0.166666666666667,5,1,4
"34",34,"2015-12-22","Home","NJD",89,89,"L","17","10","7","L 1",16,980,279,20,110,0,1040,285,21,114,0.5,0.363636363636364,0.166666666666667,5,2,3
"35",35,"2015-12-26","Away","NSH",92,91,"W","18","10","7","W 1",17,1003,283,21,113,0,1066,291,21,117,0.514285714285714,0.363636363636364,0.230769230769231,5,2,3
"36",36,"2015-12-28","Away","MIN",93,94,"L","18","11","7","L 1",17,1032,289,21,115,0,1101,297,22,119,0.5,0.363636363636364,0.214285714285714,4,3,3
"37",37,"2015-12-29","Away","WPG",94,98,"L","18","12","7","L 2",17,1066,295,22,121,0,1126,309,23,121,0.486486486486487,0.363636363636364,0.2,3,4,3
"38",38,"2015-12-31","Home","PIT",96,103,"L","18","13","7","L 3",17,1101,305,22,124,0,1163,321,25,124,0.473684210526316,0.347826086956522,0.2,3,5,2
"39",39,"2016-01-02","Away","BUF",100,106,"W","19","13","7","W 1",18,1124,315,23,126,0,1198,325,27,129,0.487179487179487,0.347826086956522,0.25,3,5,2
"40",40,"2016-01-04","Away","NJD",101,106,"W","20","13","7","W 2",19,1145,319,23,127,0,1220,327,27,131,0.5,0.347826086956522,0.294117647058824,4,5,1
"41",41,"2016-01-07","Away","SJS",103,107,"W","21","13","7","W 3",20,1170,327,23,129,0,1256,347,27,134,0.51219512195122,0.347826086956522,0.333333333333333,5,4,1
"42",42,"2016-01-10","Away","ANA",105,108,"W","22","13","7","W 4",21,1194,331,23,132,0,1287,353,27,136,0.523809523809524,0.347826086956522,0.368421052631579,6,4,0
"43",43,"2016-01-11","Away","LAK",107,112,"L","22","14","7","L 1",21,1221,337,23,134,0,1318,357,29,139,0.511627906976744,0.347826086956522,0.35,5,5,0
"44",44,"2016-01-14","Away","ARI",110,114,"OTW","23","14","7","W 1",22,1246,345,25,137,0,1347,365,30,142,0.522727272727273,0.347826086956522,0.333333333333333,6,4,0
"45",45,"2016-01-17","Home","PHI",111,116,"SOL","23","14","8","L 1",22,1276,357,25,141,0,1378,383,30,147,0.511111111111111,0.333333333333333,0.333333333333333,5,4,1
"46",46,"2016-01-20","Home","STL",112,118,"L","23","15","8","L 2",22,1306,365,26,144,0,1398,393,30,150,0.5,0.32,0.333333333333333,5,4,1
"47",47,"2016-01-22","Away","BUF",115,118,"W","24","15","8","W 1",23,1351,367,26,148,0,1417,401,30,151,0.51063829787234,0.32,0.363636363636364,6,3,1
"48",48,"2016-01-23","Home","ANA",118,122,"L","24","16","8","L 1",23,1378,375,26,152,0,1452,409,30,155,0.5,0.307692307692308,0.363636363636364,6,3,1
"49",49,"2016-01-25","Away","NYI",122,124,"W","25","16","8","W 1",24,1404,379,27,153,0,1481,411,30,157,0.510204081632653,0.307692307692308,0.391304347826087,6,3,1
"50",50,"2016-02-03","Away","TBL",123,127,"L","25","17","8","L 1",24,1429,389,27,155,0,1504,419,32,160,0.5,0.307692307692308,0.375,5,4,1
"51",51,"2016-02-04","Away","FLA",126,133,"L","25","18","8","L 2",24,1468,399,29,162,0,1537,435,34,164,0.490196078431373,0.307692307692308,0.36,4,5,1
"52",52,"2016-02-06","Home","NYI",131,134,"W","26","18","8","W 1",25,1488,411,30,165,0,1566,443,35,169,0.5,0.333333333333333,0.36,4,5,1
"53",53,"2016-02-08","Home","FLA",134,134,"W","27","18","8","W 2",26,1519,428,31,169,0,1589,458,35,174,0.509433962264151,0.357142857142857,0.36,5,4,1
"54",54,"2016-02-10","Home","OTT",137,135,"W","28","18","8","W 3",27,1548,440,31,171,0,1612,462,36,181,0.518518518518518,0.379310344827586,0.36,5,4,1
"55",55,"2016-02-12","Home","COL",139,138,"SOL","28","18","9","L 1",27,1593,446,32,176,0,1633,472,36,184,0.509090909090909,0.366666666666667,0.36,5,4,1
"56",56,"2016-02-14","Home","BOS",145,143,"W","29","18","9","W 1",28,1628,452,34,181,0,1655,484,36,186,0.517857142857143,0.387096774193548,0.36,6,3,1
"57",57,"2016-02-15","Away","NYI",146,147,"L","29","19","9","L 1",28,1657,462,34,185,0,1687,492,37,191,0.508771929824561,0.387096774193548,0.346153846153846,5,4,1
"58",58,"2016-02-18","Away","PIT",149,153,"L","29","20","9","L 2",28,1695,464,34,186,0,1726,494,37,192,0.5,0.387096774193548,0.333333333333333,5,4,1
"59",59,"2016-02-20","Away","OTT",151,156,"SOL","29","20","10","L 3",28,1726,470,34,188,0,1753,500,37,194,0.491525423728814,0.387096774193548,0.321428571428571,4,4,2
"60",60,"2016-02-21","Away","NYR",151,157,"OTL","29","20","11","L 4",28,1748,480,34,192,0,1783,510,37,198,0.483333333333333,0.387096774193548,0.310344827586207,4,3,3
"61",61,"2016-02-23","Home","CBJ",153,158,"SOW","30","20","11","W 1",28,1776,486,34,193,1,1812,512,37,201,0.491803278688525,0.375,0.310344827586207,5,2,3
"62",62,"2016-02-27","Away","COL",158,161,"W","31","20","11","W 2",29,1804,492,34,198,1,1839,524,37,204,0.5,0.375,0.333333333333333,5,2,3
"63",63,"2016-02-29","Away","DAL",161,163,"OTW","32","20","11","W 3",30,1837,500,35,202,1,1880,532,37,208,0.507936507936508,0.375,0.32258064516129,5,2,3
"64",64,"2016-03-02","Home","CHI",163,168,"L","32","21","11","L 1",30,1870,508,36,206,1,1913,542,39,211,0.5,0.363636363636364,0.32258064516129,4,3,3
"65",65,"2016-03-06","Away","CHI",164,172,"L","32","22","11","L 2",30,1904,516,36,209,1,1939,548,41,214,0.492307692307692,0.363636363636364,0.3125,4,4,2
"66",66,"2016-03-08","Away","CBJ",167,177,"L","32","23","11","L 3",30,1939,535,37,214,1,1971,567,43,219,0.484848484848485,0.363636363636364,0.303030303030303,3,5,2
"67",67,"2016-03-10","Home","WPG",170,179,"W","33","23","11","W 1",31,1974,547,37,217,1,1996,587,43,223,0.492537313432836,0.382352941176471,0.303030303030303,4,4,2
