"","X","GamesPlayed","Date","Location","Opponent","GoalsFor","GoalsAgainst","Outcome","Wins","Losses","OL","Streak","ROW","ShotsFor","PIM","PPG","PPO","SHG","ShotsAgainst","PKM","PKG","PKO","WinPer","HomePer","AwayPer","L10Wins","L10Losses","L10OL","SVPercentage","AvgGoalieCount","AvgShiftCount","ATOI","GID","AvgCFPerClose","AvgCFPer5v5","AvgCFPerEven","AvgAge","PDO","FOWPer"
"1",1,1,"2015-10-08","Away","STL",1,3,"L",0,1,0,"L 1",0,24,13,1,3,0,31,13,0,3,0,0,0,0,1,0,0.93,1,22.72,15.26,"201510080STL",45.1,47.6,47.7,26.4,99.1,48.8
"2",2,2,"2015-10-10","Away","NSH",1,5,"L",0,2,0,"L 2",0,55,17,1,8,0,57,23,0,5,0,0,0,0,2,0,0.93,1,22.05,15.24,"201510100NSH",47.2,50.05,50.4,26.4,99.1,48.8
"3",3,3,"2015-10-13","Away","DAL",3,9,"L",0,3,0,"L 3",0,83,27,1,9,0,109,27,0,9,0,0,0,0,3,0,0.93,1,22.18,15.25,"201510130DAL",43.4,45.5,45.87,26.4,99.1,48.8
"4",4,4,"2015-10-15","Home","STL",5,13,"L",0,4,0,"L 4",0,109,35,1,14,0,138,37,1,13,0,0,0,0,4,0,0.91,1,22.22,15.27,"201510150EDM",45.57,44.73,45.33,26.4,99.1,48.8
"5",5,5,"2015-10-17","Away","CGY",10,15,"W",1,4,0,"W 1",1,137,48,2,18,0,162,50,2,17,0.2,0,0.25,1,4,0,0.92,1,22.34,15.28,"201510170CGY",48.04,46.76,47.24,26.4,99.1,48.8
"6",6,6,"2015-10-18","Away","VAN",12,16,"OTW",2,4,0,"W 2",2,161,52,3,20,0,196,54,2,19,0.333333333333333,0,0.2,2,4,0,0.92,1,22.55,15.27,"201510180VAN",46.55,45.85,46.03,26.4,99.1,48.8
"7",7,7,"2015-10-21","Home","DET",15,17,"W",3,4,0,"W 3",3,189,62,4,23,0,225,58,2,25,0.428571428571429,0.5,0.2,3,4,0,0.93,1,22.47,15.27,"201510210EDM",44.46,45.83,45.87,26.4,99.1,48.8
"8",8,8,"2015-10-23","Home","WSH",19,24,"L",3,5,0,"L 1",3,212,70,5,29,0,251,70,4,29,0.375,0.333333333333333,0.2,3,5,0,0.91,1.12,22.46,15.28,"201510230EDM",43.95,46.35,46.24,26.4,99.1,48.8
"9",9,9,"2015-10-25","Home","LAK",21,27,"L",3,6,0,"L 2",3,240,79,6,31,0,285,79,5,31,0.333333333333333,0.25,0.2,3,6,0,0.91,1.11,22.37,15.28,"201510250EDM",42.98,46.38,46.48,26.4,99.1,48.8
"10",10,10,"2015-10-27","Away","MIN",24,31,"L",3,7,0,"L 3",3,265,83,6,32,0,313,79,6,33,0.3,0.25,0.166666666666667,3,7,0,0.9,1.1,22.19,15.28,"201510270MIN",43.06,46.21,46.73,26.4,99.1,48.8
"11",11,11,"2015-10-29","Home","MTL",28,34,"W",4,7,0,"W 1",4,292,89,7,36,0,334,89,7,35,0.363636363636364,0.4,0.166666666666667,4,6,0,0.9,1.09,22.2,15.27,"201510290EDM",43.13,47.25,47.51,26.4,99.1,48.8
"12",12,12,"2015-10-31","Home","CGY",32,39,"L",4,8,0,"L 1",4,315,97,9,40,0,366,99,8,38,0.333333333333333,0.333333333333333,0.166666666666667,4,6,0,0.9,1.08,22.24,15.27,"201510310EDM",43.23,47.24,47.37,26.4,99.1,48.8
"13",13,13,"2015-11-03","Home","PHI",36,41,"W",5,8,0,"W 1",5,364,101,10,45,0,388,109,8,40,0.384615384615385,0.428571428571429,0.166666666666667,5,5,0,0.9,1.08,22.11,15.27,"201511030EDM",45.12,48.37,48.4,26.4,99.1,48.8
"14",14,14,"2015-11-06","Home","PIT",37,43,"L",5,9,0,"L 1",5,392,109,10,47,0,421,113,9,44,0.357142857142857,0.375,0.166666666666667,5,5,0,0.9,1.07,22.09,15.27,"201511060EDM",44.97,47.99,48.19,26.4,99.1,48.8
"15",15,15,"2015-11-08","Away","CHI",39,47,"L",5,10,0,"L 2",5,428,119,11,48,0,449,117,10,48,0.333333333333333,0.375,0.142857142857143,4,6,0,0.9,1.07,22.02,15.27,"201511080CHI",44.64,48.29,48.51,26.4,99.1,48.8
"16",16,16,"2015-11-11","Away","ANA",43,50,"OTW",6,10,0,"W 1",6,455,128,12,50,0,486,126,11,50,0.375,0.375,0.125,4,6,0,0.9,1.06,22.11,15.28,"201511110ANA",45.03,48.18,48.51,26.4,99.1,48.8
"17",17,17,"2015-11-12","Away","ARI",44,54,"L",6,11,0,"L 1",6,483,134,12,54,0,507,134,12,53,0.352941176470588,0.375,0.111111111111111,3,7,0,0.89,1.06,22.11,15.28,"201511120ARI",45.32,48.94,49.25,26.4,99.1,48.8
"18",18,18,"2015-11-14","Away","LAK",47,58,"L",6,12,0,"L 2",6,508,140,12,57,0,535,140,12,57,0.333333333333333,0.375,0.1,3,7,0,0.89,1.06,22.19,15.28,"201511140LAK",45.34,48.74,49.11,26.4,99.1,48.8
"19",19,19,"2015-11-18","Home","CHI",50,62,"OTL",6,12,1,"L 3",6,545,144,12,60,0,562,146,13,59,0.315789473684211,0.333333333333333,0.1,3,6,1,0.89,1.05,22.23,15.28,"201511180EDM",46.13,49.13,49.46,26.4,99.1,48.8
"20",20,20,"2015-11-20","Home","NJD",55,63,"W",7,12,1,"W 1",7,572,152,13,66,0,582,158,14,63,0.35,0.4,0.1,4,5,1,0.89,1.05,22.22,15.28,"201511200EDM",46.62,49.4,49.56,26.4,99.1,48.8
"21",21,21,"2015-11-23","Away","WSH",55,64,"L",7,13,1,"L 1",7,605,158,13,69,0,612,164,14,66,0.333333333333333,0.4,0.0909090909090909,3,6,1,0.9,1.05,22.21,15.28,"201511230WSH",47.23,49.7,49.89,26.4,99.1,48.8
"22",22,22,"2015-11-25","Away","CAR",56,68,"L",7,14,1,"L 2",7,636,160,14,73,0,639,172,14,67,0.318181818181818,0.4,0.0833333333333333,3,6,1,0.9,1.05,22.16,15.28,"201511250CAR",47.09,49.48,49.69,26.4,99.1,48.8
"23",23,23,"2015-11-27","Away","DET",59,72,"OTL",7,14,2,"L 3",7,660,164,15,75,0,671,176,14,69,0.304347826086957,0.4,0.0769230769230769,2,6,2,0.89,1.04,22.11,15.28,"201511270DET",46.77,49.45,49.68,26.4,99.1,48.8
"24",24,24,"2015-11-28","Away","PIT",62,74,"SOW",8,14,2,"W 1",7,696,172,16,79,0,712,184,15,73,0.333333333333333,0.4,0.0714285714285714,3,5,2,0.9,1.04,22.2,15.28,"201511280PIT",46.79,49.16,49.3,26.4,99.1,48.8
"25",25,25,"2015-11-30","Away","TOR",62,77,"L",8,15,2,"L 1",7,720,178,16,82,0,738,190,16,76,0.32,0.4,0.0666666666666667,3,5,2,0.9,1.04,22.18,15.28,"201511300TOR",46.92,49.32,49.39,26.4,99.1,48.8
"26",26,26,"2015-12-02","Home","BOS",65,79,"SOW",9,15,2,"W 1",7,756,182,16,87,1,778,200,16,78,0.346153846153846,0.363636363636364,0.0666666666666667,3,5,2,0.9,1.04,22.2,15.28,"201512020EDM",47.09,49.06,49.12,26.4,99.1,48.8
"27",27,27,"2015-12-04","Home","DAL",67,80,"OTW",10,15,2,"W 2",8,780,190,16,90,1,821,206,16,82,0.37037037037037,0.333333333333333,0.0666666666666667,4,4,2,0.9,1.04,22.22,15.28,"201512040EDM",46.73,48.64,48.75,26.4,99.1,48.8
"28",28,28,"2015-12-06","Home","BUF",71,82,"W",11,15,2,"W 3",9,808,202,17,91,1,855,212,17,86,0.392857142857143,0.384615384615385,0.0666666666666667,5,3,2,0.9,1.04,22.22,15.28,"201512060EDM",47.29,48.92,48.92,26.4,99.1,48.8
"29",29,29,"2015-12-09","Home","SJS",75,85,"OTW",12,15,2,"W 4",10,828,220,17,92,1,883,226,17,89,0.413793103448276,0.357142857142857,0.0666666666666667,6,3,1,0.9,1.03,22.21,15.28,"201512090EDM",47.05,48.68,48.74,26.4,99.1,48.8
"30",30,30,"2015-12-11","Home","NYR",82,90,"W",13,15,2,"W 5",11,865,224,18,95,1,917,232,18,91,0.433333333333333,0.4,0.0666666666666667,6,3,1,0.9,1.03,22.27,15.28,"201512110EDM",47.46,48.74,48.79,26.4,99.1,48.8
"31",31,31,"2015-12-14","Away","BOS",85,92,"OTW",14,15,2,"W 6",12,889,235,18,98,1,966,243,18,94,0.451612903225806,0.4,0.0625,7,2,1,0.9,1.03,22.28,15.28,"201512140BOS",47.06,48.09,48.27,26.4,99.1,48.8
"32",32,32,"2015-12-15","Away","NYR",87,96,"L",14,16,2,"L 1",12,909,243,19,104,1,987,255,19,99,0.4375,0.4,0.0588235294117647,7,2,1,0.9,1.03,22.25,15.28,"201512150NYR",47.2,48.42,48.46,26.4,99.1,48.8
"33",33,33,"2015-12-17","Away","CHI",87,100,"L",14,17,2,"L 2",12,942,247,19,104,1,1024,255,19,101,0.424242424242424,0.4,0.0555555555555556,7,3,0,0.9,1.03,22.23,15.28,"201512170CHI",46.88,48.45,48.48,26.4,99.1,48.8
"34",34,34,"2015-12-19","Away","COL",88,105,"L",14,18,2,"L 3",12,982,249,19,106,1,1053,257,20,102,0.411764705882353,0.4,0.0526315789473684,6,4,0,0.9,1.03,22.25,15.28,"201512190COL",47.41,48.77,48.79,26.4,99.1,48.8
"35",35,35,"2015-12-21","Home","WPG",91,106,"W",15,18,2,"W 1",13,1003,261,19,108,1,1098,265,20,107,0.428571428571429,0.4375,0.0526315789473684,7,3,0,0.9,1.03,22.24,15.28,"201512210EDM",47.71,48.39,48.35,26.4,99.1,48.8
"36",36,36,"2015-12-26","Away","VAN",92,108,"OTL",15,18,3,"L 1",13,1036,265,19,111,1,1122,271,20,109,0.416666666666667,0.4375,0.05,6,3,1,0.9,1.03,22.27,15.28,"201512260VAN",47.81,48.46,48.44,26.4,99.1,48.8
