"","X","GamesPlayed","Date","Location","Opponent","GoalsFor","GoalsAgainst","Outcome","Wins","Losses","OL","Streak","ROW","ShotsFor","PIM","PPG","PPO","SHG","ShotsAgainst","PKM","PKG","PKO","WinPer","HomePer","AwayPer","L10Wins","L10Losses","L10OL","SVPercentage","AvgGoalieCount","AvgShiftCount","ATOI","GID","AvgCFPerClose","AvgCFPer5v5","AvgCFPerEven","AvgAge","PDO","FOWPer"
"1",1,1,"2015-10-10","Home","PHI",7,1,"W",1,0,0,"W 1",1,30,17,3,7,0,39,23,1,4,1,1,0,1,0,0,0.97,1,21.11,15.29,"201510100FLA",80,41.7,42.9,29.2,101.4,50.1
"2",2,2,"2015-10-12","Away","PHI",7,2,"L",1,1,0,"L 1",1,61,29,3,13,0,72,41,1,7,0.5,1,0,1,1,0,0.97,1,21,15.26,"201510120PHI",63.8,49.25,50.35,29.2,101.4,50.1
"3",3,3,"2015-10-13","Away","CAR",11,3,"W",2,1,0,"W 1",2,91,37,3,16,0,95,45,1,11,0.666666666666667,1,0.5,2,1,0,0.97,1,20.39,15.28,"201510130CAR",57.3,49.9,50.43,29.2,101.4,50.1
"4",4,4,"2015-10-15","Home","BUF",14,5,"W",3,1,0,"W 2",3,120,49,5,21,0,121,55,2,17,0.75,1,0.5,3,1,0,0.96,1,20.27,15.28,"201510150FLA",57.55,49.92,50.32,29.2,101.4,50.1
"5",5,5,"2015-10-17","Home","DAL",16,9,"L",3,2,0,"L 1",3,146,55,5,22,0,158,59,3,19,0.6,0.666666666666667,0.5,3,2,0,0.95,1,20.37,15.28,"201510170FLA",55.06,49.28,49.66,29.2,101.4,50.1
"6",6,6,"2015-10-20","Away","PIT",18,12,"OTL",3,2,1,"L 2",3,179,61,5,24,0,193,63,5,22,0.5,0.666666666666667,0.333333333333333,3,2,1,0.94,1,20.66,15.28,"201510200PIT",53.48,49.77,50.08,29.2,101.4,50.1
"7",7,7,"2015-10-22","Away","CHI",20,15,"L",3,3,1,"L 3",3,197,77,6,28,0,220,71,7,30,0.428571428571429,0.666666666666667,0.25,3,3,1,0.93,1,20.71,15.29,"201510220CHI",49.67,47.74,48.17,29.2,101.4,50.1
"8",8,8,"2015-10-24","Away","DAL",26,17,"W",4,3,1,"W 1",4,227,92,6,30,0,255,82,8,34,0.5,0.666666666666667,0.4,4,3,1,0.94,1,20.89,15.29,"201510240DAL",49.05,47.85,48.19,29.2,101.4,50.1
"9",9,9,"2015-10-27","Home","COL",30,18,"W",5,3,1,"W 2",5,255,102,9,33,1,287,88,8,39,0.555555555555556,0.75,0.4,5,3,1,0.94,1,20.78,15.29,"201510270FLA",48.91,48.32,48.62,29.2,101.4,50.1
"10",10,10,"2015-10-30","Home","BOS",31,21,"L",5,4,1,"L 1",5,287,108,10,39,1,317,113,10,42,0.5,0.6,0.4,5,4,1,0.94,1,20.72,15.29,"201510300FLA",49.28,48.56,49.09,29.2,101.4,50.1
"11",11,11,"2015-10-31","Home","WSH",32,23,"OTL",5,4,2,"L 2",5,314,112,10,42,1,344,119,10,44,0.454545454545455,0.5,0.4,4,4,2,0.93,1,20.73,15.29,"201510310FLA",49.19,47.75,48.34,29.2,101.4,50.1
"12",12,12,"2015-11-04","Away","ANA",34,26,"SOL",5,4,3,"L 3",5,339,122,10,45,1,383,125,11,49,0.416666666666667,0.5,0.333333333333333,4,3,3,0.94,1,20.84,15.29,"201511040ANA",48.7,47.17,47.94,29.2,101.4,50.1
"13",13,13,"2015-11-05","Away","SJS",36,31,"L",5,5,3,"L 4",5,372,131,11,48,1,415,136,11,51,0.384615384615385,0.5,0.285714285714286,3,4,3,0.93,1,20.72,15.29,"201511050SJS",48.98,47.47,48.25,29.2,101.4,50.1
"14",14,14,"2015-11-07","Away","LAK",37,35,"L",5,6,3,"L 5",5,391,133,11,51,1,450,142,12,52,0.357142857142857,0.5,0.25,2,5,3,0.93,1,20.78,15.29,"201511070LAK",47.69,46.78,47.51,29.2,101.4,50.1
"15",15,15,"2015-11-10","Home","CGY",41,38,"W",6,6,3,"W 1",6,422,140,12,53,1,478,151,13,53,0.4,0.571428571428571,0.25,3,4,3,0.93,1,20.79,15.28,"201511100FLA",48.25,47.37,48.07,29.2,101.4,50.1
"16",16,16,"2015-11-12","Home","BUF",43,41,"L",6,7,3,"L 1",6,460,142,13,56,1,497,157,14,54,0.375,0.5,0.25,3,5,2,0.92,1,20.64,15.28,"201511120FLA",49.25,48,48.91,29.2,101.4,50.1
"17",17,17,"2015-11-14","Away","TBL",48,45,"SOW",7,7,3,"W 1",6,483,160,14,60,1,525,179,14,56,0.411764705882353,0.5,0.222222222222222,4,4,2,0.92,1,20.69,15.29,"201511140TBL",49.09,47.78,48.67,29.2,101.4,50.1
"18",18,18,"2015-11-16","Home","TBL",49,45,"W",8,7,3,"W 2",7,503,168,14,63,1,564,187,14,59,0.444444444444444,0.555555555555556,0.222222222222222,4,4,2,0.92,1,20.69,15.29,"201511160FLA",48.64,47.24,48.09,29.2,101.4,50.1
"19",19,19,"2015-11-19","Home","ANA",50,48,"L",8,8,3,"L 1",7,528,179,14,66,1,605,198,15,62,0.421052631578947,0.5,0.222222222222222,3,5,2,0.92,1,20.75,15.29,"201511190FLA",48.12,47.11,47.88,29.2,101.4,50.1
"20",20,20,"2015-11-21","Home","NYR",54,53,"OTL",8,8,4,"L 2",7,571,183,16,72,1,636,212,16,64,0.4,0.454545454545455,0.222222222222222,3,4,3,0.92,1,20.87,15.29,"201511210FLA",48.78,47.51,48.28,29.2,101.4,50.1
"21",21,21,"2015-11-23","Home","LAK",55,56,"L",8,9,4,"L 3",7,605,191,17,77,1,668,222,16,68,0.380952380952381,0.416666666666667,0.222222222222222,3,5,2,0.92,1.05,20.87,15.29,"201511230FLA",48.46,47.52,48.5,29.2,101.4,50.1
"22",22,22,"2015-11-27","Home","NYI",58,58,"SOW",9,9,4,"W 1",7,632,195,17,78,1,693,228,16,69,0.409090909090909,0.384615384615385,0.222222222222222,4,5,1,0.92,1.05,20.84,15.29,"201511270FLA",48.56,47.17,48.31,29.2,101.4,50.1
"23",23,23,"2015-11-29","Away","DET",60,59,"OTW",10,9,4,"W 2",8,664,209,17,83,1,722,244,16,73,0.434782608695652,0.384615384615385,0.2,5,4,1,0.92,1.04,20.8,15.29,"201511290DET",48.62,47.01,48.15,29.2,101.4,50.1
"24",24,24,"2015-12-01","Away","STL",63,60,"W",11,9,4,"W 3",9,687,215,17,84,1,752,246,16,76,0.458333333333333,0.384615384615385,0.272727272727273,6,3,1,0.92,1.04,20.78,15.29,"201512010STL",48.49,46.72,47.81,29.2,101.4,50.1
"25",25,25,"2015-12-03","Away","NSH",65,61,"W",12,9,4,"W 4",10,703,221,18,85,1,785,250,16,78,0.48,0.384615384615385,0.333333333333333,6,3,1,0.92,1.04,20.68,15.29,"201512030NSH",47.77,45.96,46.97,29.2,101.4,50.1
"26",26,26,"2015-12-04","Away","CBJ",67,62,"SOW",13,9,4,"W 5",10,735,229,18,87,1,808,252,16,82,0.5,0.384615384615385,0.307692307692308,7,2,1,0.92,1.04,20.71,15.29,"201512040CBJ",47.97,46.18,47.2,29.2,101.4,50.1
"27",27,27,"2015-12-06","Away","NJD",69,66,"L",13,10,4,"L 1",10,771,239,18,89,1,826,262,16,84,0.481481481481481,0.384615384615385,0.285714285714286,6,3,1,0.92,1.04,20.63,15.29,"201512060NJD",48.04,46.8,47.81,29.2,101.4,50.1
"28",28,28,"2015-12-08","Home","OTT",71,70,"L",13,11,4,"L 2",10,798,259,18,93,1,849,270,18,89,0.464285714285714,0.357142857142857,0.285714285714286,5,4,1,0.92,1.04,20.59,15.29,"201512080FLA",48.23,47.02,47.99,29.2,101.4,50.1
"29",29,29,"2015-12-10","Home","WSH",75,71,"W",14,11,4,"W 1",11,824,273,19,99,1,870,295,18,94,0.482758620689655,0.4,0.285714285714286,6,3,1,0.92,1.03,20.53,15.29,"201512100FLA",48.46,47.2,48.2,29.2,101.4,50.1
"30",30,30,"2015-12-12","Away","BOS",76,74,"L",14,12,4,"L 1",11,851,281,19,100,1,895,303,19,95,0.466666666666667,0.4,0.266666666666667,6,4,0,0.92,1.03,20.52,15.29,"201512120BOS",47.79,47.37,48.32,29.2,101.4,50.1
"31",31,31,"2015-12-15","Away","NYI",81,75,"W",15,12,4,"W 1",12,867,291,19,103,2,929,311,19,99,0.483870967741935,0.4,0.3125,7,3,0,0.92,1.03,20.52,15.29,"201512150NYI",47.08,46.98,47.91,29.2,101.4,50.1
"32",32,32,"2015-12-17","Away","NJD",86,76,"W",16,12,4,"W 2",13,893,297,20,106,2,945,317,20,102,0.5,0.4,0.352941176470588,7,3,0,0.92,1.03,20.53,15.29,"201512170NJD",47.17,47.33,48.25,29.2,101.4,50.1
"33",33,33,"2015-12-18","Away","CAR",88,76,"W",17,12,4,"W 3",14,911,301,20,109,2,969,323,20,104,0.515151515151515,0.4,0.388888888888889,7,3,0,0.92,1.03,20.54,15.29,"201512180CAR",47.1,47.24,48.06,29.2,101.4,50.1
"34",34,34,"2015-12-20","Home","VAN",93,80,"SOW",18,12,4,"W 4",14,953,305,22,113,2,1003,331,20,106,0.529411764705882,0.375,0.388888888888889,7,3,0,0.92,1.03,20.56,15.29,"201512200FLA",47.4,47.45,48.36,29.2,101.4,50.1
"35",35,35,"2015-12-22","Home","OTT",95,81,"SOW",19,12,4,"W 5",14,993,307,22,118,2,1019,341,21,108,0.542857142857143,0.352941176470588,0.388888888888889,7,3,0,0.92,1.03,20.56,15.29,"201512220FLA",48.03,47.96,48.84,29.2,101.4,50.1
"36",36,36,"2015-12-27","Home","CBJ",98,83,"W",20,12,4,"W 6",15,1025,320,22,124,2,1036,358,22,112,0.555555555555556,0.388888888888889,0.388888888888889,7,3,0,0.92,1.03,20.54,15.29,"201512270FLA",48.91,48.26,49.03,29.2,101.4,50.1
"37",37,37,"2015-12-29","Home","MTL",101,84,"W",21,12,4,"W 7",16,1055,333,23,129,2,1066,375,23,115,0.567567567567568,0.421052631578947,0.388888888888889,8,2,0,0.92,1.03,20.54,15.29,"201512290FLA",49.23,48.6,49.26,29.2,101.4,50.1
"38",38,38,"2016-01-02","Home","NYR",104,84,"W",22,12,4,"W 8",17,1075,350,24,133,2,1106,390,23,120,0.578947368421053,0.45,0.388888888888889,9,1,0,0.92,1.03,20.51,15.29,"201601020FLA",49.19,48.14,48.8,29.2,101.4,50.1
"39",39,39,"2016-01-03","Home","MIN",106,85,"W",23,12,4,"W 9",18,1104,358,24,138,2,1146,398,23,124,0.58974358974359,0.476190476190476,0.388888888888889,9,1,0,0.93,1.03,20.49,15.29,"201601030FLA",49.05,48.04,48.69,29.2,101.4,50.1
"40",40,40,"2016-01-05","Away","BUF",111,86,"W",24,12,4,"W 10",19,1131,370,24,139,2,1178,402,24,129,0.6,0.476190476190476,0.421052631578947,10,0,0,0.93,1.02,20.45,15.28,"201601050BUF",49,48.03,48.71,29.2,101.4,50.1
"41",41,41,"2016-01-07","Away","OTT",114,88,"W",25,12,4,"W 11",20,1147,378,24,143,2,1210,408,24,133,0.609756097560976,0.476190476190476,0.45,10,0,0,0.93,1.02,20.39,15.29,"201601070OTT",48.6,47.78,48.45,29.2,101.4,50.1
"42",42,42,"2016-01-10","Away","EDM",116,89,"W",26,12,4,"W 12",21,1161,409,24,143,2,1235,423,24,136,0.619047619047619,0.476190476190476,0.476190476190476,10,0,0,0.93,1.02,20.35,15.29,"201601100EDM",48.12,47.57,48.2,29.2,101.4,50.1
"43",43,43,"2016-01-11","Away","VAN",118,92,"OTL",26,12,5,"L 1",21,1189,417,24,144,2,1265,423,25,140,0.604651162790698,0.476190476190476,0.454545454545455,9,0,1,0.93,1.02,20.37,15.29,"201601110VAN",48.18,47.65,48.3,29.2,101.4,50.1
"44",44,44,"2016-01-13","Away","CGY",118,98,"L",26,13,5,"L 2",21,1204,421,24,146,2,1301,427,25,142,0.590909090909091,0.476190476190476,0.434782608695652,8,1,1,0.92,1.05,20.39,15.29,"201601130CGY",47.94,47.68,48.31,29.2,101.4,50.1
"45",45,45,"2016-01-17","Away","TBL",119,101,"L",26,14,5,"L 3",21,1231,430,24,151,2,1333,442,25,144,0.577777777777778,0.476190476190476,0.416666666666667,7,2,1,0.93,1.04,20.35,15.29,"201601170TBL",47.68,47.58,48.2,29.2,101.4,50.1
"46",46,46,"2016-01-18","Home","EDM",121,105,"L",26,15,5,"L 4",21,1264,437,24,155,2,1357,453,25,145,0.565217391304348,0.454545454545455,0.416666666666667,6,3,1,0.92,1.04,20.32,15.29,"201601180FLA",47.68,47.7,48.34,29.2,101.4,50.1
"47",47,47,"2016-01-22","Home","CHI",125,105,"W",27,15,5,"W 1",22,1296,448,24,158,2,1384,466,25,147,0.574468085106383,0.478260869565217,0.416666666666667,6,3,1,0.92,1.04,20.32,15.29,"201601220FLA",47.91,47.77,48.37,29.2,101.4,50.1
"48",48,48,"2016-01-23","Home","TBL",130,107,"W",28,15,5,"W 2",23,1331,458,25,162,2,1424,472,26,152,0.583333333333333,0.5,0.416666666666667,6,3,1,0.93,1.04,20.31,15.29,"201601230FLA",48.15,47.76,48.31,29.2,101.4,50.1
"49",49,49,"2016-01-26","Home","TOR",135,108,"W",29,15,5,"W 3",24,1358,474,27,167,2,1447,494,26,154,0.591836734693878,0.52,0.416666666666667,6,3,1,0.93,1.04,20.28,15.28,"201601260FLA",48.29,47.7,48.23,29.2,101.4,50.1
"50",50,50,"2016-02-02","Away","WSH",140,110,"W",30,15,5,"W 4",25,1377,490,29,171,2,1485,502,26,162,0.6,0.52,0.44,6,3,1,0.93,1.04,20.3,15.29,"201602020WSH",47.74,47.4,47.92,29.2,101.4,50.1
"51",51,51,"2016-02-04","Home","DET",146,113,"W",31,15,5,"W 5",26,1410,506,31,175,2,1524,512,28,169,0.607843137254902,0.538461538461538,0.44,6,3,1,0.93,1.04,20.3,15.28,"201602040FLA",47.9,47.48,47.96,29.2,101.4,50.1
"52",52,52,"2016-02-06","Home","PIT",148,116,"OTL",31,15,6,"L 1",26,1454,516,32,180,3,1559,522,29,174,0.596153846153846,0.518518518518518,0.44,5,3,2,0.93,1.04,20.32,15.28,"201602060FLA",47.96,47.47,47.92,29.2,101.4,50.1
"53",53,53,"2016-02-08","Away","DET",148,119,"L",31,16,6,"L 2",26,1477,531,32,185,3,1590,539,30,178,0.584905660377358,0.518518518518518,0.423076923076923,5,4,1,0.93,1.04,20.31,15.29,"201602080DET",48.03,47.45,47.88,29.2,101.4,50.1
"54",54,54,"2016-02-09","Away","BUF",155,123,"W",32,16,6,"W 1",27,1512,568,32,186,3,1624,570,32,182,0.592592592592593,0.518518518518518,0.444444444444444,6,3,1,0.92,1.04,20.32,15.29,"201602090BUF",48.01,47.51,47.9,29.2,101.4,50.1
"55",55,55,"2016-02-12","Home","STL",158,128,"L",32,17,6,"L 1",27,1544,572,32,189,3,1652,576,33,183,0.581818181818182,0.5,0.444444444444444,6,3,1,0.92,1.05,20.33,15.29,"201602120FLA",47.93,47.64,48.02,29.2,101.4,50.1
"56",56,56,"2016-02-13","Home","NSH",158,133,"L",32,18,6,"L 2",27,1566,586,32,193,3,1680,592,35,186,0.571428571428571,0.482758620689655,0.444444444444444,6,3,1,0.92,1.05,20.31,15.29,"201602130FLA",47.55,47.6,47.98,29.2,101.4,50.1
"57",57,57,"2016-02-15","Home","PIT",160,134,"SOW",33,18,6,"W 1",27,1594,590,32,196,3,1712,598,35,188,0.578947368421053,0.466666666666667,0.444444444444444,6,3,1,0.92,1.05,20.35,15.29,"201602150FLA",47.43,47.54,47.94,29.2,101.4,50.1
"58",58,58,"2016-02-18","Home","SJS",161,136,"SOL",33,18,7,"L 1",27,1614,598,32,197,3,1730,600,35,192,0.568965517241379,0.451612903225806,0.444444444444444,5,3,2,0.92,1.05,20.38,15.29,"201602180FLA",47.25,47.41,47.81,29.2,101.4,50.1
"59",59,59,"2016-02-20","Home","WPG",164,137,"W",34,18,7,"W 1",28,1646,606,33,201,3,1760,608,36,196,0.576271186440678,0.46875,0.444444444444444,5,3,2,0.92,1.05,20.39,15.29,"201602200FLA",47.46,47.57,47.93,29.2,101.4,50.1
"60",60,60,"2016-02-25","Home","ARI",167,139,"W",35,18,7,"W 2",29,1671,612,34,205,3,1784,618,37,199,0.583333333333333,0.484848484848485,0.444444444444444,5,3,2,0.92,1.05,20.39,15.29,"201602250FLA",47.54,47.66,47.94,29.2,101.4,50.1
"61",61,61,"2016-02-27","Away","CBJ",170,143,"SOL",35,18,8,"L 1",29,1702,625,35,211,3,1809,635,38,203,0.573770491803279,0.484848484848485,0.428571428571429,4,3,3,0.92,1.05,20.41,15.29,"201602270CBJ",47.68,47.78,48.01,29.2,101.4,50.1
"62",62,62,"2016-02-28","Away","MIN",171,146,"L",35,19,8,"L 2",29,1720,637,36,214,3,1836,645,39,208,0.564516129032258,0.484848484848485,0.413793103448276,4,4,2,0.92,1.06,20.4,15.29,"201602280MIN",47.65,47.68,48,29.2,101.4,50.1
"63",63,63,"2016-03-01","Away","WPG",174,148,"W",36,19,8,"W 1",30,1742,645,37,217,3,1868,651,39,212,0.571428571428571,0.484848484848485,0.433333333333333,5,3,2,0.92,1.06,20.38,15.29,"201603010WPG",47.47,47.6,47.91,29.2,101.4,50.1
"64",64,64,"2016-03-03","Away","COL",176,151,"L",36,20,8,"L 1",30,1782,651,37,220,3,1894,657,40,215,0.5625,0.484848484848485,0.419354838709677,4,4,2,0.92,1.06,20.36,15.29,"201603030COL",47.73,47.88,48.2,29.2,101.4,50.1
"65",65,65,"2016-03-05","Away","ARI",177,156,"L",36,21,8,"L 2",30,1815,664,37,225,3,1920,674,41,218,0.553846153846154,0.484848484848485,0.40625,4,4,2,0.92,1.06,20.38,15.29,"201603050ARI",48.02,48.05,48.36,29.2,101.4,50.1
"66",66,66,"2016-03-07","Home","BOS",181,161,"OTL",36,21,9,"L 3",30,1866,687,38,229,3,1952,689,41,220,0.545454545454545,0.470588235294118,0.40625,4,3,3,0.92,1.08,20.4,15.29,"201603070FLA",48.33,48.19,48.51,29.2,101.4,50.1
"67",67,67,"2016-03-10","Home","OTT",187,163,"W",37,21,9,"W 1",31,1897,693,38,231,3,1980,695,41,222,0.552238805970149,0.485714285714286,0.40625,4,3,3,0.92,1.07,20.4,15.29,"201603100FLA",48.34,48.15,48.47,29.2,101.4,50.1
"68",68,68,"2016-03-12","Home","PHI",192,167,"SOW",38,21,9,"W 2",31,1926,701,39,234,3,2006,701,42,227,0.558823529411765,0.472222222222222,0.40625,5,3,2,0.92,1.07,20.43,15.29,"201603120FLA",48.26,48.17,48.49,29.2,101.4,50.1
"69",69,69,"2016-03-14","Away","NYI",194,170,"L",38,22,9,"L 1",31,1951,722,40,236,3,2034,712,42,229,0.550724637681159,0.472222222222222,0.393939393939394,4,4,2,0.92,1.07,20.41,15.29,"201603140NYI",48.36,48.15,48.49,29.2,101.4,50.1
"70",70,70,"2016-03-15","Away","MTL",198,171,"W",39,22,9,"W 1",32,1987,736,41,240,3,2062,732,42,229,0.557142857142857,0.472222222222222,0.411764705882353,4,4,2,0.92,1.07,20.42,15.29,"201603150MTL",48.51,48.2,48.52,29.2,101.4,50.1
"71",71,71,"2016-03-17","Away","TOR",202,172,"W",40,22,9,"W 2",33,2019,740,42,244,3,2095,740,42,231,0.563380281690141,0.472222222222222,0.428571428571429,5,4,1,0.92,1.07,20.41,15.29,"201603170TOR",48.61,48.18,48.49,29.2,101.4,50.1
"72",72,72,"2016-03-19","Home","DET",205,177,"L",40,23,9,"L 1",33,2045,753,42,247,3,2125,753,44,234,0.555555555555556,0.459459459459459,0.428571428571429,5,4,1,0.92,1.07,20.42,15.29,"201603190FLA",48.72,48.25,48.55,29.2,101.4,50.1
"73",73,73,"2016-03-21","Away","NYR",207,181,"L",40,24,9,"L 2",33,2072,761,43,248,3,2157,759,45,236,0.547945205479452,0.459459459459459,0.416666666666667,4,5,1,0.92,1.07,20.41,15.29,"201603210NYR",48.4,48.28,48.58,29.2,101.4,50.1
"74",74,74,"2016-03-24","Away","BOS",211,182,"W",41,24,9,"W 1",34,2108,769,43,252,4,2192,765,45,240,0.554054054054054,0.459459459459459,0.432432432432432,5,4,1,0.92,1.07,20.42,15.29,"201603240BOS",48.34,48.33,48.6,29.2,101.4,50.1
"75",75,75,"2016-03-26","Away","TBL",216,184,"W",42,24,9,"W 2",35,2135,781,44,256,5,2227,775,47,245,0.56,0.459459459459459,0.447368421052632,6,3,1,0.92,1.07,20.4,15.29,"201603260TBL",48.35,48.31,48.55,29.2,101.4,50.1
"76",76,76,"2016-03-29","Home","TOR",218,189,"L",42,25,9,"L 1",35,2169,791,44,259,5,2256,783,50,249,0.552631578947368,0.447368421052632,0.447368421052632,6,4,0,0.92,1.07,20.4,15.29,"201603290FLA",48.43,48.5,48.73,29.2,101.4,50.1
"77",77,77,"2016-03-31","Home","NJD",221,191,"W",43,25,9,"W 1",36,2209,799,44,263,5,2281,789,51,255,0.558441558441558,0.461538461538462,0.447368421052632,6,4,0,0.92,1.06,20.37,15.29,"201603310FLA",48.74,48.72,48.92,29.2,101.4,50.1
"78",78,78,"2016-04-02","Home","MTL",225,194,"W",44,25,9,"W 2",37,2248,801,45,265,5,2309,793,51,256,0.564102564102564,0.475,0.447368421052632,6,4,0,0.92,1.06,20.36,15.29,"201604020FLA",48.85,48.78,48.99,29.2,101.4,50.1
"79",79,79,"2016-04-04","Away","TOR",229,197,"W",45,25,9,"W 3",38,2284,805,45,270,5,2335,803,52,258,0.569620253164557,0.475,0.461538461538462,7,3,0,0.92,1.06,20.35,15.29,"201604040TOR",49.14,48.89,49.08,29.2,101.4,50.1
"80",80,80,"2016-04-05","Away","MTL",233,198,"W",46,25,9,"W 4",39,2303,817,47,275,5,2368,813,53,264,0.575,0.475,0.475,7,3,0,0.92,1.06,20.34,15.29,"201604050MTL",48.88,48.8,48.97,29.2,101.4,50.1
