"","X.1","X","GamesPlayed","Date","Location","Opponent","GoalsFor","GoalsAgainst","Outcome","Wins","Losses","OL","Streak","ROW","ShotsFor","PIM","PPG","PPO","SHG","ShotsAgainst","PKM","PKG","PKO","WinPer","HomePer","AwayPer","L10Wins","L10Losses","L10OL","SVPercentage","AvgGoalieCount","AvgShiftCount","ATOI","GID","AvgCFPerClose","AvgCFPer5v5","AvgCFPerEven","AvgAge","PDO","FOWPer"
"1",1,1,1,"2015-10-07","Home","SJS",1,5,"L",0,1,0,"L 1",0,20,36,0,6,0,32,24,2,8,0,0,0,0,1,0,0.84,1,21.89,"15.17","201510070LAK",47.8,41.7,45.3,"28.3","100.0","50.5"
"2",2,2,2,"2015-10-09","Home","ARI",2,9,"L",0,2,0,"L 2",0,61,44,0,10,1,54,34,2,11,0,0,0,0,2,0,0.83,1,21.53,"15.25","201510090LAK",60,54,56,"28.3","100.0","50.5"
"3",3,3,3,"2015-10-13","Home","VAN",2,12,"L",0,3,0,"L 3",0,76,57,0,13,1,80,45,2,15,0,0,0,0,3,0,0.86,1,21.21,"15.27","201510130LAK",54.6,56.73,58.27,"28.3","100.0","50.5"
"4",4,4,4,"2015-10-16","Home","MIN",4,13,"OTW",1,3,0,"W 1",1,113,67,1,17,1,106,53,3,20,0.25,0,0,1,3,0,0.89,1,21.39,"15.28","201510160LAK",57.23,57.8,58.88,"28.3","100.0","50.5"
"5",5,5,5,"2015-10-18","Home","COL",6,14,"W",2,3,0,"W 2",2,153,99,1,21,1,129,81,4,26,0.4,0.2,0,2,3,0,0.9,1,21.55,"15.30","201510180LAK",58.06,60.96,61.72,"28.3","100.0","50.5"
"6",6,6,6,"2015-10-22","Away","SJS",10,15,"W",3,3,0,"W 3",3,182,111,3,25,1,169,89,4,31,0.5,0.2,1,3,3,0,0.91,1,21.82,"15.31","201510220SJS",55.4,59.05,60.02,"28.3","100.0","50.5"
"7",7,7,7,"2015-10-23","Home","CAR",13,15,"W",4,3,0,"W 4",4,210,121,4,27,1,209,95,4,35,0.571428571428571,0.333333333333333,1,4,3,0,0.93,1,21.66,"15.30","201510230LAK",53.71,56.86,57.7,"28.3","100.0","50.5"
"8",8,8,8,"2015-10-25","Away","EDM",16,17,"W",5,3,0,"W 5",5,244,130,5,29,1,237,104,5,37,0.625,0.333333333333333,1,5,3,0,0.93,1,21.55,"15.30","201510250EDM",55.1,56.42,56.94,"28.3","100.0","50.5"
"9",9,9,9,"2015-10-27","Away","WPG",20,18,"W",6,3,0,"W 6",6,276,132,5,30,1,262,106,5,38,0.666666666666667,0.333333333333333,1,6,3,0,0.93,1,21.53,"15.29","201510270WPG",54.86,56.44,56.93,"28.3","100.0","50.5"
"10",10,10,10,"2015-10-31","Home","NSH",24,21,"OTW",7,3,0,"W 7",7,305,138,6,33,1,296,112,7,41,0.7,0.285714285714286,1,7,3,0,0.93,1,21.59,"15.29","201510310LAK",54.58,55.8,56.24,"28.3","100.0","50.5"
"11",11,11,11,"2015-11-02","Away","CHI",26,25,"L",7,4,0,"L 1",7,340,142,6,35,1,322,118,7,42,0.636363636363636,0.285714285714286,0.75,7,3,0,0.92,1,21.58,"15.29","201511020CHI",54.27,55.32,55.76,"28.3","100.0","50.5"
"12",12,12,12,"2015-11-03","Away","STL",29,25,"W",8,4,0,"W 1",8,374,155,7,40,1,346,133,7,46,0.666666666666667,0.285714285714286,0.8,8,2,0,0.93,1,21.6,"15.29","201511030STL",54.98,54.63,55.03,"28.3","100.0","50.5"
"13",13,13,13,"2015-11-05","Home","CBJ",31,28,"L",8,5,0,"L 1",8,407,181,8,44,1,371,159,8,50,0.615384615384615,0.25,0.8,8,2,0,0.92,1,21.62,"15.29","201511050LAK",56.18,55.27,55.35,"28.3","100.0","50.5"
"14",14,14,14,"2015-11-07","Home","FLA",35,29,"W",9,5,0,"W 1",9,442,187,9,45,1,390,161,8,53,0.642857142857143,0.333333333333333,0.8,8,2,0,0.92,1,21.63,"15.29","201511070LAK",57.1,55.76,55.84,"28.3","100.0","50.5"
"15",15,15,15,"2015-11-10","Home","ARI",37,32,"L",9,6,0,"L 1",9,477,191,10,47,1,415,165,8,56,0.6,0.3,0.8,7,3,0,0.92,1,21.62,"15.28","201511100LAK",57.18,56.21,56.34,"28.3","100.0","50.5"
"16",16,16,16,"2015-11-12","Home","NYI",39,33,"W",10,6,0,"W 1",10,499,197,11,50,1,447,171,8,59,0.625,0.363636363636364,0.8,7,3,0,0.92,1,21.68,"15.29","201511120LAK",57.29,55.83,55.82,"28.3","100.0","50.5"
"17",17,17,17,"2015-11-14","Home","EDM",43,36,"W",11,6,0,"W 2",11,527,203,11,54,1,472,177,8,62,0.647058823529412,0.416666666666667,0.8,7,3,0,0.92,1,21.71,"15.29","201511140LAK",57.12,55.76,55.68,"28.3","100.0","50.5"
"18",18,18,18,"2015-11-17","Away","PHI",46,38,"SOW",12,6,0,"W 3",11,567,213,12,56,1,510,181,9,67,0.666666666666667,0.416666666666667,0.666666666666667,7,3,0,0.92,1,21.84,"15.28","201511170PHI",56.54,55.94,55.78,"28.3","100.0","50.5"
"19",19,19,19,"2015-11-20","Away","DET",48,41,"L",12,7,0,"L 1",11,604,223,12,60,2,539,189,10,72,0.631578947368421,0.416666666666667,0.571428571428571,6,4,0,0.92,1,21.76,"15.29","201511200DET",56.77,56.08,56,"28.3","100.0","50.5"
