"","X","GamesPlayed","Date","Location","Opponent","GoalsFor","GoalsAgainst","Outcome","Wins","Losses","OL","Streak","ROW","ShotsFor","PIM","PPG","PPO","SHG","ShotsAgainst","PKM","PKG","PKO","WinPer","HomePer","AwayPer","L10Wins","L10Losses","L10OL","SVPercentage","AvgGoalieCount","AvgShiftCount","ATOI","GID","AvgCFPerClose","AvgCFPer5v5","AvgCFPerEven","AvgAge","PDO","FOWPer"
"1",1,1,"2015-10-07","Away","TOR",3,1,"W",1,0,0,"W 1",1,29,8,0,1,0,37,4,1,3,1,0,1,1,0,0,0.97,1,21.94,15.29,"201510070TOR",46.7,47,47.2,28,99.2,50.3
"2",2,2,"2015-10-10","Away","BOS",7,3,"W",2,0,0,"W 2",2,67,24,1,7,0,58,41,2,7,1,0,1,2,0,0,0.94,1,22.47,15.27,"201510100BOS",50.2,55,54.1,28,99.2,50.3
"3",3,3,"2015-10-11","Away","OTT",10,4,"W",3,0,0,"W 3",3,101,36,1,14,0,79,59,2,11,1,0,1,3,0,0,0.94,1,22.07,15.28,"201510110OTT",52.27,57.67,55.83,28,99.2,50.3
"4",4,4,"2015-10-13","Away","PIT",13,6,"W",4,0,0,"W 4",4,131,40,2,16,0,112,61,2,13,1,0,1,4,0,0,0.94,1,22.11,15.28,"201510130PIT",52.38,55.35,53.98,28,99.2,50.3
"5",5,5,"2015-10-15","Home","NYR",16,6,"W",5,0,0,"W 5",5,163,52,2,21,0,137,73,2,18,1,1,1,5,0,0,0.95,1,22.03,15.29,"201510150MTL",50.74,54.28,53.4,28,99.2,50.3
"6",6,6,"2015-10-17","Home","DET",20,7,"W",6,0,0,"W 6",6,204,58,4,26,0,159,83,2,21,1,1,1,6,0,0,0.95,1,22.03,15.29,"201510170MTL",51.87,55.32,54.62,28,99.2,50.3
"7",7,7,"2015-10-20","Home","STL",23,7,"W",7,0,0,"W 7",7,240,69,4,28,0,197,102,2,24,1,1,1,7,0,0,0.96,1,22.25,15.29,"201510200MTL",50.17,53.71,53.11,28,99.2,50.3
"8",8,8,"2015-10-23","Away","BUF",30,9,"W",8,0,0,"W 8",8,266,77,6,31,0,233,108,3,28,1,1,1,8,0,0,0.96,1,22.3,15.29,"201510230BUF",48.94,52.41,51.96,28,99.2,50.3
"9",9,9,"2015-10-24","Home","TOR",35,12,"W",9,0,0,"W 9",9,293,89,8,35,1,285,118,3,33,1,1,1,9,0,0,0.96,1,22.45,15.3,"201510240MTL",47.91,50.74,50.48,28,99.2,50.3
"10",10,10,"2015-10-27","Away","VAN",36,17,"L",9,1,0,"L 1",9,319,91,8,37,1,313,122,4,35,0.9,1,0.833333333333333,9,1,0,0.94,1,22.57,15.29,"201510270VAN",48.41,51.05,50.67,28,99.2,50.3
"11",11,11,"2015-10-29","Away","EDM",39,21,"L",9,2,0,"L 2",9,340,101,9,39,1,340,128,5,39,0.818181818181818,1,0.714285714285714,8,2,0,0.93,1,22.67,15.28,"201510290EDM",49.12,50.25,50.13,28,99.2,50.3
"12",12,12,"2015-10-30","Away","CGY",45,23,"W",10,2,0,"W 1",10,371,109,10,42,2,372,136,5,42,0.833333333333333,1,0.75,8,2,0,0.94,1,22.74,15.28,"201510300CGY",48.43,49.8,49.68,28,99.2,50.3
"13",13,13,"2015-11-01","Home","WPG",50,24,"W",11,2,0,"W 2",11,397,117,11,47,3,391,150,5,45,0.846153846153846,1,0.75,8,2,0,0.94,1,22.81,15.28,"201511010MTL",48.43,49.76,49.71,28,99.2,50.3
"14",14,14,"2015-11-03","Home","OTT",51,26,"OTL",11,2,1,"L 1",11,434,119,12,50,3,418,156,5,46,0.785714285714286,0.833333333333333,0.75,7,2,1,0.94,1,22.76,15.28,"201511030MTL",49.5,50.65,50.59,28,99.2,50.3
"15",15,15,"2015-11-05","Home","NYI",55,27,"W",12,2,1,"W 1",12,458,127,13,52,3,436,160,5,49,0.8,0.857142857142857,0.75,7,2,1,0.94,1,22.73,15.28,"201511050MTL",49.67,50.95,50.89,28,99.2,50.3
"16",16,16,"2015-11-07","Home","BOS",59,29,"W",13,2,1,"W 2",13,491,143,15,55,3,467,166,6,54,0.8125,0.875,0.75,7,2,1,0.94,1,22.77,15.28,"201511070MTL",50.31,51.22,51.15,28,99.2,50.3
"17",17,17,"2015-11-11","Away","PIT",62,33,"SOL",13,2,2,"L 1",13,529,149,16,59,3,501,174,6,58,0.764705882352941,0.875,0.666666666666667,6,2,2,0.93,1,22.88,15.29,"201511110PIT",50.69,51.34,51.29,28,99.2,50.3
"18",18,18,"2015-11-14","Home","COL",63,39,"L",13,3,2,"L 2",13,569,153,16,63,3,525,180,7,60,0.722222222222222,0.777777777777778,0.666666666666667,5,3,2,0.92,1.06,22.82,15.28,"201511140MTL",51.58,52.19,52.14,28,99.2,50.3
