"","X","GamesPlayed","Date","Location","Opponent","GoalsFor","GoalsAgainst","Outcome","Wins","Losses","OL","Streak","ROW","ShotsFor","PIM","PPG","PPO","SHG","ShotsAgainst","PKM","PKG","PKO","WinPer","HomePer","AwayPer","L10Wins","L10Losses","L10OL","SVPercentage","AvgGoalieCount","AvgShiftCount","ATOI","GID"
"1",1,1,"2015-10-08","Home","CAR",2,1,"W",1,0,0,"W 1",1,25,6,1,3,0,26,6,0,3,1,1,0,1,0,0,0.96,1,21,"15.30","201510080NSH"
"2",2,2,"2015-10-10","Home","EDM",4,1,"W",2,0,0,"W 2",2,51,16,1,5,0,57,10,0,8,1,1,0,2,0,0,0.98,1,21.3,"15.28","201510100NSH"
"3",3,3,"2015-10-13","Away","NJD",7,2,"W",3,0,0,"W 3",3,71,20,2,7,1,80,14,1,10,1,1,1,3,0,0,0.97,1,20.96,"15.28","201510130NJD"
"4",4,4,"2015-10-15","Away","NYI",10,6,"L",3,1,0,"L 1",3,118,26,2,9,1,108,20,1,12,0.75,1,0.5,3,1,0,0.94,1,21.71,"15.29","201510150NYI"
"5",5,5,"2015-10-17","Away","OTT",14,9,"SOW",4,1,0,"W 1",3,143,44,4,15,1,149,48,1,14,0.8,1,0.333333333333333,4,1,0,0.94,1,22.03,"15.29","201510170OTT"
"6",6,6,"2015-10-20","Home","TBL",19,13,"SOW",5,1,0,"W 2",3,176,48,4,18,1,178,54,2,16,0.833333333333333,0.666666666666667,0.333333333333333,5,1,0,0.93,1,22.02,"15.29","201510200NSH"
"7",7,7,"2015-10-22","Home","ANA",24,14,"W",6,1,0,"W 3",4,205,58,5,23,1,206,64,3,21,0.857142857142857,0.75,0.333333333333333,6,1,0,0.93,1,22.13,"15.28","201510220NSH"
"8",8,8,"2015-10-24","Home","PIT",25,16,"OTL",6,1,1,"L 1",4,244,67,5,26,1,231,70,3,24,0.75,0.6,0.333333333333333,6,1,1,0.93,1,21.91,"15.28","201510240NSH"
"9",9,9,"2015-10-28","Away","SJS",27,17,"W",7,1,1,"W 1",5,268,75,5,28,1,252,78,3,26,0.777777777777778,0.6,0.5,7,1,1,0.93,1,21.93,"15.28","201510280SJS"
"10",10,10,"2015-10-31","Away","LAK",30,21,"OTL",7,1,2,"L 1",5,302,81,7,31,1,281,84,4,29,0.7,0.6,0.4,7,1,2,0.93,1,22.17,"15.29","201510310LAK"
"11",11,11,"2015-11-01","Away","ANA",32,25,"L",7,2,2,"L 2",5,344,89,8,37,1,309,96,4,31,0.636363636363636,0.6,0.333333333333333,6,2,2,0.92,1,21.99,"15.28","201511010ANA"
"12",12,12,"2015-11-05","Away","MIN",35,27,"W",8,2,2,"W 1",6,368,103,8,38,1,338,100,6,37,0.666666666666667,0.6,0.428571428571429,6,2,2,0.92,1,22.1,"15.28","201511050MIN"
"13",13,13,"2015-11-07","Home","STL",35,31,"L",8,3,2,"L 1",6,413,111,8,43,1,366,112,8,40,0.615384615384615,0.5,0.428571428571429,5,3,2,0.92,1,22.07,"15.29","201511070NSH"
"14",14,14,"2015-11-10","Home","OTT",42,36,"W",9,3,2,"W 1",7,451,117,9,46,1,392,118,10,43,0.642857142857143,0.571428571428571,0.428571428571429,6,2,2,0.91,1,22.06,"15.29","201511100NSH"
"15",15,15,"2015-11-12","Home","TOR",43,38,"SOL",9,3,3,"L 1",7,473,123,10,50,1,415,126,10,46,0.6,0.5,0.428571428571429,5,2,3,0.91,1,22.09,"15.28","201511120NSH"
