"","X.1","X","GamesPlayed","Date","Location","Opponent","GoalsFor","GoalsAgainst","Outcome","Wins","Losses","OL","Streak","ROW","ShotsFor","PIM","PPG","PPO","SHG","ShotsAgainst","PKM","PKG","PKO","WinPer","HomePer","AwayPer","L10Wins","L10Losses","L10OL","SVPercentage","AvgGoalieCount","AvgShiftCount","ATOI","GID","AvgCFPerClose","AvgCFPer5v5","AvgCFPerEven","AvgAge","PDO","FOWPer"
"1",1,1,1,"2015-10-09","Home","CHI",2,3,"OTL",0,0,1,"L 1",0,36,6,0,2,0,35,2,1,3,0,0,0,0,0,1,0.91,1,24.44,"16.31","201510090NYI",55.6,57.7,57,"27.9","100.9","50.1"
"2",2,2,2,"2015-10-10","Away","CHI",3,7,"L",0,1,1,"L 2",0,65,30,0,4,1,69,6,2,10,0,0,0,0,1,1,0.9,1,22,"15.26","201510100CHI",57.45,57.25,57.55,"27.9","100.9","50.1"
"3",3,3,3,"2015-10-12","Home","WPG",7,9,"W",1,1,1,"W 1",1,109,40,2,10,1,93,22,3,13,0.333333333333333,0.5,0,1,1,1,0.9,1,21.59,"15.28","201510120NYI",58.43,57.2,56.6,"27.9","100.9","50.1"
"4",4,4,4,"2015-10-15","Home","NSH",11,12,"W",2,1,1,"W 2",2,137,46,2,12,1,140,28,3,15,0.5,0.666666666666667,0,2,1,1,0.91,1,21.7,"15.25","201510150NYI",53.73,52.52,51.98,"27.9","100.9","50.1"
"5",5,5,5,"2015-10-17","Home","SJS",17,15,"W",3,1,1,"W 3",3,171,48,3,15,1,165,34,3,17,0.6,0.75,0,3,1,1,0.91,1,21.81,"15.26","201510170NYI",52.08,52.34,51.88,"27.9","100.9","50.1"
"6",6,6,6,"2015-10-20","Away","CBJ",21,15,"W",4,1,1,"W 4",4,200,69,3,16,1,202,45,3,23,0.666666666666667,0.75,0.5,4,1,1,0.92,1,21.78,"15.26","201510200CBJ",51,49.87,49.8,"27.9","100.9","50.1"
"7",7,7,7,"2015-10-23","Home","BOS",24,20,"L",4,2,1,"L 1",4,226,78,4,18,1,228,54,3,26,0.571428571428571,0.6,0.5,4,2,1,0.91,1,21.56,"15.27","201510230NYI",50.4,48.97,48.96,"27.9","100.9","50.1"
"8",8,8,8,"2015-10-24","Away","STL",27,22,"OTW",5,2,1,"W 1",5,248,88,5,21,1,268,60,3,31,0.625,0.6,0.333333333333333,5,2,1,0.91,1,21.71,"15.27","201510240STL",48.93,47.19,47.39,"27.9","100.9","50.1"
"9",9,9,9,"2015-10-26","Home","CGY",31,22,"W",6,2,1,"W 2",6,283,94,6,24,1,297,76,3,34,0.666666666666667,0.666666666666667,0.333333333333333,6,2,1,0.92,1,21.65,"15.27","201510260NYI",50,47.88,48.06,"27.9","100.9","50.1"
"10",10,10,10,"2015-10-29","Home","CAR",33,25,"OTL",6,2,2,"L 1",6,302,98,7,26,1,326,80,3,36,0.6,0.571428571428571,0.333333333333333,6,2,2,0.92,1,21.61,"15.27","201510290NYI",49.77,47.49,47.47,"27.9","100.9","50.1"
