"","X","GamesPlayed","Date","Location","Opponent","GoalsFor","GoalsAgainst","Outcome","Wins","Losses","OL","Streak","ROW","ShotsFor","PIM","PPG","PPO","SHG","ShotsAgainst","PKM","PKG","PKO","WinPer","HomePer","AwayPer","L10Wins","L10Losses","L10OL","SVPercentage","AvgGoalieCount","AvgShiftCount","ATOI","GID","AvgCFPerClose","AvgCFPer5v5","AvgCFPerEven","AvgAge","PDO","FOWPer"
"1",1,1,"2015-10-08","Away","BUF",3,1,"W",1,0,0,"W 1",1,22,6,0,0,0,27,0,1,3,1,0,1,1,0,0,0.96,1,22.94,15.25,"201510080BUF",55.3,48.8,48.8,27,100.8,50.6
"2",2,2,"2015-10-10","Away","TOR",8,5,"SOW",2,0,0,"W 2",1,55,16,3,6,0,68,14,2,7,1,0,0.5,2,0,0,0.93,1,23.25,15.3,"201510100TOR",47.65,45,44.75,27,100.8,50.6
"3",3,3,"2015-10-11","Home","MTL",9,8,"L",2,1,0,"L 1",1,76,34,3,10,1,102,26,2,14,0.666666666666667,0,0.5,2,1,0,0.93,1,22.17,15.31,"201510110OTT",46.3,42.33,43.4,27,100.8,50.6
"4",4,4,"2015-10-14","Away","CBJ",16,11,"W",3,1,0,"W 1",2,103,49,4,13,1,143,37,3,18,0.75,0,0.666666666666667,3,1,0,0.93,1,21.79,15.31,"201510140CBJ",44.85,42.73,43.77,27,100.8,50.6
"5",5,5,"2015-10-15","Away","PIT",16,13,"L",3,2,0,"L 1",2,125,60,4,16,1,179,48,3,21,0.6,0,0.5,3,2,0,0.93,1,21.56,15.3,"201510150PIT",43.6,43.84,44.68,27,100.8,50.6
"6",6,6,"2015-10-17","Home","NSH",19,17,"SOL",3,2,1,"L 2",2,166,88,4,18,1,204,66,5,27,0.5,0,0.5,3,2,1,0.92,1,21.73,15.29,"201510170OTT",46.18,46.53,47.48,27,100.8,50.6
"7",7,7,"2015-10-22","Home","NJD",23,22,"SOL",3,2,2,"L 3",2,205,103,5,23,2,236,94,7,31,0.428571428571429,0,0.5,3,2,2,0.91,1,21.48,15.28,"201510220OTT",48,47.4,48.29,27,100.8,50.6
"8",8,8,"2015-10-24","Home","ARI",24,26,"L",3,3,2,"L 4",2,241,107,5,26,2,262,100,7,33,0.375,0,0.5,3,3,2,0.91,1,21.3,15.28,"201510240OTT",49.69,48.98,49.77,27,100.8,50.6
"9",9,9,"2015-10-28","Home","CGY",29,30,"SOW",4,3,2,"W 1",2,264,115,5,30,2,300,108,8,37,0.444444444444444,0,0.5,4,3,2,0.91,1,21.43,15.29,"201510280OTT",49.31,48.12,49.01,27,100.8,50.6
"10",10,10,"2015-10-30","Away","DET",32,31,"W",5,3,2,"W 2",3,299,125,5,34,2,330,116,9,42,0.5,0,0.6,5,3,2,0.91,1,21.4,15.28,"201510300DET",48.59,48.1,48.85,27,100.8,50.6
"11",11,11,"2015-10-31","Home","DET",35,36,"L",5,4,2,"L 1",3,335,155,5,37,2,358,136,11,45,0.454545454545455,0,0.6,4,4,2,0.91,1,21.31,15.28,"201510310OTT",49.95,48.72,49.77,27,100.8,50.6
"12",12,12,"2015-11-03","Away","MTL",37,37,"OTW",6,4,2,"W 1",4,362,161,5,38,3,395,138,12,48,0.5,0,0.5,4,4,2,0.91,1,21.3,15.28,"201511030MTL",48.84,47.81,48.79,27,100.8,50.6
"13",13,13,"2015-11-05","Home","WPG",40,39,"SOW",7,4,2,"W 2",4,393,165,5,41,3,435,144,12,50,0.538461538461538,0,0.5,5,3,2,0.91,1,21.41,15.28,"201511050OTT",48.51,47.57,48.28,27,100.8,50.6
"14",14,14,"2015-11-07","Away","CAR",42,42,"OTL",7,4,3,"L 1",4,414,171,6,43,3,481,148,13,53,0.5,0,0.428571428571429,4,3,3,0.92,1,21.48,15.28,"201511070CAR",48.02,46.76,47.04,27,100.8,50.6
"15",15,15,"2015-11-10","Away","NSH",47,49,"L",7,5,3,"L 2",4,440,177,8,46,4,519,154,14,56,0.466666666666667,0,0.375,4,3,3,0.91,1,21.56,15.28,"201511100NSH",47.65,46.14,46.58,27,100.8,50.6
"16",16,16,"2015-11-12","Home","VAN",50,51,"W",8,5,3,"W 1",5,465,183,10,50,4,554,162,15,59,0.5,0.125,0.375,5,3,2,0.91,1,21.54,15.28,"201511120OTT",47.19,45.64,46.01,27,100.8,50.6
"17",17,17,"2015-11-14","Home","NYR",51,53,"SOL",8,5,4,"L 1",5,488,194,11,53,4,588,185,16,61,0.470588235294118,0.111111111111111,0.375,5,3,2,0.91,1,21.62,15.28,"201511140OTT",47.44,45.99,46.36,27,100.8,50.6
"18",18,18,"2015-11-16","Home","DET",54,57,"OTL",8,5,5,"L 2",5,513,198,12,55,4,625,189,16,63,0.444444444444444,0.1,0.375,5,2,3,0.91,1,21.65,15.28,"201511160OTT",47.54,46.11,46.43,27,100.8,50.6
"19",19,19,"2015-11-19","Home","CBJ",57,57,"W",9,5,5,"W 1",6,542,215,13,60,4,650,221,16,66,0.473684210526316,0.181818181818182,0.375,5,2,3,0.92,1,21.57,15.28,"201511190OTT",48,46.41,46.74,27,100.8,50.6
"20",20,20,"2015-11-21","Home","PHI",61,57,"W",10,5,5,"W 2",7,573,250,13,63,4,686,254,16,70,0.5,0.25,0.375,5,2,3,0.92,1,21.53,15.29,"201511210OTT",47.41,46.09,46.44,27,100.8,50.6
"21",21,21,"2015-11-24","Away","DAL",68,61,"W",11,5,5,"W 3",8,593,254,14,66,5,723,260,16,72,0.523809523809524,0.25,0.444444444444444,6,1,3,0.92,1,21.57,15.28,"201511240DAL",47.08,45.91,46.19,27,100.8,50.6
"22",22,22,"2015-11-25","Away","COL",73,64,"W",12,5,5,"W 4",9,622,281,14,67,6,766,267,17,78,0.545454545454545,0.25,0.5,6,1,3,0.92,1,21.57,15.28,"201511250COL",46.8,45.74,45.82,27,100.8,50.6
"23",23,23,"2015-11-28","Away","ARI",76,68,"L",12,6,5,"L 1",9,660,285,15,70,6,785,273,17,80,0.521739130434783,0.25,0.454545454545455,5,2,3,0.92,1,21.6,15.28,"201511280ARI",47.9,46.57,46.7,27,100.8,50.6
"24",24,24,"2015-12-01","Home","PHI",78,72,"L",12,7,5,"L 2",9,685,293,15,72,6,818,277,17,84,0.5,0.230769230769231,0.454545454545455,5,3,2,0.92,1,21.52,15.28,"201512010OTT",47.53,46.51,46.75,27,100.8,50.6
"25",25,25,"2015-12-03","Home","CHI",82,75,"OTW",13,7,5,"W 1",10,712,301,17,76,6,856,283,18,87,0.52,0.214285714285714,0.454545454545455,6,2,2,0.92,1,21.47,15.28,"201512030OTT",46.96,46.08,46.33,27,100.8,50.6
"26",26,26,"2015-12-05","Home","NYI",85,77,"OTW",14,7,5,"W 2",11,741,303,17,79,6,887,289,19,88,0.538461538461538,0.2,0.454545454545455,6,2,2,0.92,1,21.43,15.28,"201512050OTT",47.01,45.98,46.32,27,100.8,50.6
"27",27,27,"2015-12-06","Away","NYR",86,81,"L",14,8,5,"L 1",11,765,305,17,81,6,918,293,21,90,0.518518518518518,0.2,0.416666666666667,6,3,1,0.92,1,21.35,15.28,"201512060NYR",46.96,46.22,46.57,27,100.8,50.6
"28",28,28,"2015-12-08","Away","FLA",90,83,"W",15,8,5,"W 1",12,788,313,19,86,7,945,313,21,94,0.535714285714286,0.2,0.461538461538462,7,3,0,0.92,1,21.32,15.28,"201512080FLA",46.95,46.25,46.58,27,100.8,50.6
"29",29,29,"2015-12-10","Away","TBL",91,87,"L",15,9,5,"L 1",12,819,321,19,89,7,975,321,22,97,0.517241379310345,0.2,0.428571428571429,6,4,0,0.92,1,21.27,15.28,"201512100TBL",47.31,46.49,46.86,27,100.8,50.6
"30",30,30,"2015-12-12","Away","MTL",92,90,"L",15,10,5,"L 2",12,845,329,19,91,7,1017,325,22,101,0.5,0.2,0.4,5,5,0,0.92,1.03,21.23,15.28,"201512120MTL",46.59,46.47,46.85,27,100.8,50.6
"31",31,31,"2015-12-14","Home","LAK",97,93,"W",16,10,5,"W 1",13,866,335,19,95,7,1053,331,23,104,0.516129032258065,0.25,0.4,5,5,0,0.92,1.03,21.19,15.28,"201512140OTT",46.55,46.18,46.55,27,100.8,50.6
"32",32,32,"2015-12-16","Away","WSH",98,95,"L",16,11,5,"L 1",13,893,341,20,98,7,1078,345,23,106,0.5,0.25,0.375,4,6,0,0.92,1.03,21.14,15.28,"201512160WSH",46.32,46.22,46.62,27,100.8,50.6
"33",33,33,"2015-12-18","Home","SJS",102,97,"W",17,11,5,"W 1",14,928,349,20,101,7,1111,351,24,110,0.515151515151515,0.294117647058824,0.375,5,5,0,0.92,1.03,21.13,15.28,"201512180OTT",46.46,46.22,46.51,27,100.8,50.6
"34",34,34,"2015-12-20","Away","TBL",104,102,"L",17,12,5,"L 1",14,953,371,20,106,8,1146,378,26,113,0.5,0.294117647058824,0.352941176470588,5,5,0,0.92,1.03,21.1,15.28,"201512200TBL",46.39,46.01,46.27,27,100.8,50.6
"35",35,35,"2015-12-22","Away","FLA",105,104,"SOL",17,12,6,"L 2",14,969,381,21,108,8,1186,380,26,118,0.485714285714286,0.294117647058824,0.333333333333333,4,5,1,0.92,1.03,21.12,15.28,"201512220FLA",45.93,45.69,45.94,27,100.8,50.6
"36",36,36,"2015-12-27","Home","BOS",108,105,"W",18,12,6,"W 1",15,991,390,22,110,8,1225,399,26,120,0.5,0.333333333333333,0.333333333333333,4,5,1,0.92,1.03,21.09,15.28,"201512270OTT",45.86,45.57,45.8,27,100.8,50.6
"37",37,37,"2015-12-29","Away","BOS",111,112,"L",18,13,6,"L 1",15,1023,448,22,114,8,1262,451,30,127,0.486486486486487,0.333333333333333,0.315789473684211,4,5,1,0.92,1.03,21.09,15.28,"201512290BOS",45.79,45.85,46.08,27,100.8,50.6
"38",38,38,"2015-12-30","Home","NJD",111,115,"L",18,14,6,"L 2",15,1059,461,22,118,8,1283,464,31,131,0.473684210526316,0.315789473684211,0.315789473684211,3,6,1,0.92,1.03,21.03,15.28,"201512300OTT",45.8,46.53,46.77,27,100.8,50.6
"39",39,39,"2016-01-03","Away","CHI",111,118,"L",18,15,6,"L 3",15,1085,463,22,120,8,1313,468,31,132,0.461538461538462,0.315789473684211,0.3,3,6,1,0.92,1.03,21,15.28,"201601030CHI",45.96,46.65,46.85,27,100.8,50.6
"40",40,40,"2016-01-04","Away","STL",114,120,"OTW",19,15,6,"W 1",16,1117,474,24,123,8,1351,479,32,135,0.475,0.315789473684211,0.285714285714286,4,5,1,0.92,1.02,21.02,15.28,"201601040STL",45.77,46.53,46.74,27,100.8,50.6
"41",41,41,"2016-01-07","Home","FLA",116,123,"L",19,16,6,"L 1",16,1149,480,24,127,8,1367,487,32,139,0.463414634146341,0.3,0.285714285714286,3,6,1,0.92,1.02,20.94,15.28,"201601070OTT",46.3,46.91,47.11,27,100.8,50.6
"42",42,42,"2016-01-09","Home","BOS",118,124,"OTW",20,16,6,"W 1",17,1189,484,24,129,8,1401,493,32,140,0.476190476190476,0.285714285714286,0.285714285714286,4,5,1,0.92,1.02,20.93,15.28,"201601090OTT",46.46,47.09,47.26,27,100.8,50.6
"43",43,43,"2016-01-10","Away","WSH",119,131,"L",20,17,6,"L 1",17,1222,492,24,133,8,1437,503,34,143,0.465116279069767,0.285714285714286,0.272727272727273,3,6,1,0.91,1.02,20.92,15.28,"201601100WSH",46.31,47.13,47.27,27,100.8,50.6
"44",44,44,"2016-01-13","Away","ANA",120,135,"L",20,18,6,"L 2",17,1247,508,24,135,8,1475,517,35,146,0.454545454545455,0.285714285714286,0.260869565217391,3,6,1,0.91,1.02,20.9,15.28,"201601130ANA",46.25,46.93,47.08,27,100.8,50.6
"45",45,45,"2016-01-16","Away","LAK",125,138,"W",21,18,6,"W 1",18,1270,514,25,139,8,1508,525,36,149,0.466666666666667,0.285714285714286,0.291666666666667,4,6,0,0.91,1.02,20.88,15.28,"201601160LAK",46.07,46.82,46.98,27,100.8,50.6
"46",46,46,"2016-01-18","Away","SJS",129,141,"SOW",22,18,6,"W 2",18,1287,518,26,140,9,1543,527,36,151,0.478260869565217,0.285714285714286,0.28,4,6,0,0.91,1.02,20.91,15.28,"201601180SJS",45.74,46.55,46.69,27,100.8,50.6
"47",47,47,"2016-01-21","Away","NJD",132,147,"L",22,19,6,"L 1",18,1319,522,27,144,9,1563,535,38,153,0.468085106382979,0.285714285714286,0.269230769230769,4,6,0,0.91,1.04,20.89,15.28,"201601210NJD",45.19,46.81,46.95,27,100.8,50.6
"48",48,48,"2016-01-22","Home","NYI",134,152,"L",22,20,6,"L 2",18,1349,535,27,146,9,1597,544,39,157,0.458333333333333,0.272727272727273,0.269230769230769,4,6,0,0.91,1.04,20.88,15.28,"201601220OTT",45.26,46.74,46.87,27,100.8,50.6
"49",49,49,"2016-01-24","Home","NYR",137,152,"W",23,20,6,"W 1",19,1382,541,27,148,10,1632,548,39,160,0.469387755102041,0.304347826086957,0.269230769230769,5,5,0,0.91,1.04,20.86,15.28,"201601240OTT",45.51,46.95,47.08,27,100.8,50.6
"50",50,50,"2016-01-26","Home","BUF",139,155,"L",23,21,6,"L 1",19,1418,552,27,150,10,1654,559,40,162,0.46,0.291666666666667,0.269230769230769,4,6,0,0.91,1.04,20.84,15.28,"201601260OTT",45.48,47.18,47.33,27,100.8,50.6
"51",51,51,"2016-02-02","Away","PIT",144,161,"L",23,22,6,"L 2",19,1441,566,27,151,10,1698,565,42,167,0.450980392156863,0.291666666666667,0.259259259259259,4,6,0,0.91,1.04,20.87,15.28,"201602020PIT",45.16,46.9,47.21,27,100.8,50.6
"52",52,52,"2016-02-04","Home","EDM",146,168,"L",23,23,6,"L 3",19,1479,587,28,155,10,1726,588,45,170,0.442307692307692,0.28,0.259259259259259,3,7,0,0.9,1.06,20.88,15.28,"201602040OTT",45.18,47.07,47.37,27,100.8,50.6
"53",53,53,"2016-02-06","Home","TOR",152,169,"W",24,23,6,"W 1",20,1504,599,28,158,10,1753,596,45,174,0.452830188679245,0.307692307692308,0.259259259259259,4,6,0,0.91,1.06,20.89,15.28,"201602060OTT",45.16,47.04,47.38,27,100.8,50.6
"54",54,54,"2016-02-08","Home","TBL",157,170,"W",25,23,6,"W 2",21,1533,612,29,164,10,1785,615,45,177,0.462962962962963,0.333333333333333,0.259259259259259,5,5,0,0.91,1.06,20.88,15.28,"201602080OTT",45.14,46.83,47.25,27,100.8,50.6
"55",55,55,"2016-02-10","Away","DET",158,173,"L",25,24,6,"L 1",21,1556,616,30,171,10,1814,627,45,179,0.454545454545455,0.333333333333333,0.25,4,6,0,0.91,1.05,20.88,15.28,"201602100DET",45.17,46.75,47.18,27,100.8,50.6
"56",56,56,"2016-02-11","Home","COL",161,177,"L",25,25,6,"L 2",21,1585,624,32,175,10,1841,635,48,183,0.446428571428571,0.321428571428571,0.25,3,7,0,0.91,1.05,20.88,15.28,"201602110OTT",45.26,47.21,47.61,27,100.8,50.6
"57",57,57,"2016-02-13","Away","CBJ",163,181,"L",25,26,6,"L 3",21,1620,637,33,178,10,1881,650,48,185,0.43859649122807,0.321428571428571,0.241379310344828,3,7,0,0.91,1.05,20.91,15.28,"201602130CBJ",45.21,47.26,47.65,27,100.8,50.6
"58",58,58,"2016-02-16","Home","BUF",165,182,"SOW",26,26,6,"W 1",21,1646,646,33,180,10,1920,659,48,187,0.448275862068966,0.310344827586207,0.241379310344828,4,6,0,0.91,1.05,20.92,15.29,"201602160OTT",45.31,47.37,47.75,27,100.8,50.6
"59",59,59,"2016-02-18","Home","CAR",169,184,"W",27,26,6,"W 2",22,1668,650,33,184,10,1952,675,49,189,0.457627118644068,0.333333333333333,0.241379310344828,4,6,0,0.91,1.05,20.91,15.29,"201602180OTT",45.31,47.21,47.58,27,100.8,50.6
