"","X.1","X","GamesPlayed","Date","Location","Opponent","GoalsFor","GoalsAgainst","Outcome","Wins","Losses","OL","Streak","ROW","ShotsFor","PIM","PPG","PPO","SHG","ShotsAgainst","PKM","PKG","PKO","WinPer","HomePer","AwayPer","L10Wins","L10Losses","L10OL","SVPercentage","AvgGoalieCount","AvgShiftCount","ATOI","GID","AvgCFPerClose","AvgCFPer5v5","AvgCFPerEven","AvgAge","PDO","FOWPer"
"1",1,1,1,"2015-10-08","Away","DAL",0,3,"L",0,1,0,"L 1",0,37,10,0,3,0,24,6,2,5,0,0,0,0,1,0,0.88,1,23.17,"15.35","201510080DAL",48.2,45.7,50,"29.0","100.7","50.2"
"2",2,2,2,"2015-10-10","Away","ARI",1,5,"L",0,2,0,"L 2",0,65,22,0,7,0,63,20,2,9,0,0,0,0,2,0,0.91,1,22.3,"15.32","201510100ARI",43.75,45.6,47.95,"29.0","100.7","50.2"
"3",3,3,3,"2015-10-13","Home","MTL",3,8,"L",0,3,0,"L 3",0,98,24,0,9,0,93,24,3,11,0,0,0,0,3,0,0.91,1,22.02,"15.30","201510130PIT",44.93,47.6,49.17,"29.0","100.7","50.2"
"4",4,4,4,"2015-10-15","Home","OTT",5,8,"W",1,3,0,"W 1",1,134,35,0,12,0,115,35,3,14,0.25,0.5,0,1,3,0,0.93,1,21.94,"15.29","201510150PIT",49.05,48.62,49.8,"29.0","100.7","50.2"
"5",5,5,5,"2015-10-17","Home","TOR",7,9,"W",2,3,0,"W 2",2,167,45,0,17,0,142,45,3,18,0.4,0.666666666666667,0,2,3,0,0.94,1,22.14,"15.29","201510170PIT",47.54,50.52,51.3,"29.0","100.7","50.2"
"6",6,6,6,"2015-10-20","Home","FLA",10,11,"OTW",3,3,0,"W 3",3,202,49,2,20,0,175,51,3,20,0.5,0.5,0,3,3,0,0.94,1,22.18,"15.28","201510200PIT",48.68,50.07,50.72,"29.0","100.7","50.2"
"7",7,7,7,"2015-10-22","Home","DAL",11,15,"L",3,4,0,"L 1",3,236,55,2,25,0,198,74,4,23,0.428571428571429,0.4,0,3,4,0,0.92,1,22.12,"15.27","201510220PIT",49.67,50.14,50.79,"29.0","100.7","50.2"
"8",8,8,8,"2015-10-24","Away","NSH",13,16,"OTW",4,4,0,"W 1",4,261,61,2,28,0,237,83,4,26,0.5,0.4,0,4,4,0,0.93,1,21.98,"15.28","201510240NSH",48.2,48.6,49.12,"29.0","100.7","50.2"
"9",9,9,9,"2015-10-28","Away","WSH",16,17,"W",5,4,0,"W 2",5,286,69,2,31,0,271,91,4,29,0.555555555555556,0.4,0.25,5,4,0,0.93,1,22.02,"15.28","201510280WSH",48.4,48.1,48.79,"29.0","100.7","50.2"
"10",10,10,10,"2015-10-29","Home","BUF",20,20,"W",6,4,0,"W 3",6,315,73,3,32,0,324,93,4,31,0.6,0.5,0.25,6,4,0,0.93,1,21.88,"15.28","201510290PIT",48.06,47.11,47.66,"29.0","100.7","50.2"
"11",11,11,11,"2015-10-31","Away","TOR",24,20,"W",7,4,0,"W 4",7,347,83,4,35,1,345,102,4,35,0.636363636363636,0.5,0.4,7,3,0,0.94,1,21.94,"15.29","201510310TOR",49.1,47.2,47.87,"29.0","100.7","50.2"
"12",12,12,12,"2015-11-04","Away","VAN",27,22,"W",8,4,0,"W 5",8,370,97,5,38,2,365,114,4,39,0.666666666666667,0.5,0.5,8,2,0,0.94,1,21.92,"15.28","201511040VAN",48.54,47.58,47.62,"29.0","100.7","50.2"
"13",13,13,13,"2015-11-06","Away","EDM",29,23,"W",9,4,0,"W 6",9,403,101,6,42,2,393,122,4,41,0.692307692307692,0.5,0.571428571428571,9,1,0,0.94,1,22,"15.29","201511060EDM",49.19,48.3,48.15,"29.0","100.7","50.2"
"14",14,14,14,"2015-11-07","Away","CGY",31,28,"L",9,5,0,"L 1",9,428,107,7,44,2,424,126,5,44,0.642857142857143,0.5,0.5,8,2,0,0.93,1,22.19,"15.29","201511070CGY",47.8,48.73,48.46,"29.0","100.7","50.2"
"15",15,15,15,"2015-11-11","Home","MTL",35,31,"SOW",10,5,0,"W 1",9,462,115,7,48,2,462,132,6,48,0.666666666666667,0.428571428571429,0.5,8,2,0,0.94,1.07,22.27,"15.29","201511110PIT",47.49,48.6,48.33,"29.0","100.7","50.2"
"16",16,16,16,"2015-11-13","Home","CBJ",36,33,"L",10,6,0,"L 1",9,491,123,7,54,2,490,144,7,52,0.625,0.375,0.5,7,3,0,0.93,1.06,22.31,"15.29","201511130PIT",47,48.64,48.59,"29.0","100.7","50.2"
"17",17,17,17,"2015-11-14","Away","NJD",36,37,"L",10,7,0,"L 2",9,512,135,7,57,2,527,152,8,56,0.588235294117647,0.375,0.444444444444444,7,3,0,0.93,1.06,22.32,"15.29","201511140NJD",46.19,48.26,48.16,"29.0","100.7","50.2"
"18",18,18,18,"2015-11-17","Home","MIN",40,40,"W",11,7,0,"W 1",10,541,149,9,63,2,556,166,10,62,0.611111111111111,0.444444444444444,0.444444444444444,7,3,0,0.93,1.06,22.28,"15.29","201511170PIT",47.26,48.36,48.22,"29.0","100.7","50.2"
"19",19,19,19,"2015-11-19","Home","COL",44,43,"W",12,7,0,"W 2",11,571,161,10,67,2,587,176,11,67,0.631578947368421,0.5,0.444444444444444,7,3,0,0.93,1.05,22.26,"15.29","201511190PIT",47.51,48.58,48.35,"29.0","100.7","50.2"
"20",20,20,20,"2015-11-21","Home","SJS",45,46,"L",12,8,0,"L 1",11,610,169,11,73,2,616,188,11,71,0.6,0.454545454545455,0.444444444444444,6,4,0,0.93,1.05,22.27,"15.29","201511210PIT",47.98,48.66,48.7,"29.0","100.7","50.2"
"21",21,21,21,"2015-11-25","Home","STL",49,49,"OTW",13,8,0,"W 1",12,644,173,12,77,2,648,196,12,73,0.619047619047619,0.416666666666667,0.444444444444444,6,4,0,0.93,1.05,22.31,"15.29","201511250PIT",48.4,48.92,48.99,"29.0","100.7","50.2"
"22",22,22,22,"2015-11-27","Away","CBJ",50,51,"OTL",13,8,1,"L 1",12,669,190,13,81,2,691,213,12,77,0.590909090909091,0.416666666666667,0.4,5,4,1,0.93,1.05,22.31,"15.29","201511270CBJ",48.35,48.81,48.73,"29.0","100.7","50.2"
"23",23,23,23,"2015-11-28","Home","EDM",52,54,"SOL",13,8,2,"L 2",12,710,198,14,85,2,727,221,13,81,0.565217391304348,0.384615384615385,0.4,4,4,2,0.93,1.04,22.29,"15.29","201511280PIT",48.55,49.19,49.19,"29.0","100.7","50.2"
"24",24,24,24,"2015-12-01","Away","SJS",57,55,"W",14,8,2,"W 1",13,739,206,15,87,2,761,225,14,84,0.583333333333333,0.384615384615385,0.454545454545455,5,3,2,0.93,1.04,22.27,"15.29","201512010SJS",48.4,48.69,48.7,"29.0","100.7","50.2"
"25",25,25,25,"2015-12-05","Away","LAK",60,60,"L",14,9,2,"L 1",13,759,212,15,89,2,798,229,15,87,0.56,0.384615384615385,0.416666666666667,4,4,2,0.93,1.04,22.31,"15.29","201512050LAK",47.61,48.21,48.19,"29.0","100.7","50.2"
"26",26,26,26,"2015-12-06","Away","ANA",61,62,"L",14,10,2,"L 2",13,783,216,15,91,2,823,235,15,88,0.538461538461538,0.384615384615385,0.384615384615385,4,4,2,0.93,1.04,22.33,"15.29","201512060ANA",47.68,48.2,48.2,"29.0","100.7","50.2"
"27",27,27,27,"2015-12-09","Away","COL",65,64,"W",15,10,2,"W 1",14,816,224,15,93,2,849,239,15,93,0.555555555555556,0.384615384615385,0.428571428571429,5,3,2,0.93,1.04,22.36,"15.29","201512090COL",48.28,48.72,48.69,"29.0","100.7","50.2"
