"","GamesPlayed","Date","Location","Opponent","GoalsFor","GoalsAgainst","Outcome","Wins","Losses","OL","Streak","ROW","ShotsFor","PIM","PPG","PPO","SHG","ShotsAgainst","PKM","PKG","PKO","WinPer","HomePer","AwayPer","L10Wins","L10Losses","L10OL"
"1",1,"2015-10-07","Away","LAK",5,1,"W","1","0","0","W 1",1,32,24,2,8,0,20,36,0,6,1,0,1,1,0,0
"2",2,"2015-10-10","Home","ANA",7,1,"W","2","0","0","W 2",2,76,26,2,9,0,47,38,0,7,1,1,1,2,0,0
"3",3,"2015-10-13","Away","WSH",12,1,"W","3","0","0","W 3",3,108,34,3,14,0,78,48,0,11,1,1,1,3,0,0
"4",4,"2015-10-16","Away","NJD",14,2,"SOW","4","0","0","W 4",3,142,46,3,15,0,110,52,1,17,1,1,0.666666666666667,4,0,0
"5",5,"2015-10-17","Away","NYI",17,8,"L","4","1","0","L 1",3,167,52,3,17,0,144,54,2,20,0.8,1,0.5,4,1,0
"6",6,"2015-10-19","Away","NYR",17,12,"L","4","2","0","L 2",3,189,54,3,19,0,172,58,3,21,0.666666666666667,1,0.4,4,2,0
"7",7,"2015-10-22","Home","LAK",18,16,"L","4","3","0","L 3",3,229,62,3,24,0,201,70,5,25,0.571428571428571,0.5,0.4,4,3,0
"8",8,"2015-10-24","Home","CAR",23,18,"W","5","3","0","W 1",4,250,68,3,25,0,235,72,6,28,0.625,0.666666666666667,0.4,5,3,0
"9",9,"2015-10-28","Home","NSH",24,20,"L","5","4","0","L 1",4,271,76,3,27,0,259,80,6,30,0.555555555555556,0.5,0.4,5,4,0
"10",10,"2015-10-31","Away","DAL",27,25,"L","5","5","0","L 2",4,300,84,5,31,1,284,88,7,35,0.5,0.5,0.333333333333333,5,5,0
"11",11,"2015-11-01","Away","COL",31,28,"W","6","5","0","W 1",5,332,97,5,32,2,310,97,9,39,0.545454545454545,0.5,0.428571428571429,5,5,0
"12",12,"2015-11-03","Home","CBJ",33,33,"L","6","6","0","L 1",5,375,106,5,36,2,334,108,10,41,0.5,0.4,0.428571428571429,4,6,0
"13",13,"2015-11-05","Home","FLA",38,35,"W","7","6","0","W 1",6,407,117,5,38,2,367,117,11,44,0.538461538461538,0.5,0.428571428571429,4,6,0
"14",14,"2015-11-07","Home","ANA",38,36,"L","7","7","0","L 1",6,438,141,5,42,2,384,145,11,46,0.5,0.428571428571429,0.428571428571429,3,7,0
"15",15,"2015-11-10","Home","NYI",40,40,"L","7","8","0","L 2",6,474,147,5,44,2,409,151,11,48,0.466666666666667,0.375,0.428571428571429,3,7,0
"16",16,"2015-11-13","Away","DET",43,42,"W","8","8","0","W 1",7,488,153,5,45,2,437,155,11,50,0.5,0.375,0.5,4,6,0
"17",17,"2015-11-14","Away","BUF",45,43,"OTW","9","8","0","W 2",8,520,157,6,48,2,468,161,11,53,0.529411764705882,0.375,0.444444444444444,5,5,0
"18",18,"2015-11-17","Away","BOS",50,47,"W","10","8","0","W 3",9,548,163,8,53,2,497,169,13,56,0.555555555555556,0.375,0.5,5,5,0
"19",19,"2015-11-19","Away","PHI",51,47,"OTW","11","8","0","W 4",10,569,167,8,57,2,531,177,13,58,0.578947368421053,0.375,0.454545454545455,6,4,0
