"","X","GamesPlayed","Date","Location","Opponent","GoalsFor","GoalsAgainst","Outcome","Wins","Losses","OL","Streak","ROW","ShotsFor","PIM","PPG","PPO","SHG","ShotsAgainst","PKM","PKG","PKO","WinPer","HomePer","AwayPer","L10Wins","L10Losses","L10OL","SVPercentage","AvgGoalieCount","AvgShiftCount","ATOI","GID","AvgCFPerClose","AvgCFPer5v5","AvgCFPerEven","AvgAge","PDO","FOWPer"
"1",1,1,"2015-10-08","Home","EDM",3,1,"W",1,0,0,"W 1",1,31,13,0,3,0,24,13,1,3,1,1,0,1,0,0,0.96,1,22.44,15.3,"201510080STL",54.9,52.4,52.3,28,100.7,51.3
"2",2,2,"2015-10-10","Away","MIN",5,4,"L",1,1,0,"L 1",1,63,23,1,6,0,43,23,2,6,0.5,1,0,1,1,0,0.9,1,22.47,15.28,"201510100MIN",53.6,54.05,54.25,28,100.7,51.3
"3",3,3,"2015-10-13","Away","CGY",9,7,"W",2,1,0,"W 1",2,91,31,2,7,0,61,25,3,10,0.666666666666667,1,0.5,2,1,0,0.88,1,22.78,15.3,"201510130CGY",56.63,56.63,55.67,28,100.7,51.3
"4",4,4,"2015-10-15","Away","EDM",13,9,"W",3,1,0,"W 2",3,120,41,3,11,0,87,33,3,15,0.75,1,0.666666666666667,3,1,0,0.89,1,23.07,15.28,"201510150EDM",54.45,56.87,55.83,28,100.7,51.3
"5",5,5,"2015-10-16","Away","VAN",17,12,"W",4,1,0,"W 3",4,152,56,3,15,0,121,46,3,20,0.8,1,0.75,4,1,0,0.89,1,23.29,15.29,"201510160VAN",55.38,56.4,54.54,28,100.7,51.3
"6",6,6,"2015-10-18","Away","WPG",21,14,"W",5,1,0,"W 4",5,193,76,4,21,0,150,62,5,27,0.833333333333333,1,0.8,5,1,0,0.9,1,23.35,15.29,"201510180WPG",54.77,57.3,54.82,28,100.7,51.3
"7",7,7,"2015-10-20","Away","MTL",21,17,"L",5,2,0,"L 1",5,231,95,4,24,0,186,73,5,29,0.714285714285714,1,0.666666666666667,5,2,0,0.9,1,23.66,15.29,"201510200MTL",55.51,57.1,54.97,28,100.7,51.3
"8",8,8,"2015-10-24","Home","NYI",23,20,"OTL",5,2,1,"L 2",5,271,101,4,29,0,208,83,6,32,0.625,0.5,0.666666666666667,5,2,1,0.9,1,23.47,15.29,"201510240STL",56.25,58.12,56.05,28,100.7,51.3
"9",9,9,"2015-10-27","Home","TBL",25,20,"W",6,2,1,"W 1",6,295,103,4,32,0,234,87,6,33,0.666666666666667,0.666666666666667,0.666666666666667,6,2,1,0.91,1,23.36,15.29,"201510270STL",54.7,56.53,54.67,28,100.7,51.3
"10",10,10,"2015-10-29","Home","ANA",27,21,"W",7,2,1,"W 2",7,329,118,4,37,0,257,104,7,37,0.7,0.75,0.666666666666667,7,2,1,0.91,1,23.16,15.29,"201510290STL",54.79,56.75,54.88,28,100.7,51.3
"11",11,11,"2015-10-31","Home","MIN",30,23,"OTW",8,2,1,"W 3",8,355,137,4,38,0,288,117,7,42,0.727272727272727,0.6,0.666666666666667,7,2,1,0.92,1,23.12,15.29,"201510310STL",53.85,56.33,54.38,28,100.7,51.3
"12",12,12,"2015-11-03","Home","LAK",30,26,"L",8,3,1,"L 1",8,379,152,4,42,0,322,130,8,47,0.666666666666667,0.5,0.666666666666667,7,2,1,0.92,1,23.03,15.28,"201511030STL",52.46,56.04,54.27,28,100.7,51.3
"13",13,13,"2015-11-04","Away","CHI",36,31,"OTW",9,3,1,"W 1",9,408,162,5,44,0,365,134,9,52,0.692307692307692,0.5,0.571428571428571,7,2,1,0.91,1.08,23.22,15.28,"201511040CHI",51.74,54.97,53.42,28,100.7,51.3
"14",14,14,"2015-11-07","Away","NSH",40,31,"W",10,3,1,"W 2",10,436,174,7,47,0,410,142,9,57,0.714285714285714,0.5,0.625,7,2,1,0.92,1.07,23.25,15.28,"201511070NSH",50.61,53.82,52.36,28,100.7,51.3
"15",15,15,"2015-11-10","Away","NJD",42,31,"W",11,3,1,"W 3",11,464,178,7,49,0,434,148,9,58,0.733333333333333,0.5,0.666666666666667,7,2,1,0.92,1.07,23.14,15.28,"201511100NJD",51.05,54.08,52.52,28,100.7,51.3
"16",16,16,"2015-11-12","Away","NYR",45,37,"L",11,4,1,"L 1",11,498,184,8,52,0,456,156,10,60,0.6875,0.5,0.6,6,3,1,0.91,1.12,23.18,15.28,"201511120NYR",52.03,54.32,52.84,28,100.7,51.3
"17",17,17,"2015-11-14","Home","CHI",47,41,"L",11,5,1,"L 2",11,529,201,9,58,0,483,175,11,65,0.647058823529412,0.428571428571429,0.6,6,3,1,0.9,1.12,23.23,15.28,"201511140STL",52.03,54.11,52.75,28,100.7,51.3
"18",18,18,"2015-11-16","Home","WPG",50,43,"W",12,5,1,"W 1",12,557,216,10,63,0,501,190,11,70,0.666666666666667,0.5,0.6,7,3,0,0.9,1.11,23.19,15.28,"201511160STL",52.07,54.3,52.99,28,100.7,51.3
"19",19,19,"2015-11-17","Away","CBJ",51,46,"L",12,6,1,"L 1",12,577,224,10,65,0,539,194,11,74,0.631578947368421,0.5,0.545454545454545,6,4,0,0.91,1.11,23.15,15.28,"201511170CBJ",51.22,53.64,52.37,28,100.7,51.3
"20",20,20,"2015-11-19","Home","BUF",54,48,"SOW",13,6,1,"W 1",12,606,232,12,68,0,573,201,11,78,0.65,0.444444444444444,0.545454545454545,6,4,0,0.91,1.1,23.08,15.28,"201511190STL",50.94,53.7,52.35,28,100.7,51.3
"21",21,21,"2015-11-21","Home","DET",57,52,"OTL",13,6,2,"L 1",12,639,236,12,70,0,605,205,12,80,0.619047619047619,0.4,0.545454545454545,5,4,1,0.91,1.1,23.16,15.28,"201511210STL",50.92,53.67,52.41,28,100.7,51.3
"22",22,22,"2015-11-23","Away","BUF",59,53,"W",14,6,2,"W 1",13,665,247,12,70,0,630,210,12,83,0.636363636363636,0.4,0.583333333333333,6,3,1,0.91,1.09,23.15,15.28,"201511230BUF",50.88,53.89,52.69,28,100.7,51.3
"23",23,23,"2015-11-25","Away","PIT",62,57,"OTL",14,6,3,"L 1",13,697,255,13,72,0,664,214,13,87,0.608695652173913,0.4,0.538461538461538,5,3,2,0.91,1.09,23.19,15.29,"201511250PIT",50.55,53.53,52.37,28,100.7,51.3
"24",24,24,"2015-11-28","Home","CBJ",65,58,"W",15,6,3,"W 1",14,729,257,14,75,0,688,220,13,88,0.625,0.454545454545455,0.538461538461538,5,3,2,0.91,1.08,23.13,15.28,"201511280STL",51.24,53.81,52.71,28,100.7,51.3
"25",25,25,"2015-12-01","Home","FLA",66,61,"L",15,7,3,"L 1",14,759,259,14,78,0,711,226,13,89,0.6,0.416666666666667,0.538461538461538,4,4,2,0.91,1.12,23.08,15.28,"201512010STL",51.37,54.06,53,28,100.7,51.3
"26",26,26,"2015-12-04","Away","NYI",67,63,"SOL",15,7,4,"L 2",14,791,265,14,80,0,736,232,13,91,0.576923076923077,0.416666666666667,0.5,4,3,3,0.91,1.12,23.14,15.28,"201512040NYI",51.25,53.88,52.93,28,100.7,51.3
"27",27,27,"2015-12-05","Home","TOR",68,67,"L",15,8,4,"L 3",14,819,278,14,82,0,765,243,13,95,0.555555555555556,0.384615384615385,0.5,4,3,3,NA,1.15,23.13,15.29,"201512050STL",51.21,53.8,52.89,28,100.7,51.3
"28",28,28,"2015-12-08","Home","ARI",72,68,"W",16,8,4,"W 1",15,841,286,14,85,1,788,249,13,99,0.571428571428571,0.428571428571429,0.5,4,3,3,NA,1.14,23.16,15.29,"201512080STL",51.16,53.98,53.11,28,100.7,51.3
"29",29,29,"2015-12-10","Home","PHI",74,72,"L",16,9,4,"L 1",15,878,290,15,87,1,817,255,13,100,0.551724137931034,0.4,0.5,4,3,3,NA,1.14,23.16,15.29,"201512100STL",51.01,53.86,53.04,28,100.7,51.3
"30",30,30,"2015-12-12","Home","DAL",77,72,"W",17,9,4,"W 1",16,904,310,16,90,1,843,277,13,104,0.566666666666667,0.4375,0.5,4,3,3,NA,1.13,23.13,15.29,"201512120STL",51.13,53.6,52.8,28,100.7,51.3
"31",31,31,"2015-12-13","Home","COL",78,75,"L",17,10,4,"L 1",16,947,314,17,91,1,861,279,13,106,0.548387096774194,0.411764705882353,0.5,4,4,2,NA,1.13,23.05,15.29,"201512130STL",51,54.03,53.24,28,100.7,51.3
"32",32,32,"2015-12-15","Away","WPG",82,78,"W",18,10,4,"W 1",17,973,320,19,94,1,897,287,13,108,0.5625,0.411764705882353,0.533333333333333,4,4,2,NA,1.12,23.05,15.29,"201512150WPG",50.93,53.75,52.95,28,100.7,51.3
"33",33,33,"2015-12-17","Home","NSH",84,79,"W",19,10,4,"W 2",18,1006,328,20,96,1,925,293,14,111,0.575757575757576,0.444444444444444,0.533333333333333,5,4,1,NA,1.12,23.04,15.29,"201512170STL",50.9,53.75,52.87,28,100.7,51.3
"34",34,34,"2015-12-19","Home","CGY",87,81,"W",20,10,4,"W 3",19,1028,341,20,96,1,963,298,14,115,0.588235294117647,0.473684210526316,0.533333333333333,5,4,1,NA,1.12,23.08,15.29,"201512190STL",51.76,53.64,52.76,28,100.7,51.3
"35",35,35,"2015-12-21","Away","PHI",90,85,"L",20,11,4,"L 1",19,1057,347,21,98,1,994,304,15,118,0.571428571428571,0.473684210526316,0.5,5,4,1,NA,1.11,23.09,15.29,"201512210PHI",51.67,53.47,52.67,28,100.7,51.3
"36",36,36,"2015-12-22","Away","BOS",92,85,"W",21,11,4,"W 1",20,1086,352,21,99,1,1026,311,15,118,0.583333333333333,0.473684210526316,0.529411764705882,6,4,0,NA,1.11,23.12,15.29,"201512220BOS",51.58,53.31,52.55,28,100.7,51.3
"37",37,37,"2015-12-26","Home","DAL",95,87,"SOW",22,11,4,"W 2",20,1123,354,22,103,1,1050,319,15,119,0.594594594594595,0.45,0.529411764705882,7,3,0,NA,1.11,23.17,15.29,"201512260STL",51.89,53.49,52.75,28,100.7,51.3
"38",38,38,"2015-12-27","Away","DAL",95,90,"L",22,12,4,"L 1",20,1145,374,22,105,1,1088,337,17,122,0.578947368421053,0.45,0.5,6,4,0,NA,1.11,23.19,15.29,"201512270DAL",51.38,53.09,52.35,28,100.7,51.3
"39",39,39,"2015-12-29","Home","NSH",99,93,"OTW",23,12,4,"W 1",21,1170,380,22,108,1,1121,343,17,125,0.58974358974359,0.428571428571429,0.5,7,3,0,NA,1.1,23.22,15.29,"201512290STL",51.39,52.91,52.29,28,100.7,51.3
"40",40,40,"2015-12-31","Home","MIN",100,96,"L",23,13,4,"L 1",21,1204,384,23,111,1,1150,351,17,126,0.575,0.409090909090909,0.5,6,4,0,NA,1.1,23.18,15.29,"201512310STL",51.49,53,52.45,28,100.7,51.3
"41",41,41,"2016-01-02","Away","TOR",101,100,"L",23,14,4,"L 2",21,1244,394,24,112,1,1183,355,18,131,0.560975609756098,0.409090909090909,0.473684210526316,6,4,0,NA,1.1,23.18,15.29,"201601020TOR",51.37,52.97,52.52,28,100.7,51.3
"42",42,42,"2016-01-04","Home","OTT",103,103,"OTL",23,14,5,"L 3",21,1282,405,25,115,1,1215,366,20,134,0.547619047619048,0.391304347826087,0.473684210526316,5,4,1,NA,1.1,23.21,15.29,"201601040STL",51.62,53.09,52.65,28,100.7,51.3
"43",43,43,"2016-01-06","Away","COL",106,107,"OTL",23,14,6,"L 4",21,1320,411,26,117,1,1248,370,20,137,0.534883720930233,0.391304347826087,0.45,4,4,2,NA,1.09,23.24,15.29,"201601060COL",51.74,53.1,52.66,28,100.7,51.3
"44",44,44,"2016-01-08","Away","ANA",109,111,"SOL",23,14,7,"L 5",21,1348,426,26,121,1,1287,383,21,142,0.522727272727273,0.391304347826087,0.428571428571429,3,4,3,NA,1.11,23.3,15.29,"201601080ANA",51.56,52.84,52.37,28,100.7,51.3
"45",45,45,"2016-01-09","Away","LAK",111,112,"SOW",24,14,7,"W 1",21,1364,439,26,123,1,1314,405,21,146,0.533333333333333,0.391304347826087,0.409090909090909,4,3,3,NA,1.11,23.34,15.29,"201601090LAK",51.3,52.45,52.07,28,100.7,51.3
"46",46,46,"2016-01-12","Home","NJD",116,114,"W",25,14,7,"W 2",22,1401,462,28,129,1,1338,435,21,149,0.543478260869565,0.416666666666667,0.409090909090909,4,3,3,NA,1.11,23.33,15.29,"201601120STL",51.24,52.43,52.03,28,100.7,51.3
"47",47,47,"2016-01-14","Home","CAR",117,118,"L",25,15,7,"L 1",22,1425,470,28,133,1,1366,445,22,152,0.531914893617021,0.4,0.409090909090909,3,4,3,NA,1.13,23.3,15.29,"201601140STL",50.8,52.14,51.74,28,100.7,51.3
"48",48,48,"2016-01-16","Home","MTL",121,121,"OTW",26,15,7,"W 1",23,1447,502,28,135,1,1415,457,23,159,0.541666666666667,0.384615384615385,0.409090909090909,4,3,3,NA,1.12,23.31,15.29,"201601160STL",50.49,51.95,51.57,28,100.7,51.3
"49",49,49,"2016-01-18","Home","PIT",126,123,"W",27,15,7,"W 2",24,1472,510,28,137,1,1453,463,23,162,0.551020408163265,0.407407407407407,0.409090909090909,4,3,3,NA,1.12,23.32,15.29,"201601180STL",50.12,51.63,51.25,28,100.7,51.3
"50",50,50,"2016-01-20","Away","DET",128,124,"W",28,15,7,"W 3",25,1492,520,28,140,1,1483,471,24,165,0.56,0.407407407407407,0.434782608695652,5,2,3,NA,1.12,23.31,15.29,"201601200DET",49.98,51.36,50.96,28,100.7,51.3
"51",51,51,"2016-01-22","Away","COL",129,126,"SOL",28,15,8,"L 1",25,1526,526,28,142,1,1524,475,24,168,0.549019607843137,0.407407407407407,0.416666666666667,5,1,4,NA,1.12,23.34,15.29,"201601220COL",49.88,51.33,50.9,28,100.7,51.3
"52",52,52,"2016-01-24","Away","CHI",129,128,"L",28,16,8,"L 2",25,1551,528,28,143,1,1549,477,25,169,0.538461538461538,0.407407407407407,0.4,5,2,3,NA,1.12,23.35,15.29,"201601240CHI",49.95,51.41,51.01,28,100.7,51.3
"53",53,53,"2016-02-02","Away","NSH",130,128,"W",29,16,8,"W 1",26,1574,534,28,146,1,1565,483,25,172,0.547169811320755,0.407407407407407,0.423076923076923,6,2,2,NA,1.11,23.31,15.29,"201602020NSH",50.06,51.49,51.07,28,100.7,51.3
"54",54,54,"2016-02-04","Home","SJS",131,131,"L",29,17,8,"L 1",26,1601,544,28,148,1,1597,491,25,176,0.537037037037037,0.392857142857143,0.423076923076923,6,3,1,NA,1.11,23.31,15.29,"201602040STL",50.12,51.52,51.21,28,100.7,51.3
"55",55,55,"2016-02-06","Home","MIN",135,132,"W",30,17,8,"W 1",27,1625,560,31,154,1,1636,503,26,183,0.545454545454545,0.413793103448276,0.423076923076923,6,3,1,NA,1.11,23.3,15.29,"201602060STL",50,51.28,50.99,28,100.7,51.3
"56",56,56,"2016-02-09","Home","WPG",136,134,"SOL",30,17,9,"L 1",27,1647,568,32,157,1,1669,509,26,188,0.535714285714286,0.4,0.423076923076923,5,3,2,NA,1.11,23.34,15.29,"201602090STL",49.76,51,50.72,28,100.7,51.3
"57",57,57,"2016-02-12","Away","FLA",141,137,"W",31,17,9,"W 1",28,1675,574,33,158,1,1701,513,26,191,0.543859649122807,0.4,0.444444444444444,6,2,2,NA,1.11,23.36,15.29,"201602120FLA",49.87,50.9,50.62,28,100.7,51.3
"58",58,58,"2016-02-14","Away","TBL",143,138,"W",32,17,9,"W 2",29,1696,585,33,161,1,1739,524,26,194,0.551724137931034,0.4,0.464285714285714,6,2,2,NA,1.1,23.37,15.29,"201602140TBL",49.77,50.73,50.43,28,100.7,51.3
"59",59,59,"2016-02-16","Home","DAL",145,139,"OTW",33,17,9,"W 3",30,1718,597,34,166,1,1757,534,26,201,0.559322033898305,0.387096774193548,0.464285714285714,6,2,2,NA,1.1,23.38,15.29,"201602160STL",49.84,50.65,50.34,28,100.7,51.3
"60",60,60,"2016-02-18","Home","LAK",147,140,"OTW",34,17,9,"W 4",31,1750,613,35,172,1,1792,550,27,207,0.566666666666667,0.375,0.464285714285714,6,2,2,NA,1.1,23.4,15.29,"201602180STL",49.8,50.6,50.27,28,100.7,51.3
"61",61,61,"2016-02-20","Away","ARI",153,144,"W",35,17,9,"W 5",32,1790,622,36,175,1,1814,561,27,209,0.573770491803279,0.375,0.482758620689655,7,2,1,NA,1.1,23.41,15.29,"201602200ARI",49.81,50.75,50.41,28,100.7,51.3
"62",62,62,"2016-02-22","Home","SJS",156,150,"L",35,18,9,"L 1",32,1818,643,38,178,1,1847,567,29,214,0.564516129032258,0.363636363636364,0.482758620689655,7,2,1,NA,1.11,23.41,15.29,"201602220STL",49.41,50.94,50.6,28,100.7,51.3
"63",63,63,"2016-02-25","Home","NYR",157,152,"L",35,19,9,"L 2",32,1854,647,39,181,1,1870,573,29,216,0.555555555555556,0.352941176470588,0.482758620689655,6,3,1,NA,1.11,23.4,15.29,"201602250STL",49.68,51.14,50.82,28,100.7,51.3
"64",64,64,"2016-02-27","Away","NSH",157,157,"L",35,20,9,"L 3",32,1882,664,39,182,1,1899,582,30,221,0.546875,0.352941176470588,0.466666666666667,6,3,1,NA,1.12,23.42,15.29,"201602270NSH",49.56,51.23,50.91,28,100.7,51.3
"65",65,65,"2016-02-28","Away","CAR",162,159,"W",36,20,9,"W 1",33,1922,670,39,184,2,1933,586,30,224,0.553846153846154,0.352941176470588,0.483870967741935,6,3,1,NA,1.12,23.43,15.29,"201602280CAR",49.62,51.21,50.89,28,100.7,51.3
"66",66,66,"2016-03-01","Away","OTT",166,162,"SOW",37,20,9,"W 2",33,1970,680,41,188,2,1976,598,31,227,0.560606060606061,0.352941176470588,0.46875,7,3,0,NA,1.12,23.43,15.29,"201603010OTT",49.73,51.18,50.87,28,100.7,51.3
"67",67,67,"2016-03-06","Away","MIN",170,164,"W",38,20,9,"W 3",34,2005,688,41,189,2,2008,600,31,231,0.567164179104478,0.352941176470588,0.484848484848485,7,3,0,NA,1.12,23.44,15.29,"201603060MIN",50.04,51.27,50.9,28,100.7,51.3
"68",68,68,"2016-03-09","Home","CHI",173,166,"SOW",39,20,9,"W 4",34,2035,707,43,192,2,2043,604,32,235,0.573529411764706,0.342857142857143,0.484848484848485,7,3,0,NA,1.12,23.46,15.28,"201603090STL",50.12,51.38,50.99,28,100.7,51.3
"69",69,69,"2016-03-11","Home","ANA",178,168,"W",40,20,9,"W 5",35,2058,713,43,195,2,2071,612,33,238,0.579710144927536,0.361111111111111,0.484848484848485,7,3,0,NA,1.12,23.43,15.29,"201603110STL",50.07,51.27,50.89,28,100.7,51.3
"70",70,70,"2016-03-12","Away","DAL",183,172,"OTW",41,20,9,"W 6",36,2094,721,43,199,2,2109,622,34,241,0.585714285714286,0.361111111111111,0.470588235294118,7,3,0,NA,1.11,23.44,15.29,"201603120DAL",50.09,51.33,50.99,28,100.7,51.3
"71",71,71,"2016-03-14","Away","CGY",187,179,"L",41,21,9,"L 1",36,2129,727,44,203,2,2141,630,35,244,0.577464788732394,0.361111111111111,0.457142857142857,6,4,0,NA,1.13,23.45,15.29,"201603140CGY",50.04,51.33,51.01,28,100.7,51.3
"72",72,72,"2016-03-16","Away","EDM",191,185,"L",41,22,9,"L 2",36,2157,754,45,206,2,2168,638,39,250,0.569444444444444,0.361111111111111,0.444444444444444,6,4,0,NA,1.12,23.47,15.29,"201603160EDM",50.09,51.48,51.17,28,100.7,51.3
"73",73,73,"2016-03-19","Away","VAN",194,185,"W",42,22,9,"W 1",37,2207,760,46,210,2,2187,646,39,253,0.575342465753425,0.361111111111111,0.459459459459459,7,3,0,NA,1.12,23.45,15.29,"201603190VAN",50.31,51.68,51.37,28,100.7,51.3
"74",74,74,"2016-03-22","Away","SJS",195,185,"W",43,22,9,"W 2",38,2231,768,46,212,2,2224,650,39,257,0.581081081081081,0.361111111111111,0.473684210526316,8,2,0,NA,1.12,23.42,15.29,"201603220SJS",50.28,51.57,51.27,28,100.7,51.3
"75",75,75,"2016-03-25","Home","VAN",199,185,"W",44,22,9,"W 3",39,2268,775,46,215,3,2239,661,39,258,0.586666666666667,0.378378378378378,0.473684210526316,8,2,0,NA,1.12,23.39,15.29,"201603250STL",50.47,51.74,51.45,28,100.7,51.3
"76",76,76,"2016-03-26","Away","WSH",203,185,"W",45,22,9,"W 4",40,2297,783,46,215,3,2271,665,39,260,0.592105263157895,0.378378378378378,0.487179487179487,8,2,0,NA,1.12,23.37,15.29,"201603260WSH",50.47,51.69,51.38,28,100.7,51.3
"77",77,77,"2016-03-29","Home","COL",206,186,"W",46,22,9,"W 5",41,2324,787,48,218,3,2292,673,39,261,0.597402597402597,0.394736842105263,0.487179487179487,8,2,0,NA,1.12,23.33,15.29,"201603290STL",50.65,51.77,51.42,28,100.7,51.3
"78",78,78,"2016-04-01","Home","BOS",211,192,"L",46,23,9,"L 1",41,2354,795,48,223,3,2320,683,41,265,0.58974358974359,0.384615384615385,0.487179487179487,7,3,0,NA,1.13,23.33,15.29,"201604010STL",50.58,51.81,51.46,28,100.7,51.3
"79",79,79,"2016-04-03","Away","COL",216,193,"W",47,23,9,"W 1",42,2393,810,49,226,3,2351,696,41,269,0.594936708860759,0.384615384615385,0.5,7,3,0,NA,1.14,23.32,15.29,"201604030COL",50.76,51.82,51.51,28,100.7,51.3
"80",80,80,"2016-04-04","Home","ARI",221,195,"W",48,23,9,"W 2",43,2419,822,51,232,4,2378,724,41,272,0.6,0.4,0.5,7,3,0,NA,1.14,23.32,15.29,"201604040STL",50.76,51.91,51.6,28,100.7,51.3
"81",81,81,"2016-04-07","Away","CHI",223,196,"OTW",49,23,9,"W 3",44,2454,843,51,234,4,2403,735,41,274,0.604938271604938,0.4,0.48780487804878,8,2,0,NA,1.14,23.32,15.29,"201604070CHI",50.82,52.02,51.73,28,100.7,51.3
"82",82,82,"2016-04-09","Home","WSH",224,201,"L",49,24,9,"L 1",44,2474,847,51,237,4,2439,741,41,276,0.597560975609756,0.390243902439024,0.48780487804878,8,2,0,NA,1.15,23.3,15.29,"201604090STL",50.5,51.9,51.62,28,100.7,51.3
