"","X","GamesPlayed","Date","Location","Opponent","GoalsFor","GoalsAgainst","Outcome","Wins","Losses","OL","Streak","ROW","ShotsFor","PIM","PPG","PPO","SHG","ShotsAgainst","PKM","PKG","PKO","WinPer","HomePer","AwayPer","L10Wins","L10Losses","L10OL","SVPercentage","AvgGoalieCount","AvgShiftCount","ATOI","GID"
"1",1,1,"2015-10-08","Home","PHI",3,2,"OTW",1,0,0,"W 1",1,32,6,1,3,0,25,6,1,3,1,0,0,1,0,0,0.92,1,21,"16.29","201510080TBL"
"2",2,2,"2015-10-10","Away","BUF",7,3,"W",2,0,0,"W 2",2,63,10,1,6,0,50,10,1,5,1,0,1,2,0,0,0.94,1,20.66,"16.27","201510100BUF"
"3",3,3,"2015-10-12","Away","BOS",13,6,"W",3,0,0,"W 3",3,86,18,3,10,0,80,18,4,9,1,0,1,3,0,0,0.93,1,20.7,"15.28","201510120BOS"
"4",4,4,"2015-10-13","Away","DET",14,9,"L",3,1,0,"L 1",3,107,24,3,13,0,104,24,5,12,0.75,0,0.666666666666667,3,1,0,0.92,1,20.35,"15.26","201510130DET"
"5",5,5,"2015-10-15","Home","DAL",17,14,"L",3,2,0,"L 2",3,140,43,3,15,0,126,30,7,15,0.6,0,0.666666666666667,3,2,0,0.89,1,20.44,"15.28","201510150TBL"
"6",6,6,"2015-10-17","Home","BUF",19,15,"W",4,2,0,"W 1",4,162,49,4,19,0,158,38,7,18,0.666666666666667,0.333333333333333,0.666666666666667,4,2,0,0.91,1,20.18,"15.28","201510170TBL"
"7",7,7,"2015-10-20","Away","NSH",23,20,"SOL",4,2,1,"L 1",4,191,55,5,21,0,191,42,7,21,0.571428571428571,0.333333333333333,0.5,4,2,1,0.9,1,20.36,"15.28","201510200NSH"
"8",8,8,"2015-10-23","Away","WPG",27,23,"OTW",5,2,1,"W 1",5,222,61,5,23,0,227,50,7,22,0.625,0.333333333333333,0.4,5,2,1,0.9,1,20.41,"15.28","201510230WPG"
"9",9,9,"2015-10-24","Away","CHI",27,24,"OTL",5,2,2,"L 1",5,243,67,5,27,0,259,58,7,25,0.555555555555556,0.333333333333333,0.333333333333333,5,2,2,0.91,1,20.36,"15.28","201510240CHI"
"10",10,10,"2015-10-27","Away","STL",27,26,"L",5,3,2,"L 2",5,269,71,5,28,0,283,60,7,28,0.5,0.333333333333333,0.285714285714286,5,3,2,0.92,1,20.47,"15.28","201510270STL"
"11",11,11,"2015-10-29","Home","COL",28,28,"L",5,4,2,"L 3",5,304,83,6,32,0,309,68,7,34,0.454545454545455,0.25,0.285714285714286,4,4,2,0.92,1,20.45,"15.28","201510290TBL"
"12",12,12,"2015-10-31","Home","BOS",29,31,"L",5,5,2,"L 4",5,326,89,7,37,0,343,78,8,37,0.416666666666667,0.2,0.285714285714286,3,5,2,0.92,1,20.31,"15.28","201510310TBL"
"13",13,13,"2015-11-01","Away","CAR",33,34,"W",6,5,2,"W 1",6,357,93,8,41,0,378,86,9,39,0.461538461538462,0.2,0.375,3,5,2,0.92,1,20.21,"15.28","201511010CAR"
"14",14,14,"2015-11-03","Away","DET",34,36,"L",6,6,2,"L 1",6,387,99,9,45,0,407,96,9,42,0.428571428571429,0.2,0.333333333333333,3,5,2,0.92,1,20.16,"15.29","201511030DET"
"15",15,15,"2015-11-05","Away","BUF",38,37,"W",7,6,2,"W 1",7,409,103,9,48,0,438,102,9,44,0.466666666666667,0.2,0.4,4,4,2,0.92,1,20.09,"15.28","201511050BUF"
"16",16,16,"2015-11-07","Away","MIN",38,38,"L",7,7,2,"L 1",7,440,109,9,50,0,463,106,9,47,0.4375,0.2,0.363636363636364,3,5,2,0.92,1,20.12,"15.29","201511070MIN"
"17",17,17,"2015-11-10","Home","BUF",39,42,"L",7,8,2,"L 2",7,471,115,10,55,0,490,116,10,50,0.411764705882353,0.166666666666667,0.363636363636364,3,6,1,0.92,1,20.07,"15.29","201511100TBL"
"18",18,18,"2015-11-12","Home","CGY",42,43,"W",8,8,2,"W 1",8,500,123,11,57,0,521,120,11,54,0.444444444444444,0.285714285714286,0.363636363636364,3,6,1,0.92,1,20.09,"15.29","201511120TBL"
"19",19,19,"2015-11-14","Home","FLA",46,48,"SOL",8,8,3,"L 1",8,528,145,11,59,0,544,138,12,58,0.421052631578947,0.25,0.363636363636364,3,6,1,0.92,1,20.19,"15.29","201511140TBL"
"20",20,20,"2015-11-16","Away","FLA",46,49,"L",8,9,3,"L 2",8,567,153,11,62,0,564,146,12,61,0.4,0.25,0.333333333333333,3,6,1,0.92,1,20.16,"15.29","201511160FLA"
"21",21,21,"2015-11-19","Home","NYR",48,50,"W",9,9,3,"W 1",9,595,163,11,64,1,585,156,12,63,0.428571428571429,0.333333333333333,0.333333333333333,4,5,1,0.92,1,20.24,"15.29","201511190TBL"
"22",22,22,"2015-11-21","Home","ANA",53,50,"W",10,9,3,"W 2",10,619,171,13,68,1,615,170,12,64,0.454545454545455,0.4,0.333333333333333,5,4,1,0.93,1,20.26,"15.29","201511210TBL"
"23",23,23,"2015-11-25","Home","LAK",55,51,"SOW",11,9,3,"W 3",10,649,171,13,71,1,653,176,12,64,0.478260869565217,0.363636363636364,0.333333333333333,5,4,1,0.93,1,20.29,"15.28","201511250TBL"
"24",24,24,"2015-11-27","Away","WSH",57,55,"L",11,10,3,"L 1",10,683,181,13,73,1,690,182,15,68,0.458333333333333,0.363636363636364,0.307692307692308,5,4,1,0.93,1,20.29,"15.29","201511270WSH"
"25",25,25,"2015-11-28","Home","NYI",59,58,"L",11,11,3,"L 2",10,714,197,13,77,1,712,200,17,71,0.44,0.333333333333333,0.307692307692308,4,5,1,0.92,1,20.28,"15.29","201511280TBL"
"26",26,26,"2015-12-02","Away","ANA",61,59,"W",12,11,3,"W 1",11,736,205,14,81,1,745,208,17,75,0.461538461538462,0.333333333333333,0.357142857142857,5,4,1,0.93,1,20.32,"15.28","201512020ANA"
"27",27,27,"2015-12-05","Away","SJS",65,62,"W",13,11,3,"W 2",12,756,219,15,85,1,779,216,20,83,0.481481481481481,0.333333333333333,0.4,6,3,1,0.92,1.04,20.31,"15.28","201512050SJS"
"28",28,28,"2015-12-06","Away","LAK",66,65,"L",13,12,3,"L 1",12,781,229,15,91,1,807,230,20,86,0.464285714285714,0.333333333333333,0.375,5,4,1,0.92,1.07,20.32,"15.28","201512060LAK"
"29",29,29,"2015-12-10","Home","OTT",70,66,"W",14,12,3,"W 1",13,811,237,16,94,1,838,238,20,89,0.482758620689655,0.384615384615385,0.375,6,4,0,0.92,1.07,20.31,"15.28","201512100TBL"
"30",30,30,"2015-12-12","Home","WSH",71,68,"L",14,13,3,"L 1",13,847,251,17,98,1,858,256,20,91,0.466666666666667,0.357142857142857,0.375,6,4,0,0.92,1.07,20.31,"15.28","201512120TBL"
"31",31,31,"2015-12-14","Away","CBJ",73,69,"W",15,13,3,"W 1",14,876,260,17,100,2,884,263,20,93,0.483870967741935,0.357142857142857,0.411764705882353,6,4,0,0.92,1.06,20.26,"15.28","201512140CBJ"
"32",32,32,"2015-12-15","Away","TOR",78,73,"OTW",16,13,3,"W 2",15,903,266,17,103,2,921,269,21,96,0.5,0.357142857142857,0.388888888888889,6,4,0,0.92,1.06,20.29,"15.29","201512150TOR"
"33",33,33,"2015-12-18","Away","WSH",81,78,"L",16,14,3,"L 1",15,922,276,17,106,2,944,277,24,100,0.484848484848485,0.357142857142857,0.368421052631579,5,5,0,0.92,1.06,20.29,"15.29","201512180WSH"
