"","X","GamesPlayed","Date","Location","Opponent","GoalsFor","GoalsAgainst","Outcome","Wins","Losses","OL","Streak","ROW","ShotsFor","PIM","PPG","PPO","SHG","ShotsAgainst","PKM","PKG","PKO","WinPer","HomePer","AwayPer","L10Wins","L10Losses","L10OL","SVPercentage","AvgGoalieCount","AvgShiftCount","ATOI","GID"
"1",1,1,"2015-10-07","Home","MTL",1,3,"L",0,1,0,"L 1",0,37,4,1,3,0,29,8,0,1,0,0,0,0,1,0,0.93,1,23.83,"16.27","201510070TOR"
"2",2,2,"2015-10-09","Away","DET",1,7,"L",0,2,0,"L 2",0,59,14,1,6,0,51,14,1,5,0,0,0,0,2,0,0.86,1.5,23.75,"15.31","201510090DET"
"3",3,3,"2015-10-10","Home","OTT",5,12,"SOL",0,2,1,"L 3",0,100,28,2,10,0,84,24,4,11,0,0,0,0,2,1,0.87,1.33,23.98,"15.31","201510100TOR"
"4",4,4,"2015-10-16","Away","CBJ",11,15,"W",1,2,1,"W 1",1,134,38,2,11,0,111,28,5,15,0.25,0,0.5,1,2,1,0.87,1.25,24.26,"15.30","201510160CBJ"
"5",5,5,"2015-10-17","Away","PIT",12,17,"L",1,3,1,"L 1",1,161,48,2,15,0,144,38,5,20,0.2,0,0.333333333333333,1,3,1,0.89,1.2,24.42,"15.30","201510170PIT"
"6",6,6,"2015-10-21","Away","BUF",13,19,"SOL",1,3,2,"L 2",1,185,56,2,16,0,179,40,5,24,0.166666666666667,0,0.25,1,3,2,0.9,1.17,24.89,"15.31","201510210BUF"
"7",7,7,"2015-10-24","Away","MTL",16,24,"L",1,4,2,"L 3",1,237,66,2,21,0,206,52,7,28,0.142857142857143,0,0.2,1,4,2,0.89,1.14,25.07,"15.30","201510240MTL"
"8",8,8,"2015-10-26","Home","ARI",19,28,"L",1,5,2,"L 4",1,264,76,2,23,0,230,58,9,32,0.125,0,0.2,1,5,2,0.88,1.12,24.95,"15.30","201510260TOR"
"9",9,9,"2015-10-30","Away","NYR",20,31,"L",1,6,2,"L 5",1,289,82,2,23,0,256,58,9,35,0.111111111111111,0,0.166666666666667,1,6,2,0.89,1.11,24.94,"15.30","201510300NYR"
"10",10,10,"2015-10-31","Home","PIT",20,35,"L",1,7,2,"L 6",1,310,91,2,27,0,288,68,10,38,0.1,0,0.166666666666667,1,7,2,0.88,1.1,24.71,"15.30","201510310TOR"
"11",11,11,"2015-11-02","Home","DAL",24,36,"W",2,7,2,"W 1",2,336,93,4,32,0,332,78,10,40,0.181818181818182,0.2,0.166666666666667,2,6,2,0.89,1.09,24.56,"15.29","201511020TOR"
