"","X.1","X","GamesPlayed","Date","Location","Opponent","GoalsFor","GoalsAgainst","Outcome","Wins","Losses","OL","Streak","ROW","ShotsFor","PIM","PPG","PPO","SHG","ShotsAgainst","PKM","PKG","PKO","WinPer","HomePer","AwayPer","L10Wins","L10Losses","L10OL","SVPercentage","AvgGoalieCount","AvgShiftCount","ATOI","GID","AvgCFPerClose","AvgCFPer5v5","AvgCFPerEven","AvgAge","PDO","FOWPer"
"1",1,1,1,"2015-10-08","Away","BOS",6,2,"W",1,0,0,"W 1",1,32,6,0,0,0,31,2,0,2,1,0,1,1,0,0,0.94,1,21.89,"16.23","201510080BOS",37.5,48,48,"26.8","99.2","46.7"
"2",2,2,2,"2015-10-09","Away","NJD",9,3,"W",2,0,0,"W 2",2,62,14,1,4,0,52,10,1,6,1,0,1,2,0,0,0.94,1,21.8,"15.26","201510090NJD",54.05,53.45,52.95,"26.8","99.2","46.7"
"3",3,3,3,"2015-10-12","Away","NYI",11,7,"L",2,1,0,"L 1",2,86,30,2,7,0,96,20,3,12,0.666666666666667,0,0.666666666666667,2,1,0,0.94,1,21.63,"15.27","201510120NYI",49.23,49.93,50.4,"26.8","99.2","46.7"
"4",4,4,4,"2015-10-13","Away","NYR",15,8,"W",3,1,0,"W 1",3,115,42,4,12,1,137,32,3,17,0.75,0,0.75,3,1,0,0.95,1,21.71,"15.29","201510130NYR",46.72,48.5,49.05,"26.8","99.2","46.7"
"5",5,5,5,"2015-10-16","Home","CGY",18,9,"W",4,1,0,"W 2",4,145,46,4,16,1,157,40,3,19,0.8,1,0.75,4,1,0,0.95,1,21.78,"15.27","201510160WPG",48.86,50.3,50.84,"26.8","99.2","46.7"
"6",6,6,6,"2015-10-18","Home","STL",20,13,"L",4,2,0,"L 1",4,174,62,6,23,1,198,60,4,25,0.666666666666667,0.5,0.75,4,2,0,0.94,1,21.81,"15.26","201510180WPG",48.77,48.28,49.67,"26.8","99.2","46.7"
"7",7,7,7,"2015-10-23","Home","TBL",23,17,"OTL",4,2,1,"L 2",4,210,70,6,24,2,229,66,4,27,0.571428571428571,0.333333333333333,0.75,4,2,1,0.93,1,21.79,"15.27","201510230WPG",49.99,49.54,50.66,"26.8","99.2","46.7"
"8",8,8,8,"2015-10-25","Home","MIN",28,21,"W",5,2,1,"W 1",5,243,80,6,25,2,259,68,5,32,0.625,0.5,0.75,5,2,1,0.92,1,21.91,"15.28","201510250WPG",50.44,50.7,51.68,"26.8","99.2","46.7"
"9",9,9,9,"2015-10-27","Home","LAK",29,25,"L",5,3,1,"L 1",5,268,82,6,26,2,291,70,5,33,0.555555555555556,0.4,0.75,5,3,1,0.92,1,21.61,"15.28","201510270WPG",50.07,49.89,50.72,"26.8","99.2","46.7"
"10",10,10,10,"2015-10-29","Home","CHI",32,26,"W",6,3,1,"W 1",6,299,88,7,29,2,337,76,6,36,0.6,0.5,0.75,6,3,1,0.93,1,21.71,"15.28","201510290WPG",49.52,49.43,49.85,"26.8","99.2","46.7"
"11",11,11,11,"2015-10-31","Away","CBJ",35,28,"W",7,3,1,"W 2",7,326,103,8,32,2,358,87,6,41,0.636363636363636,0.5,0.8,6,3,1,0.93,1,21.76,"15.27","201510310CBJ",51.72,50.1,50.27,"26.8","99.2","46.7"
"12",12,12,12,"2015-11-01","Away","MTL",36,33,"L",7,4,1,"L 1",7,345,117,8,35,2,384,95,7,46,0.583333333333333,0.5,0.666666666666667,5,4,1,0.91,1.08,21.73,"15.28","201511010MTL",51.71,50.15,50.25,"26.8","99.2","46.7"
"13",13,13,13,"2015-11-04","Away","TOR",40,35,"W",8,4,1,"W 1",8,379,123,8,37,3,410,97,8,49,0.615384615384615,0.5,0.714285714285714,6,3,1,0.91,1.08,21.69,"15.28","201511040TOR",51.93,50.46,50.48,"26.8","99.2","46.7"
"14",14,14,14,"2015-11-05","Away","OTT",42,38,"SOL",8,4,2,"L 1",8,419,129,8,39,3,441,101,8,52,0.571428571428571,0.5,0.625,5,3,2,0.91,1.07,21.83,"15.28","201511050OTT",52.19,50.81,51.01,"26.8","99.2","46.7"
"15",15,15,15,"2015-11-07","Home","PHI",42,41,"L",8,5,2,"L 2",8,447,146,8,44,3,464,118,10,57,0.533333333333333,0.428571428571429,0.625,4,4,2,0.91,1.07,21.72,"15.27","201511070WPG",52.13,51.79,51.99,"26.8","99.2","46.7"
"16",16,16,16,"2015-11-10","Away","MIN",45,46,"L",8,6,2,"L 3",8,475,161,9,46,3,492,127,10,63,0.5,0.428571428571429,0.555555555555556,4,4,2,0.91,1.12,21.69,"15.27","201511100MIN",51.84,52.04,52.38,"26.8","99.2","46.7"
"17",17,17,17,"2015-11-12","Away","DAL",48,52,"L",8,7,2,"L 4",8,513,169,9,50,3,526,133,12,67,0.470588235294118,0.428571428571429,0.5,4,5,1,0.91,1.12,21.72,"15.28","201511120DAL",51.79,51.8,52.1,"26.8","99.2","46.7"
"18",18,18,18,"2015-11-14","Away","NSH",48,59,"L",8,8,2,"L 5",8,533,253,9,54,3,560,205,14,72,0.444444444444444,0.428571428571429,0.454545454545455,3,6,1,0.89,1.17,21.7,"15.28","201511140NSH",50.76,51.78,52.07,"26.8","99.2","46.7"
"19",19,19,19,"2015-11-16","Away","STL",50,62,"L",8,9,2,"L 6",8,551,268,9,59,3,588,220,15,77,0.421052631578947,0.428571428571429,0.416666666666667,3,6,1,0.89,1.16,21.68,"15.27","201511160STL",50.57,51.29,51.58,"26.8","99.2","46.7"
"20",20,20,20,"2015-11-18","Home","VAN",54,63,"W",9,9,2,"W 1",9,585,287,10,63,3,618,237,16,82,0.45,0.5,0.416666666666667,3,6,1,0.9,1.15,21.69,"15.27","201511180WPG",50.48,51.32,51.75,"26.8","99.2","46.7"
"21",21,21,21,"2015-11-21","Home","ARI",57,65,"W",10,9,2,"W 2",10,608,299,10,68,4,647,249,18,88,0.476190476190476,0.555555555555556,0.416666666666667,3,6,1,0.9,1.19,21.63,"15.28","201511210WPG",50.67,51.1,51.44,"26.8","99.2","46.7"
"22",22,22,22,"2015-11-23","Home","COL",58,69,"L",10,10,2,"L 1",10,629,310,10,70,4,676,258,19,91,0.454545454545455,0.5,0.416666666666667,3,6,1,0.9,1.18,21.59,"15.27","201511230WPG",51.04,51.47,51.83,"26.8","99.2","46.7"
"23",23,23,23,"2015-11-25","Away","WSH",61,74,"L",10,11,2,"L 2",10,655,316,11,72,4,710,264,20,93,0.434782608695652,0.5,0.384615384615385,2,7,1,0.9,1.17,21.57,"15.27","201511250WSH",50.77,51.34,51.7,"26.8","99.2","46.7"
"24",24,24,24,"2015-11-27","Away","MIN",64,75,"W",11,11,2,"W 1",11,684,327,12,75,4,725,279,20,94,0.458333333333333,0.5,0.428571428571429,3,7,0,0.9,1.17,21.52,"15.27","201511270MIN",51.33,51.73,51.95,"26.8","99.2","46.7"
"25",25,25,25,"2015-11-28","Away","COL",67,80,"L",11,12,2,"L 1",11,712,338,12,77,5,750,288,21,97,0.44,0.5,0.4,3,7,0,0.9,1.16,21.55,"15.27","201511280COL",51.28,52,52.25,"26.8","99.2","46.7"
"26",26,26,26,"2015-12-02","Home","TOR",73,81,"W",12,12,2,"W 1",12,747,344,13,82,5,783,298,21,100,0.461538461538462,0.545454545454545,0.4,4,6,0,0.9,1.15,21.52,"15.27","201512020WPG",51.06,51.69,51.92,"26.8","99.2","46.7"
