"","GamesPlayed","Date","Location","Opponent","GoalsFor","GoalsAgainst","Outcome","Wins","Losses","OL","Streak","ROW","ShotsFor","PIM","PPG","PPO","SHG","ShotsAgainst","PKM","PKG","PKO","WinPer","HomePer","AwayPer","L10Wins","L10Losses","L10OL"
"1",1,"2015-10-10","Home","NJD",5,3,"W","1","0","0","W 1",1,27,8,2,5,1,24,12,1,3,1,1,0,1,0,0
"2",2,"2015-10-13","Home","SJS",5,8,"L","1","1","0","L 1",1,58,18,2,9,1,56,20,2,8,0.5,0.5,0,1,1,0
"3",3,"2015-10-15","Home","CHI",9,9,"W","2","1","0","W 1",2,82,20,3,11,1,83,24,2,9,0.666666666666667,0.666666666666667,0,2,1,0
"4",4,"2015-10-17","Home","CAR",13,10,"W","3","1","0","W 2",3,116,30,5,13,1,102,30,2,13,0.75,0.75,0,3,1,0
"5",5,"2015-10-20","Away","CGY",19,12,"W","4","1","0","W 3",4,146,34,5,16,1,121,36,2,15,0.8,0.75,1,4,1,0
"6",6,"2015-10-22","Away","VAN",22,14,"W","5","1","0","W 4",5,181,40,5,18,1,146,40,3,18,0.833333333333333,0.75,1,5,1,0
"7",7,"2015-10-23","Away","EDM",29,18,"W","6","1","0","W 5",6,207,52,7,22,1,169,48,4,24,0.857142857142857,0.75,1,6,1,0
"8",8,"2015-10-28","Home","PIT",30,21,"L","6","2","0","L 1",6,241,60,7,25,1,194,56,4,27,0.75,0.6,1,6,2,0
"9",9,"2015-10-30","Home","CBJ",32,22,"W","7","2","0","W 1",7,269,66,7,27,1,224,60,4,30,0.777777777777778,0.666666666666667,1,7,2,0
"10",10,"2015-10-31","Away","FLA",34,23,"OTW","8","2","0","W 2",8,296,72,7,29,1,251,64,4,33,0.8,0.666666666666667,0.75,8,2,0
"11",11,"2015-11-03","Away","NYR",36,28,"L","8","3","0","L 1",8,330,74,7,31,1,273,68,4,34,0.727272727272727,0.666666666666667,0.6,7,3,0
"12",12,"2015-11-05","Home","BOS",40,29,"W","9","3","0","W 1",9,361,83,8,35,1,302,79,5,36,0.75,0.714285714285714,0.6,8,2,0
"13",13,"2015-11-07","Home","TOR",43,31,"SOW","10","3","0","W 2",9,392,93,9,41,1,327,93,6,39,0.769230769230769,0.625,0.6,8,2,0
